Rank,Team,G,W-L,Opp Pass,Opp Int,Int Ret Yds,Int Ret TDs
1,Mercer (SoCon),14,11-3,477,25,348,4
2,Western Caro. (SoCon),12,7-5,380,21,261,2
3,Nicholls (Southland),12,4-8,378,19,212,2
3,UT Martin (OVC),14,9-5,537,19,319,4
5,Chattanooga (SoCon),12,7-5,380,18,264,2
5,Tarleton St. (ASUN),14,10-4,471,18,44,0
7,Alabama St. (SWAC),12,7-5,308,17,340,2
7,SFA (Southland),12,7-5,429,17,348,1
7,UC Davis (Big Sky),14,11-3,504,17,224,2
10,Central Conn. St. (NEC),13,7-6,376,16,137,0
10,Tennessee Tech (OVC),12,7-5,403,16,180,2
12,South Carolina St. (MEAC),12,9-3,325,15,276,3
12,Grambling (SWAC),12,5-7,354,15,86,1
12,Northern Ariz. (Big Sky),13,8-5,368,15,117,0
12,Jackson St. (SWAC),14,12-2,395,15,136,0
12,UIW (Southland),14,11-3,459,15,171,2
17,Georgetown (Patriot),11,5-6,284,14,149,0
17,Butler (Pioneer),12,9-3,293,14,281,2
17,Morehead St. (Pioneer),12,7-5,304,14,96,0
17,Delaware (CAA),11,9-2,323,14,124,1
17,Bucknell (Patriot),12,6-6,357,14,169,2
17,Lehigh (Patriot),13,9-4,383,14,209,3
17,Austin Peay (ASUN),12,4-8,392,14,126,0
17,South Dakota (MVFC),14,11-3,400,14,33,0
17,South Dakota St. (MVFC),15,12-3,464,14,263,1
17,Illinois St. (MVFC),14,10-4,497,14,158,2
27,N.C. Central (MEAC),11,8-3,284,13,215,3
27,Wagner (NEC),12,4-8,309,13,176,0
27,Richmond (CAA),13,10-3,349,13,320,3
27,Wofford (SoCon),12,5-7,351,13,135,0
27,Norfolk St. (MEAC),12,4-8,352,13,133,1
27,Southern Ill. (MVFC),12,4-8,360,13,59,0
27,Montana (Big Sky),14,9-5,408,13,90,0
27,Presbyterian (Pioneer),12,6-6,421,13,28,0
35,San Diego (Pioneer),11,8-3,318,12,241,4
35,Campbell (CAA),12,3-9,323,12,166,0
35,Lafayette (Patriot),12,6-6,326,12,116,1
35,William & Mary (CAA),12,7-5,342,12,116,0
35,Drake (Pioneer),11,8-3,365,12,131,0
35,Stony Brook (CAA),12,8-4,366,12,83,1
35,Missouri St. (MVFC),12,8-4,369,12,134,1
35,Southern Utah (ASUN),12,7-5,407,12,274,3
35,Houston Christian (Southland),12,5-7,428,12,250,2
44,Merrimack (FCS Independent),11,5-6,266,11,33,0
44,Ark.-Pine Bluff (SWAC),12,3-9,315,11,233,2
44,Alcorn (SWAC),12,6-6,320,11,38,0
44,Columbia (Ivy League),10,7-3,334,11,79,0
44,Yale (Ivy League),10,7-3,338,11,144,2
44,Prairie View (SWAC),12,5-7,385,11,92,1
44,Lamar University (Southland),12,7-5,397,11,106,0
44,Southeast Mo. St. (OVC),13,9-4,414,11,187,0
44,Eastern Ky. (ASUN),13,8-5,432,11,127,0
44,North Dakota St. (MVFC),16,14-2,435,11,131,2
44,Idaho (Big Sky),14,10-4,458,11,196,2
55,Texas Southern (SWAC),11,5-6,308,10,92,1
55,Bethune-Cookman (SWAC),12,2-10,321,10,277,1
55,Davidson (Pioneer),11,6-5,329,10,185,2
55,Fordham (Patriot),12,2-10,335,10,119,3
55,Furman (SoCon),11,3-8,340,10,120,0
55,Maine (CAA),12,5-7,364,10,119,1
55,Sacramento St. (Big Sky),12,3-9,377,10,99,1
55,Holy Cross (Patriot),12,6-6,392,10,123,1
55,Rhode Island (CAA),14,11-3,467,10,58,1
64,Morgan St. (MEAC),12,6-6,261,9,89,1
64,Sacred Heart (FCS Independent),11,5-6,264,9,103,1
64,Florida A&M (SWAC),12,7-5,286,9,158,0
64,Princeton (Ivy League),10,3-7,299,9,113,0
64,Samford (SoCon),11,4-7,327,9,75,1
64,Alabama A&M (SWAC),12,6-6,338,9,150,0
64,Cornell (Ivy League),10,4-6,338,9,60,1
64,Duquesne (NEC),11,8-3,338,9,101,1
64,Northwestern St. (Southland),12,0-12,338,9,90,2
64,Dartmouth (Ivy League),10,8-2,362,9,147,1
64,McNeese (Southland),12,6-6,365,9,41,0
64,Tennessee St. (OVC),13,9-4,397,9,174,1
64,Abilene Christian (ASUN),14,9-5,438,9,86,0
64,Montana St. (Big Sky),16,15-1,499,9,-2,0
78,Hampton (CAA),12,5-7,270,8,58,1
78,The Citadel (SoCon),12,5-7,324,8,101,1
78,North Dakota (MVFC),12,5-7,331,8,196,2
78,Robert Morris (NEC),12,7-5,362,8,150,1
78,Villanova (CAA),14,10-4,398,8,69,1
78,Central Ark. (ASUN),12,6-6,409,8,188,1
84,Marist (Pioneer),11,1-10,296,7,71,0
84,Southern U. (SWAC),13,8-5,326,7,72,0
84,Brown (Ivy League),10,3-7,336,7,108,0
84,North Ala. (ASUN),12,3-9,343,7,76,0
84,Western Ill. (OVC),12,4-8,343,7,79,1
84,Towson (CAA),12,7-5,358,7,88,1
84,Elon (CAA),12,6-6,369,7,86,1
84,Gardner-Webb (OVC),12,4-8,377,7,71,1
84,Penn (Ivy League),10,4-6,384,7,62,0
93,Utah Tech (ASUN),12,1-11,289,6,31,0
93,Northern Colo. (Big Sky),12,1-11,310,6,4,0
