Rank,Team,G,W-L,RuFD,PaFD,PnFD,FD
1,UIW (Southland),14,12-2,147,205,22,374
2,Sacramento St. (Big Sky),13,12-1,190,153,25,368
3,Fordham (Patriot),12,9-3,130,208,19,357
4,Montana St. (Big Sky),14,12-2,217,111,19,347
5,Richmond (CAA),13,9-4,112,188,14,314
6,Samford (SoCon),13,11-2,132,164,16,312
7,Jackson St. (SWAC),13,12-1,101,182,28,311
8,Gardner-Webb (Big South),13,7-6,130,149,28,307
9,North Dakota St. (MVFC),15,12-3,197,91,17,305
9,South Dakota St. (MVFC),15,14-1,147,137,21,305
11,Delaware (CAA),13,8-5,114,166,23,303
12,Montana (Big Sky),13,8-5,129,143,25,297
13,Southeastern La. (Southland),13,9-4,138,137,16,291
13,Weber St. (Big Sky),13,10-3,138,126,27,291
15,Holy Cross (Patriot),13,12-1,145,110,33,288
16,William & Mary (CAA),13,11-2,166,97,22,285
17,Southeast Mo. St. (OVC),12,9-3,131,137,14,282
18,Furman (SoCon),13,10-3,135,124,22,281
19,N.C. Central (MEAC),12,10-2,129,124,20,273
20,Idaho (Big Sky),12,7-5,114,141,17,272
20,Western Caro. (SoCon),11,6-5,115,141,16,272
22,Bryant (Big South),11,4-7,77,167,26,270
22,Davidson (Pioneer),12,8-4,201,52,17,270
22,New Hampshire (CAA),13,9-4,97,143,30,270
25,UC Davis (Big Sky),11,6-5,109,146,10,265
26,Eastern Ky. (ASUN),12,7-5,73,179,10,262
27,UNI (MVFC),11,6-5,99,149,13,261
28,North Dakota (MVFC),12,7-5,110,131,15,256
29,Mercer (SoCon),11,7-4,103,140,10,253
30,Southern Ill. (MVFC),11,5-6,86,133,32,251
31,Austin Peay (ASUN),11,7-4,115,113,21,249
32,Saint Francis (PA) (NEC),12,9-3,107,127,14,248
33,Sacred Heart (NEC),11,5-6,108,112,26,246
34,Monmouth (CAA),11,5-6,115,109,21,245
35,UAlbany (CAA),11,3-8,77,133,31,241
36,Campbell (Big South),11,5-6,98,122,19,239
36,Northern Ariz. (Big Sky),11,3-8,80,139,20,239
38,Chattanooga (SoCon),11,7-4,84,135,16,235
39,Cal Poly (Big Sky),11,2-9,68,152,14,234
40,Portland St. (Big Sky),11,4-7,114,96,23,233
41,UT Martin (OVC),11,7-4,86,125,21,232
42,Elon (CAA),12,8-4,93,124,14,231
42,Nicholls (Southland),11,3-8,103,109,19,231
44,Florida A&M (SWAC),11,9-2,72,140,18,230
44,Southern U. (SWAC),12,7-5,122,94,14,230
46,Howard (MEAC),11,5-6,91,113,25,229
47,Alabama A&M (SWAC),11,4-7,91,112,25,228
47,Georgetown (Patriot),11,2-9,62,151,15,228
47,Jacksonville St. (ASUN),11,9-2,138,70,20,228
50,Abilene Christian (WAC),11,7-4,84,123,20,227
50,Kennesaw St. (ASUN),11,5-6,139,67,21,227
50,Youngstown St. (MVFC),11,7-4,114,94,19,227
53,Butler (Pioneer),11,7-4,112,101,12,225
53,Northern Colo. (Big Sky),11,3-8,89,114,22,225
55,Duquesne (NEC),11,4-7,80,113,31,224
55,Eastern Wash. (Big Sky),11,3-8,88,125,11,224
55,Northwestern St. (Southland),11,4-7,73,135,16,224
58,SFA (ASUN),11,6-5,99,110,12,221
59,Rhode Island (CAA),11,7-4,89,111,20,220
59,Valparaiso (Pioneer),12,5-7,79,115,26,220
61,Prairie View (SWAC),11,6-5,128,73,17,218
61,Tennessee Tech (OVC),11,4-7,100,103,15,218
63,North Ala. (ASUN),11,1-10,115,82,20,217
