Rank,Team,G,W-L,Opp 4th Conv,Opp 4th Att,Pct
1,Columbia (Ivy League),10,6-4,4,20,0.2
2,Sacred Heart (NEC),11,5-6,4,19,0.211
3,Murray St. (OVC),11,2-9,6,22,0.273
4,Penn (Ivy League),10,8-2,8,28,0.286
5,Elon (CAA),12,8-4,5,17,0.294
6,Alabama St. (SWAC),11,6-5,6,20,0.3
6,Valparaiso (Pioneer),12,5-7,6,20,0.3
8,Lamar University (Southland),11,1-10,5,16,0.313
9,Ark.-Pine Bluff (SWAC),11,3-8,6,19,0.316
10,Brown (Ivy League),10,3-7,7,22,0.318
11,Holy Cross (Patriot),13,12-1,10,31,0.323
12,Central Ark. (ASUN),11,5-6,9,27,0.333
12,Duquesne (NEC),11,4-7,7,21,0.333
12,New Hampshire (CAA),13,9-4,8,24,0.333
12,Richmond (CAA),13,9-4,6,18,0.333
12,Texas Southern (SWAC),11,5-6,8,24,0.333
12,Western Caro. (SoCon),11,6-5,7,21,0.333
18,Dayton (Pioneer),11,8-3,8,23,0.348
18,Prairie View (SWAC),11,6-5,8,23,0.348
20,Monmouth (CAA),11,5-6,7,20,0.35
20,Yale (Ivy League),10,8-2,7,20,0.35
22,Delaware St. (MEAC),11,5-6,8,22,0.364
22,Southern U. (SWAC),12,7-5,8,22,0.364
22,Stony Brook (CAA),11,2-9,4,11,0.364
25,Florida A&M (SWAC),11,9-2,6,16,0.375
25,N.C. Central (MEAC),12,10-2,9,24,0.375
25,Saint Francis (PA) (NEC),12,9-3,9,24,0.375
25,San Diego (Pioneer),10,5-5,12,32,0.375
29,Rhode Island (CAA),11,7-4,11,29,0.379
30,Tennessee Tech (OVC),11,4-7,8,21,0.381
31,Davidson (Pioneer),12,8-4,10,26,0.385
31,Stetson (Pioneer),10,4-6,10,26,0.385
33,Weber St. (Big Sky),13,10-3,12,31,0.387
34,LIU (NEC),11,4-7,7,18,0.389
35,Morgan St. (MEAC),11,4-7,9,23,0.391
36,Southern Utah (WAC),11,5-6,13,33,0.394
37,Dartmouth (Ivy League),10,3-7,8,20,0.4
37,Northern Colo. (Big Sky),11,3-8,8,20,0.4
37,Princeton (Ivy League),10,8-2,10,25,0.4
37,Sacramento St. (Big Sky),13,12-1,16,40,0.4
41,Charleston So. (Big South),10,2-8,11,27,0.407
42,Jackson St. (SWAC),13,12-1,14,34,0.412
43,Tennessee St. (OVC),11,4-7,10,24,0.417
44,Southeastern La. (Southland),13,9-4,13,31,0.419
45,Morehead St. (Pioneer),11,2-9,8,19,0.421
46,Furman (SoCon),13,10-3,14,33,0.424
47,Mississippi Val. (SWAC),11,2-9,9,21,0.429
48,Fordham (Patriot),12,9-3,13,30,0.433
49,Jacksonville St. (ASUN),11,9-2,14,32,0.438
50,Alcorn (SWAC),11,5-6,8,18,0.444
50,Colgate (Patriot),11,3-8,8,18,0.444
50,South Dakota (MVFC),11,3-8,8,18,0.444
53,Montana St. (Big Sky),14,12-2,17,38,0.447
54,Northwestern St. (Southland),11,4-7,13,29,0.448
55,UC Davis (Big Sky),11,6-5,9,20,0.45
56,UIW (Southland),14,12-2,14,31,0.452
57,Delaware (CAA),13,8-5,10,22,0.455
58,North Dakota (MVFC),12,7-5,6,13,0.462
58,South Carolina St. (MEAC),11,3-8,6,13,0.462
58,Southern Ill. (MVFC),11,5-6,12,26,0.462
61,Lafayette (Patriot),11,4-7,8,17,0.471
61,VMI (SoCon),11,1-10,8,17,0.471
63,Cal Poly (Big Sky),11,2-9,9,19,0.474
63,Cornell (Ivy League),10,5-5,9,19,0.474
63,Eastern Ky. (ASUN),12,7-5,9,19,0.474
63,The Citadel (SoCon),11,4-7,9,19,0.474
67,Abilene Christian (WAC),11,7-4,11,23,0.478
67,Drake (Pioneer),11,3-8,11,23,0.478
69,Austin Peay (ASUN),11,7-4,13,26,0.5
69,Bryant (Big South),11,4-7,10,20,0.5
69,Grambling (SWAC),11,3-8,14,28,0.5
69,Kennesaw St. (ASUN),11,5-6,4,8,0.5
69,Montana (Big Sky),13,8-5,13,26,0.5
69,Robert Morris (Big South),11,0-11,6,12,0.5
69,SFA (WAC),11,6-5,7,14,0.5
69,Samford (SoCon),13,11-2,16,32,0.5
69,Southeast Mo. St. (OVC),12,9-3,12,24,0.5
69,UAlbany (CAA),11,3-8,10,20,0.5
69,Wofford (SoCon),11,3-8,6,12,0.5
69,Youngstown St. (MVFC),11,7-4,8,16,0.5
81,South Dakota St. (MVFC),15,14-1,18,35,0.514
82,Presbyterian (Pioneer),11,1-10,11,21,0.524
83,Bethune-Cookman (SWAC),11,2-9,10,19,0.526
83,Idaho (Big Sky),12,7-5,10,19,0.526
83,Lehigh (Patriot),11,2-9,10,19,0.526
86,Western Ill. (MVFC),11,0-11,8,15,0.533
87,Butler (Pioneer),11,7-4,15,28,0.536
88,Bucknell (Patriot),11,3-8,14,26,0.538
88,Gardner-Webb (Big South),13,7-6,14,26,0.538
88,Norfolk St. (MEAC),11,2-9,7,13,0.538
88,UT Martin (OVC),11,7-4,14,26,0.538
92,Missouri St. (MVFC),11,5-6,13,24,0.542
92,Portland St. (Big Sky),11,4-7,13,24,0.542
94,Marist (Pioneer),11,4-7,18,33,0.545
95,Towson (CAA),11,6-5,11,20,0.55
96,Mercer (SoCon),11,7-4,16,29,0.552
97,Alabama A&M (SWAC),11,4-7,10,18,0.556
97,Campbell (Big South),11,5-6,10,18,0.556
