Rank,Team,G,W-L,4th Conv,4th Att,Pct
1,Mercer (SoCon),11,7-4,17,20,0.85
2,N.C. Central (MEAC),12,10-2,9,12,0.75
3,Southeastern La. (Southland),13,9-4,23,33,0.697
4,Towson (CAA),11,6-5,16,23,0.696
5,Southern Ill. (MVFC),11,5-6,18,26,0.692
6,Montana St. (Big Sky),14,12-2,16,24,0.667
6,South Dakota St. (MVFC),15,14-1,8,12,0.667
8,Southeast Mo. St. (OVC),12,9-3,11,17,0.647
9,Northern Ariz. (Big Sky),11,3-8,20,31,0.645
10,Wofford (SoCon),11,3-8,9,14,0.643
11,Sacramento St. (Big Sky),13,12-1,16,25,0.64
12,Stony Brook (CAA),11,2-9,12,19,0.632
13,Florida A&M (SWAC),11,9-2,10,16,0.625
14,Tennessee Tech (OVC),11,4-7,18,29,0.621
15,Samford (SoCon),13,11-2,13,21,0.619
16,Mississippi Val. (SWAC),11,2-9,11,18,0.611
17,North Dakota (MVFC),12,7-5,14,23,0.609
18,UIW (Southland),14,12-2,21,35,0.6
18,Portland St. (Big Sky),11,4-7,15,25,0.6
18,Villanova (CAA),11,6-5,12,20,0.6
21,Butler (Pioneer),11,7-4,16,27,0.593
22,Missouri St. (MVFC),11,5-6,13,22,0.591
23,Illinois St. (MVFC),11,6-5,8,14,0.571
24,Northern Colo. (Big Sky),11,3-8,17,30,0.567
25,Duquesne (NEC),11,4-7,9,16,0.562
25,Saint Francis (PA) (NEC),12,9-3,9,16,0.562
25,William & Mary (CAA),13,11-2,9,16,0.562
28,Holy Cross (Patriot),13,12-1,14,25,0.56
28,UC Davis (Big Sky),11,6-5,14,25,0.56
30,Cornell (Ivy League),10,5-5,15,27,0.556
31,Kennesaw St. (ASUN),11,5-6,17,31,0.548
32,Abilene Christian (WAC),11,7-4,6,11,0.545
32,UNI (MVFC),11,6-5,6,11,0.545
34,Idaho (Big Sky),12,7-5,15,28,0.536
34,New Hampshire (CAA),13,9-4,15,28,0.536
36,LIU (NEC),11,4-7,8,15,0.533
37,North Ala. (ASUN),11,1-10,10,19,0.526
37,North Dakota St. (MVFC),15,12-3,10,19,0.526
39,Colgate (Patriot),11,3-8,11,21,0.524
40,Penn (Ivy League),10,8-2,13,25,0.52
40,Princeton (Ivy League),10,8-2,13,25,0.52
42,Southern Utah (WAC),11,5-6,14,27,0.519
43,Alabama A&M (SWAC),11,4-7,17,34,0.5
43,Monmouth (CAA),11,5-6,15,30,0.5
43,Austin Peay (ASUN),11,7-4,13,26,0.5
43,SFA (ASUN),11,6-5,12,24,0.5
43,N.C. A&T (Big South),11,7-4,8,16,0.5
43,Delaware St. (MEAC),11,5-6,5,10,0.5
49,The Citadel (SoCon),11,4-7,18,37,0.486
50,Campbell (Big South),11,5-6,17,35,0.486
51,Indiana St. (MVFC),11,2-9,14,29,0.483
52,Fordham (Patriot),12,9-3,11,23,0.478
53,Alcorn (SWAC),11,5-6,10,21,0.476
53,South Carolina St. (MEAC),11,3-8,10,21,0.476
53,Western Caro. (SoCon),11,6-5,10,21,0.476
56,Bethune-Cookman (SWAC),11,2-9,9,19,0.474
56,Columbia (Ivy League),10,6-4,9,19,0.474
56,Howard (MEAC),11,5-6,9,19,0.474
56,VMI (SoCon),11,1-10,9,19,0.474
60,San Diego (Pioneer),10,5-5,7,15,0.467
61,Dartmouth (Ivy League),10,3-7,6,13,0.462
61,Yale (Ivy League),10,8-2,6,13,0.462
61,Youngstown St. (MVFC),11,7-4,6,13,0.462
64,Northwestern St. (Southland),11,4-7,17,37,0.459
65,Brown (Ivy League),10,3-7,11,24,0.458
66,Delaware (CAA),13,8-5,18,40,0.45
66,Richmond (CAA),13,9-4,9,20,0.45
68,Davidson (Pioneer),12,8-4,17,38,0.447
69,Idaho St. (Big Sky),11,1-10,12,27,0.444
69,Dayton (Pioneer),11,8-3,8,18,0.444
71,Maine (CAA),11,2-9,10,23,0.435
72,Tennessee St. (OVC),11,4-7,9,21,0.429
72,Prairie View (SWAC),11,6-5,6,14,0.429
72,Eastern Ky. (ASUN),12,7-5,3,7,0.429
75,Central Conn. St. (NEC),11,2-9,16,38,0.421
76,Bryant (Big South),11,4-7,7,17,0.412
76,Rhode Island (CAA),11,7-4,7,17,0.412
78,Grambling (SWAC),11,3-8,9,22,0.409
79,Nicholls (Southland),11,3-8,11,27,0.407
80,Georgetown (Patriot),11,2-9,14,35,0.4
80,Stetson (Pioneer),10,4-6,8,20,0.4
80,ETSU (SoCon),11,3-8,6,15,0.4
80,UAlbany (CAA),11,3-8,6,15,0.4
80,Hampton (CAA),11,4-7,2,5,0.4
85,Jackson St. (SWAC),13,12-1,11,28,0.393
86,Furman (SoCon),13,10-3,7,18,0.389
86,Norfolk St. (MEAC),11,2-9,7,18,0.389
88,Western Ill. (MVFC),11,0-11,12,31,0.387
89,Cal Poly (Big Sky),11,2-9,10,26,0.385
89,Chattanooga (SoCon),11,7-4,5,13,0.385
91,Lamar University (Southland),11,1-10,13,34,0.382
91,Morehead St. (Pioneer),11,2-9,13,34,0.382
93,Southern U. (SWAC),12,7-5,8,21,0.381
93,Texas Southern (SWAC),11,5-6,8,21,0.381
93,Valparaiso (Pioneer),12,5-7,8,21,0.381
96,Eastern Wash. (Big Sky),11,3-8,11,29,0.379
96,Weber St. (Big Sky),13,10-3,11,29,0.379
98,Gardner-Webb (Big South),13,7-6,6,16,0.375
99,Montana (Big Sky),13,8-5,10,28,0.357
99,Jacksonville St. (ASUN),11,9-2,5,14,0.357
101,Drake (Pioneer),11,3-8,11,31,0.355
102,Elon (CAA),12,8-4,6,17,0.353
103,Central Ark. (ASUN),11,5-6,9,26,0.346
104,Lafayette (Patriot),11,4-7,10,29,0.345
105,Houston Christian (Southland),11,2-9,8,24,0.333
105,Harvard (Ivy League),10,6-4,5,15,0.333
107,Marist (Pioneer),11,4-7,9,28,0.321
108,Lehigh (Patriot),11,2-9,8,25,0.32
108,Presbyterian (Pioneer),11,1-10,8,25,0.32
110,Eastern Ill. (OVC),11,2-9,7,22,0.318
111,UT Martin (OVC),11,7-4,5,16,0.312
112,Ark.-Pine Bluff (SWAC),11,3-8,7,23,0.304
113,McNeese (Southland),11,4-7,3,10,0.3
114,Charleston So. (Big South),10,2-8,5,17,0.294
115,Morgan St. (MEAC),11,4-7,5,18,0.278
115,Sam Houston (WAC),9,5-4,5,18,0.278
117,Robert Morris (Big South),11,0-11,5,19,0.263
118,Wagner (NEC),11,1-10,6,24,0.25
119,Sacred Heart (NEC),11,5-6,4,17,0.235
119,South Dakota (MVFC),11,3-8,4,17,0.235
121,Bucknell (Patriot),11,3-8,6,28,0.214
122,Murray St. (OVC),11,2-9,3,18,0.167
122,Alabama St. (SWAC),11,6-5,2,12,0.167
