Rank,Team,G,W-L,Opp KO Ret,KO TB,Opp KO Ret Yds,Opp Kick Ret TDs,Avg
1,Furman (SoCon),11,3-8,5,43,60,0,12.00
2,Columbia (Ivy League),10,7-3,13,21,183,0,14.08
3,Alabama A&M (SWAC),12,6-6,42,10,634,1,15.10
4,Towson (CAA),12,7-5,44,13,667,0,15.16
5,Tarleton St. (ASUN),14,10-4,19,44,290,0,15.26
6,Utah Tech (ASUN),12,1-11,18,19,277,0,15.39
7,Bethune-Cookman (SWAC),12,2-10,41,6,633,0,15.44
8,Southeastern La. (Southland),12,7-5,28,24,437,0,15.61
9,Missouri St. (MVFC),12,8-4,37,24,582,0,15.73
10,Princeton (Ivy League),10,3-7,20,11,316,0,15.80
11,South Dakota St. (MVFC),15,12-3,40,42,654,0,16.35
12,Holy Cross (Patriot),12,6-6,43,7,704,0,16.37
13,New Hampshire (CAA),13,8-5,44,16,735,0,16.70
14,Grambling (SWAC),12,5-7,24,30,402,0,16.75
15,Hampton (CAA),12,5-7,39,14,656,0,16.82
16,Gardner-Webb (OVC),12,4-8,21,18,357,0,17.00
17,Duquesne (NEC),11,8-3,43,10,736,0,17.12
18,SFA (Southland),12,7-5,25,47,436,0,17.44
19,Dayton (Pioneer),11,6-5,29,13,509,0,17.55
20,Lafayette (Patriot),12,6-6,27,22,474,0,17.56
21,N.C. A&T (CAA),12,1-11,21,11,371,0,17.67
22,Rhode Island (CAA),14,11-3,40,18,707,0,17.68
23,UIW (Southland),14,11-3,57,18,"1,011",1,17.74
24,LIU (NEC),12,4-8,34,13,604,0,17.76
25,Charleston So. (OVC),12,1-11,14,16,249,0,17.79
26,Northern Ariz. (Big Sky),13,8-5,21,51,374,0,17.81
27,Presbyterian (Pioneer),12,6-6,40,11,713,0,17.83
28,Cornell (Ivy League),10,4-6,24,12,428,0,17.83
29,Brown (Ivy League),10,3-7,18,22,322,0,17.89
30,Delaware (CAA),11,9-2,21,47,379,0,18.05
31,Dartmouth (Ivy League),10,8-2,16,35,289,0,18.06
32,Penn (Ivy League),10,4-6,20,10,364,0,18.20
33,Richmond (CAA),13,10-3,46,17,840,1,18.26
34,Maine (CAA),12,5-7,34,21,624,0,18.35
35,Mercer (SoCon),14,11-3,68,4,"1,254",0,18.44
36,Robert Morris (NEC),12,7-5,23,29,426,0,18.52
37,Alcorn (SWAC),12,6-6,42,3,778,0,18.52
38,Southern Ill. (MVFC),12,4-8,23,24,427,0,18.57
39,Lamar University (Southland),12,7-5,22,30,410,0,18.64
40,Lehigh (Patriot),13,9-4,40,25,755,1,18.88
41,Norfolk St. (MEAC),12,4-8,35,3,661,0,18.89
42,South Dakota (MVFC),14,11-3,41,13,782,0,19.07
43,VMI (SoCon),12,1-11,24,8,458,0,19.08
44,Jackson St. (SWAC),14,12-2,70,20,"1,347",0,19.24
45,Monmouth (CAA),12,6-6,56,15,"1,078",2,19.25
46,Montana St. (Big Sky),16,15-1,15,97,290,0,19.33
47,Butler (Pioneer),12,9-3,43,21,834,0,19.40
48,N.C. Central (MEAC),11,8-3,42,20,815,2,19.40
49,Tennessee Tech (OVC),12,7-5,21,28,408,0,19.43
50,Morehead St. (Pioneer),12,7-5,33,9,642,0,19.45
51,Delaware St. (MEAC),12,1-11,30,7,585,0,19.50
52,The Citadel (SoCon),12,5-7,25,25,488,0,19.52
53,Alabama St. (SWAC),12,7-5,43,5,848,0,19.72
54,Portland St. (Big Sky),11,3-8,28,29,554,0,19.79
55,Sacramento St. (Big Sky),12,3-9,37,27,735,0,19.86
56,UC Davis (Big Sky),14,11-3,35,50,698,1,19.94
57,Southeast Mo. St. (OVC),13,9-4,45,24,899,0,19.98
58,Cal Poly (Big Sky),11,3-8,30,12,601,0,20.03
58,Villanova (CAA),14,10-4,30,23,601,0,20.03
60,Prairie View (SWAC),12,5-7,29,17,581,0,20.03
61,Ark.-Pine Bluff (SWAC),12,3-9,50,2,"1,011",0,20.22
62,Mississippi Val. (SWAC),12,1-11,29,5,590,0,20.34
63,North Dakota (MVFC),12,5-7,35,11,720,0,20.57
64,Harvard (Ivy League),10,8-2,19,34,391,0,20.58
65,Stony Brook (CAA),12,8-4,29,34,597,0,20.59
66,Central Conn. St. (NEC),13,7-6,39,18,807,3,20.69
