Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
1,North Dakota (MVFC),12,7-5,29,807,2,27.83
2,Weber St. (Big Sky),11,6-5,30,784,1,26.13
3,Eastern Wash. (Big Sky),11,4-7,33,859,0,26.03
4,Kennesaw St. (FCS Independent),9,3-6,22,561,0,25.50
5,Merrimack (NEC),11,5-6,37,919,3,24.84
6,New Hampshire (CAA),11,6-5,35,846,2,24.17
7,Idaho (Big Sky),13,9-4,25,604,0,24.16
8,Delaware (CAA),13,9-4,40,951,0,23.78
9,Howard (MEAC),12,6-6,30,712,1,23.73
10,Lamar University (Southland),11,6-5,31,730,1,23.55
11,Robert Morris (OVC),11,4-7,37,863,0,23.32
12,UT Martin (OVC),11,8-3,27,629,1,23.30
13,Valparaiso (Pioneer),11,3-8,44,"1,019",0,23.16
14,Montana (Big Sky),15,13-2,25,577,1,23.08
15,Yale (Ivy League),10,7-3,12,276,0,23.00
16,McNeese (Southland),10,0-10,18,413,1,22.94
17,N.C. A&T (CAA),11,1-10,39,892,3,22.87
18,Furman (SoCon),13,10-3,27,612,0,22.67
19,Samford (SoCon),11,6-5,23,517,0,22.48
20,Dartmouth (Ivy League),10,6-4,17,380,0,22.35
21,Portland St. (Big Sky),11,5-6,25,557,1,22.28
22,South Dakota St. (MVFC),15,15-0,19,422,0,22.21
23,UC Davis (Big Sky),11,7-4,21,461,0,21.95
24,Central Ark. (ASUN),11,7-4,26,570,0,21.92
25,Northern Ariz. (Big Sky),11,5-6,24,523,0,21.79
26,Sacred Heart (NEC),11,2-9,35,757,0,21.63
27,Tennessee St. (OVC),11,6-5,21,450,0,21.43
28,Northern Colo. (Big Sky),11,0-11,16,342,0,21.38
29,Eastern Ky. (ASUN),11,5-6,30,640,0,21.33
30,Nicholls (Southland),11,6-5,29,615,0,21.21
31,San Diego (Pioneer),11,4-7,33,699,1,21.18
32,Elon (CAA),11,6-5,35,740,0,21.14
33,Austin Peay (ASUN),12,9-3,28,589,0,21.04
34,Idaho St. (Big Sky),11,3-8,21,441,0,21.00
35,Richmond (CAA),13,9-4,37,774,0,20.92
36,Butler (Pioneer),11,7-4,23,481,0,20.91
37,Abilene Christian (ASUN),11,5-6,25,522,0,20.88
38,Columbia (Ivy League),10,3-7,24,500,0,20.83
39,Southeastern La. (Southland),11,3-8,33,686,0,20.79
40,Chattanooga (SoCon),13,8-5,22,457,0,20.77
41,Bucknell (Patriot),11,4-7,40,829,1,20.73
42,Dayton (Pioneer),11,4-7,32,663,0,20.72
43,Brown (Ivy League),10,5-5,19,392,0,20.63
44,Drake (Pioneer),12,8-4,32,660,0,20.63
45,Colgate (Patriot),11,6-5,30,610,0,20.33
46,Sacramento St. (Big Sky),13,8-5,27,548,0,20.30
47,UAlbany (CAA),15,11-4,29,588,0,20.28
48,Texas Southern (SWAC),11,3-8,34,689,0,20.26
49,North Dakota St. (MVFC),15,11-4,21,423,0,20.14
50,Mercer (SoCon),13,9-4,33,661,0,20.03
51,Wofford (SoCon),11,2-9,31,619,0,19.97
52,Gardner-Webb (OVC),12,7-5,35,694,0,19.83
53,Holy Cross (Patriot),11,7-4,33,653,0,19.79
54,Ark.-Pine Bluff (SWAC),11,2-9,49,969,0,19.78
55,Cal Poly (Big Sky),11,3-8,39,771,0,19.77
56,Norfolk St. (MEAC),11,3-8,38,751,0,19.76
57,Harvard (Ivy League),10,8-2,23,454,0,19.74
58,Rhode Island (CAA),11,6-5,33,649,1,19.67
58,UNI (MVFC),11,6-5,24,472,0,19.67
60,Penn (Ivy League),10,6-4,19,373,0,19.63
61,Montana St. (Big Sky),12,8-4,21,409,0,19.48
62,Morgan St. (MEAC),10,4-6,34,662,2,19.47
63,Bethune-Cookman (SWAC),11,3-8,21,408,0,19.43
64,Indiana St. (MVFC),11,1-10,23,446,0,19.39
65,Morehead St. (Pioneer),11,4-7,40,774,0,19.35
66,Alabama St. (SWAC),11,7-4,28,541,1,19.32
67,Bryant (OVC),11,6-5,37,708,0,19.14
68,Stetson (Pioneer),11,3-8,42,802,0,19.10
69,Mississippi Val. (SWAC),11,1-10,46,878,0,19.09
70,Villanova (CAA),13,10-3,28,531,0,18.96
