Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
1,Fordham (Patriot),12,9-3,507,333,10,"4,965",9.79,14.91,58,413.8
2,UIW (Southland),14,12-2,499,349,9,"5,126",10.27,14.69,62,366.1
3,Eastern Ky. (ASUN),12,7-5,459,315,8,"3,956",8.62,12.56,33,329.7
4,Bryant (Big South),11,4-7,449,274,15,"3,486",7.76,12.72,29,316.9
5,Cal Poly (Big Sky),11,2-9,466,272,16,"3,447",7.40,12.67,25,313.4
6,Samford (SoCon),13,11-2,524,391,4,"3,957",7.55,10.12,40,304.4
7,Western Caro. (SoCon),11,6-5,400,262,20,"3,312",8.28,12.64,30,301.1
8,Jackson St. (SWAC),13,12-1,512,355,7,"3,870",7.56,10.90,42,297.7
9,Stetson (Pioneer),10,4-6,402,235,10,"2,959",7.36,12.59,21,295.9
10,UC Davis (Big Sky),11,6-5,396,275,7,"3,245",8.19,11.80,23,295
11,UNI (MVFC),11,6-5,330,214,7,"3,173",9.62,14.83,26,288.5
12,Mercer (SoCon),11,7-4,338,223,9,"3,109",9.20,13.94,33,282.6
13,Richmond (CAA),13,9-4,522,382,5,"3,673",7.04,9.62,31,282.5
14,Georgetown (Patriot),11,2-9,461,302,12,"3,034",6.58,10.05,18,275.8
15,UAlbany (CAA),11,3-8,380,229,4,"3,027",7.97,13.22,25,275.2
16,Princeton (Ivy League),10,8-2,352,243,5,"2,742",7.79,11.28,16,274.2
17,UT Martin (OVC),11,7-4,391,236,11,"2,963",7.58,12.56,18,269.4
18,Northwestern St. (Southland),11,4-7,502,280,18,"2,958",5.89,10.56,21,268.9
19,Northern Ariz. (Big Sky),11,3-8,464,298,8,"2,930",6.31,9.83,17,266.4
20,Southern Ill. (MVFC),11,5-6,369,254,7,"2,927",7.93,11.52,21,266.1
21,Delaware (CAA),13,8-5,487,306,10,"3,450",7.08,11.27,33,265.4
22,Campbell (Big South),11,5-6,376,233,11,"2,915",7.75,12.51,16,265
23,SFA (ASUN),11,6-5,361,217,5,"2,908",8.06,13.40,25,264.4
24,Central Ark. (ASUN),11,5-6,340,205,10,"2,904",8.54,14.17,22,264
25,Gardner-Webb (Big South),13,7-6,443,281,17,"3,417",7.71,12.16,21,262.8
26,Idaho (Big Sky),12,7-5,342,231,8,"3,144",9.19,13.61,29,262
27,Southern Utah (WAC),11,5-6,378,246,8,"2,862",7.57,11.63,20,260.2
28,Florida A&M (SWAC),11,9-2,411,235,12,"2,845",6.92,12.11,22,258.6
29,Abilene Christian (WAC),11,7-4,406,241,10,"2,823",6.95,11.71,23,256.6
30,Sacramento St. (Big Sky),13,12-1,433,271,16,"3,335",7.70,12.31,31,256.5
31,Eastern Wash. (Big Sky),11,3-8,395,250,10,"2,789",7.06,11.16,25,253.5
32,Penn (Ivy League),10,8-2,399,260,7,"2,515",6.30,9.67,18,251.5
33,Chattanooga (SoCon),11,7-4,324,195,11,"2,738",8.45,14.04,17,248.9
34,Brown (Ivy League),10,3-7,425,264,17,"2,472",5.82,9.36,15,247.2
35,Missouri St. (MVFC),11,5-6,346,213,6,"2,715",7.85,12.75,18,246.8
36,Saint Francis (PA) (NEC),12,9-3,338,213,6,"2,959",8.75,13.89,30,246.6
37,San Diego (Pioneer),10,5-5,344,206,7,"2,451",7.12,11.90,25,245.1
38,New Hampshire (CAA),13,9-4,423,263,8,"3,157",7.46,12.00,27,242.8
39,Southeast Mo. St. (OVC),12,9-3,389,233,7,"2,911",7.48,12.49,19,242.6
40,Southeastern La. (Southland),13,9-4,412,260,8,"3,151",7.65,12.12,22,242.4
41,Rhode Island (CAA),11,7-4,329,177,7,"2,589",7.87,14.63,19,235.4
42,N.C. Central (MEAC),12,10-2,328,207,10,"2,817",8.59,13.61,26,234.8
43,Austin Peay (ASUN),11,7-4,362,213,11,"2,580",7.13,12.11,22,234.5
