Rank,Team,G,W-L,Penalties,PYards,YPG
1,Western Ill. (MVFC),11,0-11,45,349,31.73
2,Illinois St. (MVFC),11,6-5,46,355,32.27
3,Kennesaw St. (ASUN),11,5-6,48,361,32.82
4,Dayton (Pioneer),11,8-3,43,363,33.00
5,Nicholls (Southland),11,3-8,43,373,33.91
6,Indiana St. (MVFC),11,2-9,41,374,34.00
7,North Dakota (MVFC),12,7-5,44,423,35.25
8,UC Davis (Big Sky),11,6-5,45,396,36.00
9,Drake (Pioneer),11,3-8,51,403,36.64
10,McNeese (Southland),11,4-7,41,405,36.82
11,Eastern Ill. (OVC),11,2-9,49,415,37.73
12,Chattanooga (SoCon),11,7-4,39,416,37.82
13,Idaho St. (Big Sky),11,1-10,53,421,38.27
14,Duquesne (NEC),11,4-7,49,430,39.09
15,Stony Brook (CAA),11,2-9,54,433,39.36
16,Morehead St. (Pioneer),11,2-9,57,434,39.45
17,Columbia (Ivy League),10,6-4,49,396,39.60
18,UNI (MVFC),11,6-5,49,438,39.82
19,Lafayette (Patriot),11,4-7,57,443,40.27
20,Cal Poly (Big Sky),11,2-9,50,444,40.36
21,Richmond (CAA),13,9-4,54,528,40.62
22,Delaware (CAA),13,8-5,60,531,40.85
23,Butler (Pioneer),11,7-4,54,455,41.36
23,Jacksonville St. (ASUN),11,9-2,47,455,41.36
25,Monmouth (CAA),11,5-6,59,456,41.45
26,Wofford (SoCon),11,3-8,51,460,41.82
27,Dartmouth (Ivy League),10,3-7,49,423,42.30
28,Howard (MEAC),11,5-6,55,477,43.36
29,Montana (Big Sky),13,8-5,56,568,43.69
30,Montana St. (Big Sky),14,12-2,73,626,44.71
31,Alcorn (SWAC),11,5-6,49,493,44.82
32,Northern Ariz. (Big Sky),11,3-8,54,495,45.00
33,Bucknell (Patriot),11,3-8,60,496,45.09
34,South Dakota St. (MVFC),15,14-1,91,677,45.13
35,North Dakota St. (MVFC),15,12-3,72,683,45.53
36,Ark.-Pine Bluff (SWAC),11,3-8,41,504,45.82
37,Wagner (NEC),11,1-10,61,506,46.00
38,Maine (CAA),11,2-9,66,510,46.36
39,Tennessee Tech (OVC),11,4-7,66,511,46.45
40,Murray St. (OVC),11,2-9,57,518,47.09
41,Davidson (Pioneer),12,8-4,65,566,47.17
42,Robert Morris (Big South),11,0-11,61,520,47.27
42,VMI (SoCon),11,1-10,54,520,47.27
44,The Citadel (SoCon),11,4-7,67,523,47.55
45,Prairie View (SWAC),11,6-5,64,527,47.91
46,Charleston So. (Big South),10,2-8,51,484,48.40
47,Portland St. (Big Sky),11,4-7,63,540,49.09
48,Furman (SoCon),13,10-3,76,646,49.69
49,Presbyterian (Pioneer),11,1-10,54,547,49.73
50,Abilene Christian (WAC),11,7-4,58,548,49.82
51,Princeton (Ivy League),10,8-2,53,500,50.00
52,Colgate (Patriot),11,3-8,64,558,50.73
53,Brown (Ivy League),10,3-7,55,508,50.80
54,New Hampshire (CAA),13,9-4,78,662,50.92
55,Sam Houston (WAC),9,5-4,47,459,51.00
56,Penn (Ivy League),10,8-2,58,511,51.10
57,South Dakota (MVFC),11,3-8,68,564,51.27
58,Northern Colo. (Big Sky),11,3-8,69,567,51.55
58,Villanova (CAA),11,6-5,62,567,51.55
60,Yale (Ivy League),10,8-2,60,516,51.60
61,San Diego (Pioneer),10,5-5,59,520,52.00
62,Elon (CAA),12,8-4,76,628,52.33
63,Central Conn. St. (NEC),11,2-9,64,576,52.36
64,Hampton (CAA),11,4-7,67,578,52.55
65,Youngstown St. (MVFC),11,7-4,67,580,52.73
66,Eastern Ky. (ASUN),12,7-5,66,633,52.75
67,Samford (SoCon),13,11-2,76,690,53.08
68,ETSU (SoCon),11,3-8,63,586,53.27
69,Mercer (SoCon),11,7-4,59,589,53.55
70,Southeastern La. (Southland),13,9-4,84,700,53.85
