Rank,Team,G,W-L,Opp Punt Ret,Opp Punt Ret Yds,Opp Punt Ret TDs,Avg
1,Hampton (CAA),11,4-7,3,-5,0,-1.67
2,Western Ill. (MVFC),11,0-11,14,-7,0,-0.50
3,Illinois St. (MVFC),11,6-5,11,5,0,0.45
4,Brown (Ivy League),10,3-7,11,22,0,2.00
5,Delaware (CAA),13,8-5,14,30,0,2.14
6,Tennessee Tech (OVC),11,4-7,14,32,0,2.29
7,Prairie View (SWAC),11,6-5,17,41,0,2.41
8,Jackson St. (SWAC),13,12-1,14,35,0,2.50
9,Weber St. (Big Sky),13,10-3,7,19,0,2.71
10,Richmond (CAA),13,9-4,8,22,0,2.75
11,N.C. Central (MEAC),12,10-2,6,17,1,2.83
12,Chattanooga (SoCon),11,7-4,8,25,0,3.13
13,Colgate (Patriot),11,3-8,22,70,0,3.18
14,Indiana St. (MVFC),11,2-9,15,48,0,3.20
15,South Dakota (MVFC),11,3-8,12,39,1,3.25
16,Princeton (Ivy League),10,8-2,18,60,1,3.33
17,McNeese (Southland),11,4-7,14,47,0,3.36
18,Wofford (SoCon),11,3-8,9,31,0,3.44
19,San Diego (Pioneer),10,5-5,12,43,0,3.58
20,Saint Francis (PA) (NEC),12,9-3,10,37,1,3.70
21,Columbia (Ivy League),10,6-4,7,26,1,3.71
22,Butler (Pioneer),11,7-4,14,60,0,4.29
23,Marist (Pioneer),11,4-7,18,83,1,4.61
24,LIU (NEC),11,4-7,20,95,1,4.75
25,Idaho (Big Sky),12,7-5,9,45,0,5.00
25,Sacramento St. (Big Sky),13,12-1,10,50,0,5.00
25,The Citadel (SoCon),11,4-7,5,25,1,5.00
28,Dayton (Pioneer),11,8-3,16,82,0,5.13
29,Texas Southern (SWAC),11,5-6,23,118,0,5.13
30,Yale (Ivy League),10,8-2,14,73,0,5.21
31,Penn (Ivy League),10,8-2,13,68,0,5.23
32,Campbell (Big South),11,5-6,17,89,0,5.24
33,Sam Houston (WAC),9,5-4,18,98,0,5.44
34,Furman (SoCon),13,10-3,14,77,0,5.50
34,Lehigh (Patriot),11,2-9,10,55,0,5.50
36,Western Caro. (SoCon),11,6-5,15,83,0,5.53
37,Eastern Ill. (OVC),11,2-9,20,114,0,5.70
38,Elon (CAA),12,8-4,15,88,0,5.87
39,Mississippi Val. (SWAC),11,2-9,18,106,0,5.89
