Rank,Team,G,W-L,Punt Ret,Punt Ret Yds,Punt Ret TDs,Avg
1,Southeastern La. (Southland),12,7-5,23,419,0,18.22
2,Morgan St. (MEAC),12,6-6,17,305,0,17.94
3,Montana (Big Sky),14,9-5,19,322,3,16.95
4,Wofford (SoCon),12,5-7,8,127,1,15.88
5,Bethune-Cookman (SWAC),12,2-10,12,187,1,15.58
6,Harvard (Ivy League),10,8-2,19,290,0,15.26
7,Eastern Ky. (ASUN),13,8-5,11,157,0,14.27
8,William & Mary (CAA),12,7-5,21,296,2,14.10
9,Jackson St. (SWAC),14,12-2,28,392,0,14.00
10,UNI (MVFC),12,3-9,10,139,1,13.90
11,N.C. A&T (CAA),12,1-11,7,95,0,13.57
12,Alcorn (SWAC),12,6-6,18,243,0,13.50
12,Charleston So. (OVC),12,1-11,8,108,0,13.50
14,UT Martin (OVC),14,9-5,21,276,1,13.14
15,Dayton (Pioneer),11,6-5,17,221,1,13.00
16,UIW (Southland),14,11-3,24,300,1,12.50
17,North Dakota (MVFC),12,5-7,9,111,0,12.33
18,South Dakota St. (MVFC),15,12-3,20,246,2,12.30
19,Alabama A&M (SWAC),12,6-6,13,159,0,12.23
20,Mercer (SoCon),14,11-3,32,391,3,12.22
21,Montana St. (Big Sky),16,15-1,55,670,2,12.18
22,Delaware (CAA),11,9-2,11,132,0,12.00
23,Butler (Pioneer),12,9-3,13,154,0,11.85
24,North Dakota St. (MVFC),16,14-2,19,225,1,11.84
25,Gardner-Webb (OVC),12,4-8,18,213,0,11.83
26,Morehead St. (Pioneer),12,7-5,12,141,1,11.75
27,Bucknell (Patriot),12,6-6,22,251,2,11.41
28,Weber St. (Big Sky),12,4-8,30,337,0,11.23
29,Lafayette (Patriot),12,6-6,18,200,2,11.11
30,Alabama St. (SWAC),12,7-5,29,319,1,11.00
31,Campbell (CAA),12,3-9,11,117,0,10.64
31,Maine (CAA),12,5-7,11,117,0,10.64
33,Southern Utah (ASUN),12,7-5,13,137,0,10.54
34,Austin Peay (ASUN),12,4-8,12,126,1,10.50
35,Northern Ariz. (Big Sky),13,8-5,32,328,1,10.25
36,Grambling (SWAC),12,5-7,23,234,1,10.17
37,Columbia (Ivy League),10,7-3,10,100,0,10.00
38,Central Ark. (ASUN),12,6-6,20,199,1,9.95
39,Indiana St. (MVFC),12,4-8,14,135,0,9.64
40,Mississippi Val. (SWAC),12,1-11,10,96,0,9.60
41,Lamar University (Southland),12,7-5,13,124,1,9.54
41,South Dakota (MVFC),14,11-3,13,124,1,9.54
43,Richmond (CAA),13,10-3,13,123,0,9.46
44,Stetson (Pioneer),11,2-9,9,85,0,9.44
45,Florida A&M (SWAC),12,7-5,15,140,1,9.33
46,Furman (SoCon),11,3-8,16,147,0,9.19
47,Houston Christian (Southland),12,5-7,21,187,0,8.90
48,Idaho (Big Sky),14,10-4,16,139,1,8.69
49,Portland St. (Big Sky),11,3-8,5,43,0,8.60
49,Tennessee St. (OVC),13,9-4,20,172,0,8.60
51,Southeast Mo. St. (OVC),13,9-4,31,266,0,8.58
52,ETSU (SoCon),12,7-5,16,136,0,8.50
52,Hampton (CAA),12,5-7,8,68,0,8.50
54,Idaho St. (Big Sky),12,5-7,16,135,1,8.44
55,Drake (Pioneer),11,8-3,22,181,0,8.23
56,North Ala. (ASUN),12,3-9,18,147,0,8.17
57,Eastern Ill. (OVC),12,3-9,7,57,0,8.14
58,Princeton (Ivy League),10,3-7,16,127,0,7.94
59,Western Caro. (SoCon),12,7-5,24,188,0,7.83
60,Abilene Christian (ASUN),14,9-5,23,180,0,7.83
61,SFA (Southland),12,7-5,29,225,1,7.76
62,Villanova (CAA),14,10-4,15,116,0,7.73
63,Merrimack (FCS Independent),11,5-6,20,154,0,7.70
64,Georgetown (Patriot),11,5-6,14,107,0,7.64
65,Southern Ill. (MVFC),12,4-8,11,83,0,7.55
66,UAlbany (CAA),12,4-8,24,181,0,7.54
67,Eastern Wash. (Big Sky),12,4-8,9,67,0,7.44
68,Prairie View (SWAC),12,5-7,17,126,1,7.41
69,Monmouth (CAA),12,6-6,14,103,0,7.36
70,Davidson (Pioneer),11,6-5,7,51,0,7.29
71,Colgate (Patriot),12,2-10,10,72,0,7.20
71,Utah Tech (ASUN),12,1-11,10,72,0,7.20
73,Nicholls (Southland),12,4-8,18,129,1,7.17
74,Presbyterian (Pioneer),12,6-6,18,128,0,7.11
75,Sacramento St. (Big Sky),12,3-9,18,123,0,6.83
76,Valparaiso (Pioneer),11,4-7,17,115,0,6.76
77,New Hampshire (CAA),13,8-5,16,107,0,6.69
78,Murray St. (MVFC),12,1-11,9,60,0,6.67
79,Robert Morris (NEC),12,7-5,21,137,0,6.52
80,Holy Cross (Patriot),12,6-6,21,136,2,6.48
81,Texas Southern (SWAC),11,5-6,15,97,1,6.47
82,N.C. Central (MEAC),11,8-3,28,181,2,6.46
83,LIU (NEC),12,4-8,13,84,0,6.46
84,Delaware St. (MEAC),12,1-11,10,64,0,6.40
85,Towson (CAA),12,7-5,13,83,0,6.38
86,Howard (MEAC),12,4-8,12,75,0,6.25
87,Tennessee Tech (OVC),12,7-5,18,111,1,6.17
88,Dartmouth (Ivy League),10,8-2,17,103,0,6.06
89,Samford (SoCon),11,4-7,22,133,0,6.05
90,Marist (Pioneer),11,1-10,12,70,1,5.83
91,Lehigh (Patriot),13,9-4,22,127,0,5.77
92,Northern Colo. (Big Sky),12,1-11,13,75,0,5.77
93,The Citadel (SoCon),12,5-7,20,115,1,5.75
94,Wagner (NEC),12,4-8,10,57,0,5.70
95,Elon (CAA),12,6-6,20,113,0,5.65
96,San Diego (Pioneer),11,8-3,16,88,0,5.50
97,Rhode Island (CAA),14,11-3,23,126,0,5.48
98,Missouri St. (MVFC),12,8-4,14,76,0,5.43
99,Northwestern St. (Southland),12,0-12,12,65,0,5.42
100,Central Conn. St. (NEC),13,7-6,20,107,0,5.35
101,Yale (Ivy League),10,7-3,9,48,0,5.33
102,Duquesne (NEC),11,8-3,16,85,0,5.31
103,Norfolk St. (MEAC),12,4-8,6,31,0,5.17
104,VMI (SoCon),12,1-11,15,74,1,4.93
105,Stony Brook (CAA),12,8-4,14,68,1,4.86
106,Cal Poly (Big Sky),11,3-8,11,52,0,4.73
107,Ark.-Pine Bluff (SWAC),12,3-9,7,29,0,4.14
108,Penn (Ivy League),10,4-6,10,41,0,4.10
109,Cornell (Ivy League),10,4-6,6,24,0,4.00
109,Western Ill. (OVC),12,4-8,1,4,0,4.00
111,UC Davis (Big Sky),14,11-3,20,77,0,3.85
112,Sacred Heart (FCS Independent),11,5-6,6,22,0,3.67
113,Southern U. (SWAC),13,8-5,15,54,0,3.60
114,South Carolina St. (MEAC),12,9-3,11,39,0,3.55
115,McNeese (Southland),12,6-6,12,42,1,3.50
116,Youngstown St. (MVFC),12,4-8,15,52,0,3.47
117,Chattanooga (SoCon),12,7-5,10,34,0,3.40
118,Tarleton St. (ASUN),14,10-4,15,40,0,2.67
119,Saint Francis (NEC),11,4-7,13,30,0,2.31
120,Illinois St. (MVFC),14,10-4,9,16,0,1.78
121,Brown (Ivy League),10,3-7,12,18,0,1.50
122,Fordham (Patriot),12,2-10,5,4,0,0.80
123,Bryant (CAA),12,2-10,1,0,1,0.00
