Rank,Team,G,W-L,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
1,Davidson (Pioneer),12,8-4,720,"3,978",5.52,34,331.5
2,Montana St. (Big Sky),14,12-2,673,"4,366",6.49,49,311.9
3,William & Mary (CAA),13,11-2,581,"3,455",5.95,35,265.8
4,North Dakota St. (MVFC),15,12-3,656,"3,986",6.08,50,265.7
5,Jacksonville St. (ASUN),11,9-2,494,"2,761",5.59,37,251
6,Holy Cross (Patriot),13,12-1,573,"3,186",5.56,34,245.1
7,Sacramento St. (Big Sky),13,12-1,585,"3,163",5.41,36,243.3
8,The Citadel (SoCon),11,4-7,601,"2,568",4.27,15,233.5
9,Yale (Ivy League),10,8-2,430,"2,328",5.41,21,232.8
10,Kennesaw St. (ASUN),11,5-6,635,"2,554",4.02,28,232.2
11,Prairie View (SWAC),11,6-5,498,"2,534",5.09,28,230.4
12,Monmouth (CAA),11,5-6,439,"2,513",5.72,33,228.5
13,Southeast Mo. St. (OVC),12,9-3,444,"2,707",6.10,29,225.6
14,UIW (Southland),14,12-2,536,"3,011",5.62,30,215.1
15,Furman (SoCon),13,10-3,542,"2,767",5.11,29,212.8
16,N.C. Central (MEAC),12,10-2,461,"2,527",5.48,34,210.6
17,Youngstown St. (MVFC),11,7-4,421,"2,225",5.29,20,202.3
18,Southern U. (SWAC),12,7-5,480,"2,422",5.05,25,201.8
19,McNeese (Southland),11,4-7,421,"2,205",5.24,20,200.5
20,Dayton (Pioneer),11,8-3,501,"2,182",4.36,25,198.4
21,Southeastern La. (Southland),13,9-4,524,"2,566",4.90,34,197.4
22,Weber St. (Big Sky),13,10-3,571,"2,548",4.46,27,196
23,Fordham (Patriot),12,9-3,433,"2,342",5.41,21,195.2
24,UC Davis (Big Sky),11,6-5,397,"2,106",5.30,24,191.5
25,Villanova (CAA),11,6-5,410,"2,086",5.09,20,189.6
26,Austin Peay (ASUN),11,7-4,451,"2,082",4.62,20,189.3
27,Portland St. (Big Sky),11,4-7,451,"2,069",4.59,18,188.1
28,Mercer (SoCon),11,7-4,409,"2,066",5.05,19,187.8
29,North Ala. (ASUN),11,1-10,425,"2,031",4.78,22,184.6
30,South Dakota St. (MVFC),15,14-1,564,"2,769",4.91,36,184.6
31,N.C. A&T (Big South),11,7-4,402,"2,028",5.04,19,184.4
32,Western Caro. (SoCon),11,6-5,401,"2,027",5.05,13,184.3
33,Saint Francis (PA) (NEC),12,9-3,453,"2,187",4.83,21,182.2
34,Gardner-Webb (Big South),13,7-6,515,"2,323",4.51,34,178.7
35,Lamar University (Southland),11,1-10,453,"1,923",4.25,15,174.8
36,Texas Southern (SWAC),11,5-6,461,"1,919",4.16,19,174.5
37,Tennessee Tech (OVC),11,4-7,404,"1,913",4.74,14,173.9
38,Alcorn (SWAC),11,5-6,478,"1,912",4.00,16,173.8
39,UT Martin (OVC),11,7-4,347,"1,904",5.49,29,173.1
40,Montana (Big Sky),13,8-5,508,"2,220",4.37,28,170.8
41,Idaho (Big Sky),12,7-5,470,"2,048",4.36,22,170.7
42,ETSU (SoCon),11,3-8,394,"1,874",4.76,20,170.4
43,Central Ark. (ASUN),11,5-6,383,"1,872",4.89,17,170.2
44,Sacred Heart (NEC),11,5-6,454,"1,871",4.12,22,170.1
45,Rhode Island (CAA),11,7-4,368,"1,862",5.06,23,169.3
46,Howard (MEAC),11,5-6,413,"1,807",4.38,21,164.3
47,Sam Houston (WAC),9,5-4,329,"1,461",4.44,10,162.3
48,Butler (Pioneer),11,7-4,420,"1,781",4.24,17,161.9
49,Towson (CAA),11,6-5,425,"1,772",4.17,10,161.1
50,Chattanooga (SoCon),11,7-4,416,"1,763",4.24,21,160.3
51,Alabama A&M (SWAC),11,4-7,436,"1,759",4.03,16,159.9
52,Dartmouth (Ivy League),10,3-7,337,"1,588",4.71,17,158.8
53,SFA (ASUN),11,6-5,415,"1,739",4.19,16,158.1
54,Colgate (Patriot),11,3-8,396,"1,734",4.38,18,157.6
55,UNI (MVFC),11,6-5,383,"1,721",4.49,18,156.5
56,Nicholls (Southland),11,3-8,406,"1,690",4.16,10,153.6
57,Harvard (Ivy League),10,6-4,357,"1,529",4.28,14,152.9
58,Elon (CAA),12,8-4,460,"1,829",3.98,16,152.4
59,Campbell (Big South),11,5-6,417,"1,669",4.00,23,151.7
60,Grambling (SWAC),11,3-8,367,"1,658",4.52,18,150.7
61,Central Conn. St. (NEC),11,2-9,392,"1,649",4.21,19,149.9
62,Eastern Ill. (OVC),11,2-9,427,"1,642",3.85,12,149.3
63,Morgan St. (MEAC),11,4-7,392,"1,634",4.17,13,148.5
64,Jackson St. (SWAC),13,12-1,438,"1,927",4.40,17,148.2
65,Maine (CAA),11,2-9,370,"1,630",4.41,16,148.2
66,Columbia (Ivy League),10,6-4,381,"1,480",3.88,12,148
67,North Dakota (MVFC),12,7-5,406,"1,771",4.36,25,147.6
68,Ark.-Pine Bluff (SWAC),11,3-8,377,"1,581",4.19,22,143.7
69,Delaware (CAA),13,8-5,449,"1,864",4.15,15,143.4
70,Mississippi Val. (SWAC),11,2-9,409,"1,576",3.85,6,143.3
71,Bethune-Cookman (SWAC),11,2-9,349,"1,575",4.51,16,143.2
72,Cornell (Ivy League),10,5-5,391,"1,424",3.64,11,142.4
73,Abilene Christian (WAC),11,7-4,382,"1,560",4.08,17,141.8
74,Richmond (CAA),13,9-4,468,"1,840",3.93,15,141.5
75,Murray St. (OVC),11,2-9,400,"1,501",3.75,9,136.5
76,Eastern Wash. (Big Sky),11,3-8,378,"1,481",3.92,10,134.6
77,New Hampshire (CAA),13,9-4,442,"1,734",3.92,19,133.4
78,Tennessee St. (OVC),11,4-7,419,"1,459",3.48,10,132.6
79,Norfolk St. (MEAC),11,2-9,360,"1,451",4.03,11,131.9
80,Southern Utah (WAC),11,5-6,358,"1,448",4.04,20,131.6
81,Samford (SoCon),13,11-2,457,"1,694",3.71,17,130.3
82,Hampton (CAA),11,4-7,335,"1,432",4.27,9,130.2
82,Indiana St. (MVFC),11,2-9,381,"1,432",3.76,12,130.2
84,Idaho St. (Big Sky),11,1-10,397,"1,418",3.57,8,128.9
85,Duquesne (NEC),11,4-7,395,"1,407",3.56,9,127.9
86,LIU (NEC),11,4-7,386,"1,405",3.64,13,127.7
87,UAlbany (CAA),11,3-8,352,"1,394",3.96,16,126.7
88,Valparaiso (Pioneer),12,5-7,418,"1,508",3.61,16,125.7
89,Morehead St. (Pioneer),11,2-9,379,"1,376",3.63,12,125.1
90,South Dakota (MVFC),11,3-8,362,"1,350",3.73,11,122.7
91,Southern Ill. (MVFC),11,5-6,416,"1,345",3.23,19,122.3
92,Eastern Ky. (ASUN),12,7-5,361,"1,460",4.04,20,121.7
93,Delaware St. (MEAC),11,5-6,424,"1,324",3.12,13,120.4
94,Missouri St. (MVFC),11,5-6,352,"1,315",3.74,19,119.5
95,Bucknell (Patriot),11,3-8,377,"1,259",3.34,10,114.5
96,Northern Colo. (Big Sky),11,3-8,353,"1,256",3.56,10,114.2
97,Bryant (Big South),11,4-7,335,"1,242",3.71,16,112.9
98,Illinois St. (MVFC),11,6-5,382,"1,238",3.24,9,112.5
99,Alabama St. (SWAC),11,6-5,398,"1,233",3.10,12,112.1
100,Northwestern St. (Southland),11,4-7,361,"1,230",3.41,11,111.8
101,San Diego (Pioneer),10,5-5,277,"1,111",4.01,9,111.1
102,Drake (Pioneer),11,3-8,376,"1,219",3.24,9,110.8
103,South Carolina St. (MEAC),11,3-8,370,"1,173",3.17,9,106.6
104,Brown (Ivy League),10,3-7,375,"1,063",2.83,14,106.3
105,Northern Ariz. (Big Sky),11,3-8,359,"1,164",3.24,13,105.8
106,Stony Brook (CAA),11,2-9,384,"1,163",3.03,6,105.7
107,Charleston So. (Big South),10,2-8,316,"1,025",3.24,10,102.5
108,Lehigh (Patriot),11,2-9,336,"1,094",3.26,8,99.5
109,Penn (Ivy League),10,8-2,304,982,3.23,14,98.2
110,Wofford (SoCon),11,3-8,353,"1,058",3.00,16,96.2
111,Florida A&M (SWAC),11,9-2,345,"1,042",3.02,10,94.7
112,Princeton (Ivy League),10,8-2,318,921,2.90,19,92.1
113,Cal Poly (Big Sky),11,2-9,325,986,3.03,7,89.6
114,Lafayette (Patriot),11,4-7,373,979,2.62,8,89
115,Western Ill. (MVFC),11,0-11,335,973,2.90,2,88.5
116,Presbyterian (Pioneer),11,1-10,373,956,2.56,10,86.9
117,Stetson (Pioneer),10,4-6,264,862,3.27,13,86.2
118,Marist (Pioneer),11,4-7,298,929,3.12,13,84.5
119,Georgetown (Patriot),11,2-9,311,901,2.90,10,81.9
120,Houston Christian (Southland),11,2-9,329,866,2.63,3,78.7
121,VMI (SoCon),11,1-10,349,850,2.44,12,77.3
122,Wagner (NEC),11,1-10,348,746,2.14,5,67.8
123,Robert Morris (Big South),11,0-11,321,699,2.18,6,63.5
