Rank,Team,G,W-L,TDs,Opp XP,2PT,Opp DXP,Opp FGM,Opp Saf,Pts,Avg
1,Princeton (Ivy League),10,8-2,17,13,0,1,6,0,135,13.5
2,Jackson St. (SWAC),13,12-1,21,16,2,0,10,0,176,13.5
3,South Dakota St. (MVFC),15,14-1,30,26,0,0,9,2,237,15.8
4,Delaware (CAA),13,8-5,28,25,1,0,14,0,237,18.2
5,Yale (Ivy League),10,8-2,25,21,0,0,8,0,195,19.5
6,Penn (Ivy League),10,8-2,24,21,1,0,10,0,197,19.7
7,Richmond (CAA),13,9-4,35,28,1,0,7,0,261,20.1
8,Alabama St. (SWAC),11,6-5,28,20,0,0,10,2,222,20.2
9,North Dakota St. (MVFC),15,12-3,37,30,2,0,15,1,303,20.2
10,Furman (SoCon),13,10-3,33,30,0,0,11,1,263,20.2
11,Illinois St. (MVFC),11,6-5,28,24,1,0,10,0,224,20.4
12,Weber St. (Big Sky),13,10-3,31,29,1,0,12,6,265,20.4
13,Dartmouth (Ivy League),10,3-7,25,23,1,0,10,0,205,20.5
14,Chattanooga (SoCon),11,7-4,29,27,1,0,8,0,227,20.6
15,Sam Houston (WAC),9,5-4,22,22,0,0,11,0,187,20.8
16,Columbia (Ivy League),10,6-4,25,23,1,0,11,0,208,20.8
17,San Diego (Pioneer),10,5-5,27,23,2,0,7,0,210,21
18,Montana (Big Sky),13,8-5,35,34,1,0,9,2,277,21.3
19,Elon (CAA),12,8-4,32,32,0,0,10,1,256,21.3
20,N.C. Central (MEAC),12,10-2,36,27,0,0,5,0,258,21.5
20,Saint Francis (PA) (NEC),12,9-3,35,29,1,0,5,1,258,21.5
22,Holy Cross (Patriot),13,12-1,36,31,2,0,9,1,280,21.5
23,Butler (Pioneer),11,7-4,31,25,0,0,9,0,238,21.6
24,Lafayette (Patriot),11,4-7,31,23,1,0,8,2,239,21.7
24,UC Davis (Big Sky),11,6-5,29,26,0,0,13,0,239,21.7
26,Southern U. (SWAC),12,7-5,32,28,3,0,11,1,261,21.8
27,Mercer (SoCon),11,7-4,28,27,0,0,16,0,243,22.1
28,Austin Peay (ASUN),11,7-4,31,31,0,0,9,0,244,22.2
29,Abilene Christian (WAC),11,7-4,30,24,3,0,12,0,246,22.4
30,Dayton (Pioneer),11,8-3,32,31,0,0,8,0,247,22.5
31,William & Mary (CAA),13,11-2,38,30,1,0,11,0,293,22.5
32,Southeast Mo. St. (OVC),12,9-3,34,29,1,0,12,0,271,22.6
33,Florida A&M (SWAC),11,9-2,33,28,0,0,6,4,252,22.9
33,Jacksonville St. (ASUN),11,9-2,31,29,1,0,11,1,252,22.9
35,Delaware St. (MEAC),11,5-6,32,28,1,0,10,1,254,23.1
36,Harvard (Ivy League),10,6-4,30,23,3,0,9,0,236,23.6
37,Davidson (Pioneer),12,8-4,38,34,0,0,10,0,292,24.3
38,UIW (Southland),14,12-2,42,37,3,0,17,0,346,24.7
39,Tennessee St. (OVC),11,4-7,36,31,2,0,7,0,272,24.7
40,Alcorn (SWAC),11,5-6,36,35,0,0,7,1,274,24.9
41,The Citadel (SoCon),11,4-7,36,33,0,0,9,0,276,25.1
42,Howard (MEAC),11,5-6,36,32,1,0,9,1,279,25.4
42,Youngstown St. (MVFC),11,7-4,36,34,1,0,9,0,279,25.4
44,Idaho (Big Sky),12,7-5,40,34,1,0,9,1,305,25.4
45,Samford (SoCon),13,11-2,37,37,0,0,24,0,331,25.5
46,UNI (MVFC),11,6-5,34,28,3,0,15,0,283,25.7
47,Texas Southern (SWAC),11,5-6,37,34,0,0,9,1,285,25.9
48,Sacramento St. (Big Sky),13,12-1,44,39,2,0,10,0,337,25.9
49,Southeastern La. (Southland),13,9-4,47,44,0,0,4,0,338,26
50,Sacred Heart (NEC),11,5-6,39,34,1,0,5,1,287,26.1
51,N.C. A&T (Big South),11,7-4,39,37,1,0,6,0,291,26.5
52,Prairie View (SWAC),11,6-5,38,30,2,0,10,0,292,26.5
53,Rhode Island (CAA),11,7-4,36,33,4,0,12,0,293,26.6
54,Montana St. (Big Sky),14,12-2,49,41,4,0,10,0,373,26.6
55,Southern Ill. (MVFC),11,5-6,39,37,0,0,7,1,294,26.7
56,Hampton (CAA),11,4-7,38,35,1,0,11,0,298,27.1
57,Missouri St. (MVFC),11,5-6,39,34,1,0,10,0,300,27.3
58,Drake (Pioneer),11,3-8,38,33,2,0,12,1,303,27.5
58,Duquesne (NEC),11,4-7,41,37,1,0,6,0,303,27.5
60,Towson (CAA),11,6-5,40,32,2,0,10,0,306,27.8
61,Southern Utah (WAC),11,5-6,41,40,0,0,7,0,307,27.9
62,Morgan St. (MEAC),11,4-7,40,39,0,0,9,1,308,28
63,Cornell (Ivy League),10,5-5,36,29,2,0,10,1,281,28.1
64,Campbell (Big South),11,5-6,41,33,1,0,10,0,311,28.3
65,Bucknell (Patriot),11,3-8,43,37,0,0,5,1,312,28.4
66,New Hampshire (CAA),13,9-4,51,46,1,0,5,0,369,28.4
67,Villanova (CAA),11,6-5,41,38,0,0,9,1,313,28.5
68,Stetson (Pioneer),10,4-6,36,30,2,0,11,1,285,28.5
69,Gardner-Webb (Big South),13,7-6,49,43,2,0,12,0,377,29
70,South Dakota (MVFC),11,3-8,41,37,0,0,12,1,321,29.2
71,Northern Ariz. (Big Sky),11,3-8,38,35,1,0,19,0,322,29.3
72,Central Conn. St. (NEC),11,2-9,42,36,0,0,11,1,323,29.4
73,Lehigh (Patriot),11,2-9,41,32,1,0,15,0,325,29.5
74,Marist (Pioneer),11,4-7,42,39,0,0,12,0,327,29.7
75,Valparaiso (Pioneer),12,5-7,49,46,0,0,7,0,361,30.1
76,Bryant (Big South),11,4-7,42,30,3,0,13,2,331,30.1
76,UT Martin (OVC),11,7-4,44,38,0,0,9,1,331,30.1
78,Mississippi Val. (SWAC),11,2-9,42,36,1,0,14,1,334,30.4
78,SFA (WAC),11,6-5,43,40,0,0,12,0,334,30.4
80,Colgate (Patriot),11,3-8,45,40,2,0,7,0,335,30.5
81,ETSU (SoCon),11,3-8,42,42,0,0,14,0,336,30.5
82,South Carolina St. (MEAC),11,3-8,44,42,1,0,10,0,338,30.7
83,North Dakota (MVFC),12,7-5,48,44,1,0,12,0,370,30.8
84,McNeese (Southland),11,4-7,44,38,1,0,12,0,340,30.9
85,Eastern Ill. (OVC),11,2-9,43,40,0,0,15,0,343,31.2
86,Wofford (SoCon),11,3-8,44,41,0,0,13,0,344,31.3
87,Maine (CAA),11,2-9,48,42,1,0,5,0,347,31.5
88,Tennessee Tech (OVC),11,4-7,44,38,0,0,16,0,350,31.8
89,Central Ark. (ASUN),11,5-6,46,44,1,0,9,1,351,31.9
89,Western Caro. (SoCon),11,6-5,47,44,1,0,7,1,351,31.9
91,Alabama A&M (SWAC),11,4-7,47,42,1,0,9,0,353,32.1
92,Stony Brook (CAA),11,2-9,46,44,0,0,11,1,355,32.3
93,Charleston So. (Big South),10,2-8,40,37,1,0,16,0,327,32.7
94,Indiana St. (MVFC),11,2-9,49,48,0,0,6,0,360,32.7
95,Grambling (SWAC),11,3-8,48,39,2,0,10,1,363,33
96,UAlbany (CAA),11,3-8,50,44,2,0,7,0,369,33.5
97,Monmouth (CAA),11,5-6,50,47,3,0,8,0,377,34.3
97,Robert Morris (Big South),11,0-11,49,45,0,0,12,1,377,34.3
99,Kennesaw St. (ASUN),11,5-6,49,42,2,0,15,0,385,35
100,Brown (Ivy League),10,3-7,46,45,0,0,10,0,351,35.1
101,Eastern Ky. (ASUN),12,7-5,54,51,4,0,13,0,422,35.2
102,Nicholls (Southland),11,3-8,52,48,2,0,8,0,388,35.3
103,Ark.-Pine Bluff (SWAC),11,3-8,52,51,1,0,8,0,389,35.4
104,Fordham (Patriot),12,9-3,58,52,2,0,10,0,434,36.2
105,VMI (SoCon),11,1-10,51,46,1,0,15,0,399,36.3
106,Georgetown (Patriot),11,2-9,52,46,2,0,13,0,401,36.5
106,Portland St. (Big Sky),11,4-7,56,52,1,0,3,1,401,36.5
108,Idaho St. (Big Sky),11,1-10,52,51,0,0,13,0,402,36.5
109,Houston Christian (Southland),11,2-9,53,48,0,0,13,0,405,36.8
109,Murray St. (OVC),11,2-9,52,49,1,0,14,0,405,36.8
111,Morehead St. (Pioneer),11,2-9,56,53,0,0,5,1,406,36.9
112,Northern Colo. (Big Sky),11,3-8,52,49,0,0,17,0,412,37.5
113,Lamar University (Southland),11,1-10,57,52,0,0,7,0,415,37.7
114,LIU (NEC),11,4-7,55,51,0,0,12,0,417,37.9
