Rank,Team,G,W-L,Opp 3rd Conv,Opp 3rd Att,Pct
1,Jackson St. (SWAC),13,12-1,51,197,0.259
2,Austin Peay (ASUN),11,7-4,52,169,0.308
3,Delaware St. (MEAC),11,5-6,43,139,0.309
4,Southern Utah (WAC),11,5-6,46,148,0.311
5,Weber St. (Big Sky),13,10-3,62,198,0.313
6,William & Mary (CAA),13,11-2,51,162,0.315
7,Southern U. (SWAC),12,7-5,52,161,0.323
8,Howard (MEAC),11,5-6,46,140,0.329
9,Montana (Big Sky),13,8-5,66,200,0.33
10,Abilene Christian (WAC),11,7-4,51,154,0.331
11,Furman (SoCon),13,10-3,66,198,0.333
11,Richmond (CAA),13,9-4,56,168,0.333
13,Delaware (CAA),13,8-5,63,188,0.335
14,Drake (Pioneer),11,3-8,54,160,0.338
15,Mercer (SoCon),11,7-4,56,165,0.339
16,San Diego (Pioneer),10,5-5,52,153,0.34
17,South Dakota St. (MVFC),15,14-1,70,205,0.341
18,Dayton (Pioneer),11,8-3,49,142,0.345
19,Marist (Pioneer),11,4-7,56,161,0.348
20,Grambling (SWAC),11,3-8,54,155,0.348
21,UIW (Southland),14,12-2,77,220,0.35
22,Gardner-Webb (Big South),13,7-6,62,177,0.35
23,Tennessee St. (OVC),11,4-7,54,153,0.353
24,Alcorn (SWAC),11,5-6,53,150,0.353
25,Central Ark. (ASUN),11,5-6,55,155,0.355
26,Montana St. (Big Sky),14,12-2,65,183,0.355
27,Sam Houston (WAC),9,5-4,50,140,0.357
28,Texas Southern (SWAC),11,5-6,55,153,0.359
29,Columbia (Ivy League),10,6-4,53,147,0.361
30,SFA (WAC),11,6-5,51,141,0.362
31,Penn (Ivy League),10,8-2,53,146,0.363
31,Yale (Ivy League),10,8-2,53,146,0.363
33,Sacred Heart (NEC),11,5-6,52,143,0.364
34,Illinois St. (MVFC),11,6-5,55,151,0.364
35,Missouri St. (MVFC),11,5-6,49,134,0.366
36,Butler (Pioneer),11,7-4,57,155,0.368
37,Florida A&M (SWAC),11,9-2,55,149,0.369
37,South Carolina St. (MEAC),11,3-8,55,149,0.369
39,Fordham (Patriot),12,9-3,62,166,0.373
40,Murray St. (OVC),11,2-9,58,155,0.374
41,Jacksonville St. (ASUN),11,9-2,64,171,0.374
42,The Citadel (SoCon),11,4-7,45,120,0.375
43,Campbell (Big South),11,5-6,55,145,0.379
44,Alabama St. (SWAC),11,6-5,56,147,0.381
45,Davidson (Pioneer),12,8-4,53,139,0.381
46,Villanova (CAA),11,6-5,55,144,0.382
47,N.C. Central (MEAC),12,10-2,55,143,0.385
48,Charleston So. (Big South),10,2-8,62,161,0.385
49,Holy Cross (Patriot),13,12-1,66,170,0.388
50,Morehead St. (Pioneer),11,2-9,54,139,0.388
50,Princeton (Ivy League),10,8-2,54,139,0.388
52,Saint Francis (PA) (NEC),12,9-3,65,167,0.389
53,Southeast Mo. St. (OVC),12,9-3,66,168,0.393
54,Northern Ariz. (Big Sky),11,3-8,63,160,0.394
55,ETSU (SoCon),11,3-8,64,160,0.4
56,Houston Christian (Southland),11,2-9,71,177,0.401
57,Lehigh (Patriot),11,2-9,59,147,0.401
58,UC Davis (Big Sky),11,6-5,64,158,0.405
59,Southeastern La. (Southland),13,9-4,69,170,0.406
60,Stetson (Pioneer),10,4-6,61,150,0.407
61,Morgan St. (MEAC),11,4-7,70,172,0.407
62,Southern Ill. (MVFC),11,5-6,58,142,0.408
63,Brown (Ivy League),10,3-7,60,146,0.411
63,Prairie View (SWAC),11,6-5,60,146,0.411
63,Youngstown St. (MVFC),11,7-4,60,146,0.411
66,Portland St. (Big Sky),11,4-7,54,131,0.412
67,Chattanooga (SoCon),11,7-4,66,160,0.413
68,UT Martin (OVC),11,7-4,71,172,0.413
69,Harvard (Ivy League),10,6-4,67,162,0.414
70,Northwestern St. (Southland),11,4-7,70,169,0.414
71,Lafayette (Patriot),11,4-7,68,164,0.415
72,Sacramento St. (Big Sky),13,12-1,86,207,0.415
73,Mississippi Val. (SWAC),11,2-9,60,144,0.417
73,Cornell (Ivy League),10,5-5,55,132,0.417
75,North Dakota St. (MVFC),15,12-3,88,211,0.417
76,New Hampshire (CAA),13,9-4,71,170,0.418
77,Samford (SoCon),13,11-2,86,205,0.42
78,Ark.-Pine Bluff (SWAC),11,3-8,58,138,0.42
79,Bucknell (Patriot),11,3-8,69,164,0.421
80,Elon (CAA),12,8-4,75,178,0.421
81,Stony Brook (CAA),11,2-9,65,154,0.422
82,Rhode Island (CAA),11,7-4,66,156,0.423
83,North Ala. (ASUN),11,1-10,65,153,0.425
84,Eastern Wash. (Big Sky),11,3-8,60,141,0.426
85,Alabama A&M (SWAC),11,4-7,64,150,0.427
86,Bryant (Big South),11,4-7,68,159,0.428
87,Robert Morris (Big South),11,0-11,69,161,0.429
88,Duquesne (NEC),11,4-7,64,149,0.43
89,Eastern Ill. (OVC),11,2-9,65,151,0.43
90,N.C. A&T (Big South),11,7-4,66,153,0.431
91,Nicholls (Southland),11,3-8,66,152,0.434
92,Lamar University (Southland),11,1-10,63,145,0.434
93,McNeese (Southland),11,4-7,66,151,0.437
94,Maine (CAA),11,2-9,54,123,0.439
95,South Dakota (MVFC),11,3-8,67,152,0.441
