Rank,Team,G,W-L,3rd Att,3rd Conv,Pct
1,South Dakota St. (MVFC),15,15-0,157,84,0.535
2,Holy Cross (Patriot),11,7-4,129,67,0.519
3,Yale (Ivy League),10,7-3,145,71,0.49
4,North Dakota St. (MVFC),15,11-4,176,86,0.489
5,Portland St. (Big Sky),11,5-6,139,67,0.482
6,Sacramento St. (Big Sky),13,8-5,178,85,0.478
7,North Dakota (MVFC),12,7-5,132,63,0.477
8,Illinois St. (MVFC),11,6-5,156,74,0.474
9,Lafayette (Patriot),12,9-3,155,72,0.465
10,Southern Utah (ASUN),11,6-5,158,73,0.462
11,Howard (MEAC),12,6-6,165,76,0.461
12,Campbell (CAA),11,5-6,130,59,0.454
13,Bryant (OVC),11,6-5,147,66,0.449
14,N.C. Central (MEAC),12,9-3,148,66,0.446
15,Western Caro. (SoCon),11,7-4,128,57,0.445
16,Harvard (Ivy League),10,8-2,129,57,0.442
17,Montana St. (Big Sky),12,8-4,123,54,0.439
18,South Dakota (MVFC),13,10-3,130,57,0.438
19,Brown (Ivy League),10,5-5,162,71,0.438
20,Davidson (Pioneer),11,7-4,137,60,0.438
21,Missouri St. (MVFC),11,4-7,135,59,0.437
22,UAlbany (CAA),15,11-4,206,90,0.437
23,Villanova (CAA),13,10-3,149,65,0.436
24,UIW (Southland),10,8-2,133,58,0.436
25,Rhode Island (CAA),11,6-5,156,68,0.436
26,New Hampshire (CAA),11,6-5,159,69,0.434
27,Delaware (CAA),13,9-4,171,74,0.433
28,Penn (Ivy League),10,6-4,141,61,0.433
29,Idaho (Big Sky),13,9-4,167,72,0.431
30,Eastern Ky. (ASUN),11,5-6,137,59,0.431
31,Fordham (Patriot),11,6-5,151,65,0.43
32,Eastern Wash. (Big Sky),11,4-7,175,75,0.429
33,William & Mary (CAA),11,6-5,143,61,0.427
34,UNI (MVFC),11,6-5,130,55,0.423
35,Bucknell (Patriot),11,4-7,164,69,0.421
36,Youngstown St. (MVFC),13,8-5,169,71,0.42
37,Samford (SoCon),11,6-5,160,67,0.419
38,Montana (Big Sky),15,13-2,219,91,0.416
39,Georgetown (Patriot),11,5-6,152,63,0.414
40,Houston Christian (Southland),10,5-5,140,58,0.414
41,UT Martin (OVC),11,8-3,168,69,0.411
42,Northern Ariz. (Big Sky),11,5-6,151,62,0.411
43,Alabama A&M (SWAC),11,5-6,149,61,0.409
44,Lamar University (Southland),11,6-5,150,61,0.407
45,Southeast Mo. St. (OVC),11,4-7,158,64,0.405
46,Dayton (Pioneer),11,4-7,161,65,0.404
47,Furman (SoCon),13,10-3,199,80,0.402
48,Saint Francis (PA) (NEC),10,4-6,118,47,0.398
49,Florida A&M (SWAC),13,12-1,151,60,0.397
50,Abilene Christian (ASUN),11,5-6,146,58,0.397
51,Idaho St. (Big Sky),11,3-8,154,61,0.396
52,Butler (Pioneer),11,7-4,139,55,0.396
53,Nicholls (Southland),11,6-5,155,61,0.394
54,Dartmouth (Ivy League),10,6-4,150,59,0.393
55,Hampton (CAA),11,5-6,135,53,0.393
56,Maine (CAA),11,2-9,140,54,0.386
57,Colgate (Patriot),11,6-5,164,63,0.384
57,Jackson St. (SWAC),11,7-4,164,63,0.384
59,Southeastern La. (Southland),11,3-8,149,57,0.383
59,UC Davis (Big Sky),11,7-4,149,57,0.383
61,Chattanooga (SoCon),13,8-5,168,64,0.381
62,Eastern Ill. (OVC),11,8-3,161,61,0.379
63,South Carolina St. (MEAC),11,5-6,125,47,0.376
64,Stetson (Pioneer),11,3-8,149,55,0.369
65,Grambling (SWAC),11,5-6,144,53,0.368
66,Drake (Pioneer),12,8-4,177,65,0.367
67,Texas Southern (SWAC),11,3-8,139,51,0.367
68,Marist (Pioneer),11,4-7,162,59,0.364
69,LIU (NEC),11,4-7,135,49,0.363
70,SFA (ASUN),11,3-8,171,62,0.363
71,San Diego (Pioneer),11,4-7,147,53,0.361
72,Alcorn (SWAC),11,7-4,142,51,0.359
73,Duquesne (NEC),12,7-5,145,52,0.359
74,Towson (CAA),11,5-6,143,51,0.357
75,Austin Peay (ASUN),12,9-3,163,58,0.356
76,Prairie View (SWAC),12,6-6,152,54,0.355
77,Cornell (Ivy League),10,3-7,158,56,0.354
78,Monmouth (CAA),11,4-7,145,51,0.352
79,Norfolk St. (MEAC),11,3-8,157,55,0.35
80,Southern Ill. (MVFC),13,8-5,169,59,0.349
81,Delaware St. (MEAC),11,1-10,132,46,0.348
82,Tennessee St. (OVC),11,6-5,158,55,0.348
83,Northern Colo. (Big Sky),11,0-11,161,56,0.348
84,Columbia (Ivy League),10,3-7,151,52,0.344
85,Central Ark. (ASUN),11,7-4,154,53,0.344
85,Robert Morris (OVC),11,4-7,154,53,0.344
87,Mercer (SoCon),13,9-4,169,58,0.343
88,The Citadel (SoCon),11,0-11,152,52,0.342
89,VMI (SoCon),11,5-6,156,53,0.34
90,Central Conn. St. (NEC),11,3-8,142,48,0.338
91,Murray St. (MVFC),11,2-9,137,46,0.336
92,Princeton (Ivy League),10,5-5,153,51,0.333
92,Tennessee Tech (OVC),11,4-7,180,60,0.333
94,Western Ill. (MVFC),11,0-11,163,54,0.331
95,Indiana St. (MVFC),11,1-10,145,48,0.331
96,Merrimack (NEC),11,5-6,146,48,0.329
97,Alabama St. (SWAC),11,7-4,137,45,0.328
98,Stony Brook (CAA),10,0-10,134,44,0.328
99,Presbyterian (Pioneer),11,4-7,144,47,0.326
100,McNeese (Southland),10,0-10,120,39,0.325
101,North Ala. (ASUN),11,3-8,176,57,0.324
102,Kennesaw St. (FCS Independent),9,3-6,109,35,0.321
103,Southern U. (SWAC),11,6-5,135,43,0.319
104,Weber St. (Big Sky),11,6-5,155,49,0.316
105,Wagner (NEC),11,4-7,152,48,0.316
106,Bethune-Cookman (SWAC),11,3-8,163,51,0.313
107,Lehigh (Patriot),11,2-9,144,45,0.313
108,N.C. A&T (CAA),11,1-10,132,41,0.311
109,Gardner-Webb (OVC),12,7-5,196,60,0.306
109,Morehead St. (Pioneer),11,4-7,147,45,0.306
111,Richmond (CAA),13,9-4,158,48,0.304
112,Valparaiso (Pioneer),11,3-8,145,44,0.303
113,Northwestern St. (Southland),6,0-6,96,29,0.302
114,Elon (CAA),11,6-5,149,45,0.302
115,Morgan St. (MEAC),10,4-6,144,43,0.299
116,Cal Poly (Big Sky),11,3-8,143,42,0.294
117,Sacred Heart (NEC),11,2-9,161,46,0.286
118,Ark.-Pine Bluff (SWAC),11,2-9,152,40,0.263
119,Mississippi Val. (SWAC),11,1-10,159,41,0.258
120,Wofford (SoCon),11,2-9,138,35,0.254
121,Charleston So. (OVC),11,4-7,142,36,0.254
122,ETSU (SoCon),11,3-8,139,35,0.252
