Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Jackson St. (SWAC),13,12-1,827,"3,281",3.97,20,21,252.4
2,South Dakota St. (MVFC),15,14-1,887,"4,111",4.63,28,30,274.1
3,Delaware (CAA),13,8-5,805,"3,674",4.56,25,28,282.6
4,Princeton (Ivy League),10,8-2,667,"2,997",4.49,14,17,299.7
5,N.C. A&T (Big South),11,7-4,684,"3,298",4.82,37,39,299.8
6,Southern U. (SWAC),12,7-5,778,"3,613",4.64,31,32,301.1
7,Delaware St. (MEAC),11,5-6,656,"3,473",5.29,26,32,315.7
8,Austin Peay (ASUN),11,7-4,745,"3,489",4.68,28,32,317.2
9,Florida A&M (SWAC),11,9-2,705,"3,501",4.97,27,33,318.3
10,Illinois St. (MVFC),11,6-5,711,"3,504",4.93,26,28,318.5
11,Alcorn (SWAC),11,5-6,720,"3,530",4.90,32,36,320.9
12,Chattanooga (SoCon),11,7-4,696,"3,549",5.10,28,29,322.6
13,Penn (Ivy League),10,8-2,669,"3,228",4.83,20,24,322.8
14,Weber St. (Big Sky),13,10-3,936,"4,213",4.50,28,31,324.1
15,Alabama St. (SWAC),11,6-5,725,"3,583",4.94,26,28,325.7
16,North Dakota St. (MVFC),15,12-3,961,"4,940",5.14,36,37,329.3
17,Holy Cross (Patriot),13,12-1,835,"4,309",5.16,35,36,331.5
18,Saint Francis (PA) (NEC),12,9-3,795,"3,996",5.03,30,35,333
19,Richmond (CAA),13,9-4,806,"4,335",5.38,33,35,333.5
20,N.C. Central (MEAC),12,10-2,737,"4,003",5.43,33,36,333.6
21,Davidson (Pioneer),12,8-4,710,"4,020",5.66,38,38,335
22,Howard (MEAC),11,5-6,652,"3,696",5.67,36,36,336
23,Morgan St. (MEAC),11,4-7,780,"3,699",4.74,39,40,336.3
24,Idaho (Big Sky),12,7-5,748,"4,042",5.40,39,40,336.8
25,Mercer (SoCon),11,7-4,753,"3,711",4.93,27,28,337.4
