Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Monmouth (CAA),12,6-6,813,"5,879",7.23,65,489.9
2,Montana St. (Big Sky),16,15-1,"1,053","7,661",7.28,85,478.8
3,Western Caro. (SoCon),12,7-5,948,"5,665",5.98,44,472.1
4,Abilene Christian (ASUN),14,9-5,"1,001","6,575",6.57,61,469.6
5,UC Davis (Big Sky),14,11-3,"1,018","6,558",6.44,60,468.4
6,Eastern Wash. (Big Sky),12,4-8,862,"5,331",6.18,57,444.3
7,Alabama A&M (SWAC),12,6-6,885,"5,320",6.01,45,443.3
8,UIW (Southland),14,11-3,"1,034","6,195",5.99,56,442.5
9,South Dakota (MVFC),14,11-3,822,"6,116",7.44,63,436.9
10,Davidson (Pioneer),11,6-5,792,"4,802",6.06,51,436.5
11,Delaware (CAA),11,9-2,792,"4,784",6.04,51,434.9
12,South Dakota St. (MVFC),15,12-3,958,"6,511",6.80,69,434.1
13,SFA (Southland),12,7-5,812,"5,182",6.38,50,431.8
14,Central Ark. (ASUN),12,6-6,776,"5,176",6.67,49,431.3
15,Idaho St. (Big Sky),12,5-7,855,"5,135",6.01,45,427.9
16,Western Ill. (OVC),12,4-8,836,"5,130",6.14,46,427.5
17,Missouri St. (MVFC),12,8-4,760,"5,097",6.71,52,424.8
18,Brown (Ivy League),10,3-7,826,"4,217",5.11,32,421.7
19,Weber St. (Big Sky),12,4-8,866,"5,027",5.80,37,418.9
20,North Dakota St. (MVFC),16,14-2,"1,044","6,681",6.40,76,417.6
21,Tarleton St. (ASUN),14,10-4,938,"5,821",6.21,54,415.8
22,Yale (Ivy League),10,7-3,691,"4,156",6.01,42,415.6
23,Southeast Mo. St. (OVC),13,9-4,976,"5,400",5.53,46,415.4
24,William & Mary (CAA),12,7-5,788,"4,958",6.29,46,413.2
25,Cornell (Ivy League),10,4-6,697,"4,126",5.92,36,412.6
26,Montana (Big Sky),14,9-5,960,"5,745",5.98,56,410.4
27,South Carolina St. (MEAC),12,9-3,772,"4,902",6.35,50,408.5
28,Butler (Pioneer),12,9-3,763,"4,893",6.41,55,407.8
29,ETSU (SoCon),12,7-5,824,"4,877",5.92,39,406.4
30,Sacramento St. (Big Sky),12,3-9,853,"4,868",5.71,41,405.7
31,Harvard (Ivy League),10,8-2,679,"4,036",5.94,42,403.6
32,Stony Brook (CAA),12,8-4,908,"4,837",5.33,41,403.1
33,Illinois St. (MVFC),14,10-4,995,"5,631",5.66,46,402.2
34,Jackson St. (SWAC),14,12-2,880,"5,617",6.38,60,401.2
35,Southern Utah (ASUN),12,7-5,819,"4,782",5.84,42,398.5
36,Northern Ariz. (Big Sky),13,8-5,820,"5,160",6.29,44,396.9
37,Columbia (Ivy League),10,7-3,655,"3,930",6.00,25,393
37,Portland St. (Big Sky),11,3-8,724,"4,323",5.97,42,393
39,North Ala. (ASUN),12,3-9,816,"4,695",5.75,35,391.3
40,Presbyterian (Pioneer),12,6-6,769,"4,653",6.05,44,387.8
41,Bucknell (Patriot),12,6-6,836,"4,647",5.56,41,387.3
42,McNeese (Southland),12,6-6,804,"4,644",5.78,38,387
43,Idaho (Big Sky),14,10-4,843,"5,388",6.39,45,384.9
44,N.C. Central (MEAC),11,8-3,635,"4,226",6.66,48,384.2
45,Duquesne (NEC),11,8-3,685,"4,218",6.16,42,383.5
46,Youngstown St. (MVFC),12,4-8,828,"4,587",5.54,40,382.3
47,Florida A&M (SWAC),12,7-5,744,"4,585",6.16,32,382.1
48,Richmond (CAA),13,10-3,837,"4,945",5.91,38,380.4
49,Towson (CAA),12,7-5,754,"4,551",6.04,36,379.3
50,Southern Ill. (MVFC),12,4-8,811,"4,544",5.60,35,378.7
51,Dartmouth (Ivy League),10,8-2,658,"3,774",5.74,35,377.4
52,Penn (Ivy League),10,4-6,629,"3,755",5.97,35,375.5
53,Mercer (SoCon),14,11-3,921,"5,254",5.70,43,375.3
54,UT Martin (OVC),14,9-5,909,"5,252",5.78,52,375.1
55,Lafayette (Patriot),12,6-6,819,"4,444",5.43,40,370.3
56,Campbell (CAA),12,3-9,754,"4,432",5.88,34,369.3
57,Southern U. (SWAC),13,8-5,888,"4,724",5.32,31,363.4
58,Hampton (CAA),12,5-7,857,"4,356",5.08,45,363
59,Rhode Island (CAA),14,11-3,869,"5,072",5.84,40,362.3
60,Gardner-Webb (OVC),12,4-8,830,"4,329",5.22,36,360.8
61,North Dakota (MVFC),12,5-7,787,"4,322",5.49,45,360.2
62,Bryant (CAA),12,2-10,767,"4,311",5.62,31,359.3
63,Samford (SoCon),11,4-7,785,"3,948",5.03,32,358.9
64,Holy Cross (Patriot),12,6-6,747,"4,289",5.74,38,357.4
65,Lamar University (Southland),12,7-5,766,"4,280",5.59,36,356.7
66,San Diego (Pioneer),11,8-3,699,"3,900",5.58,33,354.5
67,Houston Christian (Southland),12,5-7,800,"4,253",5.32,35,354.4
68,Robert Morris (NEC),12,7-5,734,"4,219",5.75,34,351.6
69,Lehigh (Patriot),13,9-4,777,"4,547",5.85,46,349.8
70,Eastern Ky. (ASUN),13,8-5,858,"4,522",5.27,36,347.8
71,Stetson (Pioneer),11,2-9,791,"3,822",4.83,31,347.5
72,Chattanooga (SoCon),12,7-5,776,"4,154",5.35,32,346.2
73,Nicholls (Southland),12,4-8,854,"4,152",4.86,32,346
74,Alcorn (SWAC),12,6-6,783,"4,150",5.30,33,345.8
75,Drake (Pioneer),11,8-3,682,"3,793",5.56,31,344.8
76,Elon (CAA),12,6-6,735,"4,131",5.62,35,344.3
77,Austin Peay (ASUN),12,4-8,789,"4,116",5.22,31,343
