Rank,Team,G,W-L,Fum Lost,Int,Turn Lost
1,Holy Cross (Patriot),13,12-1,1,5,6
2,Princeton (Ivy League),10,8-2,3,5,8
3,Maine (CAA),11,2-9,3,6,9
3,North Dakota (MVFC),12,7-5,4,5,9
3,Penn (Ivy League),10,8-2,2,7,9
3,UC Davis (Big Sky),11,6-5,2,7,9
3,Youngstown St. (MVFC),11,7-4,6,3,9
8,Dayton (Pioneer),11,8-3,1,9,10
8,South Dakota St. (MVFC),15,14-1,5,5,10
8,Southeast Mo. St. (OVC),12,9-3,3,7,10
8,Southern Ill. (MVFC),11,5-6,3,7,10
12,Idaho (Big Sky),12,7-5,3,8,11
12,Missouri St. (MVFC),11,5-6,5,6,11
14,Dartmouth (Ivy League),10,3-7,6,6,12
14,Montana St. (Big Sky),14,12-2,4,8,12
14,Samford (SoCon),13,11-2,8,4,12
14,San Diego (Pioneer),10,5-5,5,7,12
14,UNI (MVFC),11,6-5,5,7,12
14,Wofford (SoCon),11,3-8,4,8,12
20,Abilene Christian (WAC),11,7-4,3,10,13
20,Colgate (Patriot),11,3-8,5,8,13
20,Lafayette (Patriot),11,4-7,5,8,13
20,Northern Ariz. (Big Sky),11,3-8,5,8,13
20,Richmond (CAA),13,9-4,8,5,13
20,Tennessee St. (OVC),11,4-7,5,8,13
20,Towson (CAA),11,6-5,7,6,13
27,Cornell (Ivy League),10,5-5,5,9,14
27,Eastern Ky. (ASUN),12,7-5,6,8,14
27,Elon (CAA),12,8-4,10,4,14
27,Illinois St. (MVFC),11,6-5,5,9,14
27,N.C. Central (MEAC),12,10-2,4,10,14
27,North Dakota St. (MVFC),15,12-3,8,6,14
27,Saint Francis (PA) (NEC),12,9-3,8,6,14
27,South Dakota (MVFC),11,3-8,8,6,14
27,Southeastern La. (Southland),13,9-4,6,8,14
27,Southern Utah (WAC),11,5-6,6,8,14
37,Bucknell (Patriot),11,3-8,5,10,15
37,Campbell (Big South),11,5-6,4,11,15
37,Chattanooga (SoCon),11,7-4,4,11,15
37,Davidson (Pioneer),12,8-4,10,5,15
37,Delaware St. (MEAC),11,5-6,11,4,15
37,Harvard (Ivy League),10,6-4,5,10,15
37,Howard (MEAC),11,5-6,5,10,15
37,Mississippi Val. (SWAC),11,2-9,6,9,15
37,Monmouth (CAA),11,5-6,6,9,15
37,Rhode Island (CAA),11,7-4,8,7,15
37,Sacred Heart (NEC),11,5-6,9,6,15
37,UAlbany (CAA),11,3-8,11,4,15
37,Yale (Ivy League),10,8-2,5,10,15
50,Eastern Wash. (Big Sky),11,3-8,6,10,16
50,SFA (ASUN),11,6-5,11,5,16
50,Texas Southern (SWAC),11,5-6,10,6,16
50,UT Martin (OVC),11,7-4,5,11,16
50,Valparaiso (Pioneer),12,5-7,6,10,16
50,Villanova (CAA),11,6-5,5,11,16
56,Ark.-Pine Bluff (SWAC),11,3-8,5,12,17
56,Prairie View (SWAC),11,6-5,10,7,17
56,Sam Houston (WAC),9,5-4,7,10,17
59,Austin Peay (ASUN),11,7-4,7,11,18
59,Butler (Pioneer),11,7-4,8,10,18
59,Central Conn. St. (NEC),11,2-9,5,13,18
59,ETSU (SoCon),11,3-8,3,15,18
59,Florida A&M (SWAC),11,9-2,6,12,18
59,Fordham (Patriot),12,9-3,8,10,18
59,Montana (Big Sky),13,8-5,8,10,18
59,N.C. A&T (Big South),11,7-4,10,8,18
59,New Hampshire (CAA),13,9-4,10,8,18
59,North Ala. (ASUN),11,1-10,5,13,18
59,Stetson (Pioneer),10,4-6,8,10,18
59,The Citadel (SoCon),11,4-7,12,6,18
59,UIW (Southland),14,12-2,9,9,18
59,William & Mary (CAA),13,11-2,11,7,18
73,Alcorn (SWAC),11,5-6,9,10,19
73,Indiana St. (MVFC),11,2-9,10,9,19
73,Marist (Pioneer),11,4-7,4,15,19
73,Portland St. (Big Sky),11,4-7,8,11,19
73,South Carolina St. (MEAC),11,3-8,4,15,19
73,Tennessee Tech (OVC),11,4-7,7,12,19
79,Drake (Pioneer),11,3-8,8,12,20
79,Georgetown (Patriot),11,2-9,8,12,20
79,Jacksonville St. (ASUN),11,9-2,9,11,20
79,Lehigh (Patriot),11,2-9,10,10,20
79,Morehead St. (Pioneer),11,2-9,8,12,20
79,Morgan St. (MEAC),11,4-7,8,12,20
79,Stony Brook (CAA),11,2-9,4,16,20
86,Charleston So. (Big South),10,2-8,6,15,21
86,Columbia (Ivy League),10,6-4,11,10,21
86,Furman (SoCon),13,10-3,12,9,21
86,Jackson St. (SWAC),13,12-1,14,7,21
86,Kennesaw St. (ASUN),11,5-6,14,7,21
86,Nicholls (Southland),11,3-8,6,15,21
86,Norfolk St. (MEAC),11,2-9,6,15,21
86,Weber St. (Big Sky),13,10-3,13,8,21
94,Bryant (Big South),11,4-7,7,15,22
94,Central Ark. (ASUN),11,5-6,12,10,22
94,Duquesne (NEC),11,4-7,5,17,22
94,Grambling (SWAC),11,3-8,11,11,22
94,Hampton (CAA),11,4-7,2,20,22
94,Mercer (SoCon),11,7-4,13,9,22
94,Murray St. (OVC),11,2-9,7,15,22
94,Wagner (NEC),11,1-10,9,13,22
102,Alabama St. (SWAC),11,6-5,13,10,23
102,LIU (NEC),11,4-7,12,11,23
102,Southern U. (SWAC),12,7-5,10,13,23
105,Alabama A&M (SWAC),11,4-7,9,15,24
105,Cal Poly (Big Sky),11,2-9,8,16,24
105,Lamar University (Southland),11,1-10,14,10,24
105,Robert Morris (Big South),11,0-11,6,18,24
109,Delaware (CAA),13,8-5,15,10,25
109,Eastern Ill. (OVC),11,2-9,10,15,25
109,McNeese (Southland),11,4-7,8,17,25
112,Brown (Ivy League),10,3-7,9,17,26
112,Idaho St. (Big Sky),11,1-10,10,16,26
112,Northern Colo. (Big Sky),11,3-8,12,14,26
112,Presbyterian (Pioneer),11,1-10,10,16,26
112,Sacramento St. (Big Sky),13,12-1,10,16,26
112,Western Caro. (SoCon),11,6-5,6,20,26
112,Western Ill. (MVFC),11,0-11,7,19,26
119,Bethune-Cookman (SWAC),11,2-9,15,13,28
119,VMI (SoCon),11,1-10,11,17,28
121,Houston Christian (Southland),11,2-9,12,17,29
121,Northwestern St. (Southland),11,4-7,11,18,29
123,Gardner-Webb (Big South),13,7-6,15,17,32
