# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = CFBVoP_WinProb_model
# start_datetime = 2026-09-17 19:01:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 2500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/sapj88b0.json
# init = 2 (Default)
# random
#   seed = 802
# output
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/CFBVoP_WinProbfx96ckxl/CFBVoP_WinProb-20260917150155_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=CFBVoP_WinProb.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_score
# Adaptation terminated
# Step size = 0.47426
# Diagonal elements of inverse mass matrix:
# 0.00613167, 5.66935e-05
-1227.9435,0.99823451,0.47426027,2,3,0,1228.8357,0.13512769,0.089402091
-1226.2735,0.98596741,0.47426027,2,7,0,1228.9901,0.19972839,0.076279761
-1229.074,0.43304791,0.47426027,2,3,0,1230.0538,0.25391978,0.083767075
-1227.0421,0.98996175,0.47426027,2,7,0,1229.1497,0.11295268,0.080453386
-1227.643,0.77861836,0.47426027,2,3,0,1229.3226,0.13885616,0.088354342
-1226.5048,0.99907937,0.47426027,2,7,0,1228.1818,0.14884165,0.082424776
-1226.3395,0.98267535,0.47426027,3,7,0,1226.7395,0.16851538,0.078286411
-1226.6374,0.98057969,0.47426027,2,7,0,1227.4439,0.25634966,0.072079491
-1228.142,0.72310876,0.47426027,3,7,0,1229.0028,0.16813955,0.088261777
-1227.9095,0.99593489,0.47426027,3,7,0,1229.2409,0.21145991,0.068460071
-1229.8787,0.763684,0.47426027,2,7,0,1230.7688,0.25029535,0.085663807
-1227.755,0.99040014,0.47426027,2,7,0,1230.0066,0.087163136,0.080701835
-1227.755,0.99244347,0.47426027,3,7,0,1228.0766,0.091767936,0.079989152
-1228.3432,0.95008825,0.47426027,2,3,0,1228.8567,0.13701481,0.090386443
-1227.153,1,0.47426027,2,3,0,1228.1253,0.097152824,0.082987965
-1227.1675,0.99308254,0.47426027,2,3,0,1227.292,0.09910477,0.082251644
-1227.5062,0.91197541,0.47426027,2,7,0,1228.2872,0.21780094,0.083092071
-1226.381,1,0.47426027,2,3,0,1227.4251,0.15685606,0.079791738
-1226.4416,0.94317874,0.47426027,2,3,0,1226.8157,0.15968815,0.08185507
-1226.254,0.99897617,0.47426027,2,7,0,1226.5983,0.19193795,0.077328085
-1226.4596,0.95569646,0.47426027,2,3,0,1226.5851,0.18911601,0.075070337
-1229.0718,0.76642489,0.47426027,2,3,0,1229.5527,0.32118717,0.076431803
-1227.2395,0.93312379,0.47426027,1,3,0,1229.7804,0.28515341,0.068335416
-1226.3311,0.99112706,0.47426027,2,7,0,1227.7264,0.17417928,0.08035709
-1226.7474,0.90398835,0.47426027,1,3,0,1226.8477,0.20204477,0.081594893
-1226.5453,0.89357065,0.47426027,2,3,0,1227.834,0.1923394,0.074298569
-1226.4992,0.97290195,0.47426027,3,7,0,1227.0102,0.24503216,0.073262958
-1227.472,0.93552629,0.47426027,2,3,0,1227.6437,0.31028708,0.070286417
-1226.3956,0.99786541,0.47426027,2,7,0,1228.0875,0.19515492,0.075117665
-1226.8481,0.93166497,0.47426027,2,7,0,1227.9512,0.11340444,0.08284428
-1226.8096,0.96021137,0.47426027,3,7,0,1227.1912,0.11666436,0.082294842
-1227.0206,0.95259348,0.47426027,1,1,0,1227.0336,0.10737601,0.081782429
-1227.0749,0.9885562,0.47426027,3,7,0,1227.4349,0.10287465,0.085633423
-1227.7884,0.77931125,0.47426027,1,3,0,1228.3934,0.15635645,0.087986705
-1226.7631,0.99858042,0.47426027,3,7,0,1227.8578,0.12258994,0.081207233
-1226.9216,0.99906346,0.47426027,4,15,0,1226.9725,0.27795086,0.073190771
-1226.873,0.98042142,0.47426027,2,7,0,1227.9709,0.11628931,0.081322087
-1228.5643,0.95684804,0.47426027,2,3,0,1229.0258,0.06813492,0.092589919
-1227.2164,1,0.47426027,2,3,0,1228.5493,0.099210124,0.086709768
-1227.2722,0.88227068,0.47426027,2,7,0,1232.2474,0.26029862,0.068155939
-1226.8824,1,0.47426027,2,3,0,1227.2424,0.25500143,0.07002271
-1229.492,0.52107852,0.47426027,1,3,0,1229.9462,0.19199306,0.066594046
-1227.4316,0.9835764,0.47426027,2,3,0,1229.6003,0.30546115,0.071677229
-1228.9033,0.96024346,0.47426027,4,15,0,1229.9177,0.32375999,0.06229364
-1226.3478,0.99438057,0.47426027,2,7,0,1229.9868,0.22640687,0.075931407
-1227.867,0.78507491,0.47426027,2,3,0,1228.379,0.14757026,0.0733224
-1226.7277,1,0.47426027,1,1,0,1227.5785,0.16308526,0.075799036
-1226.7723,0.86864077,0.47426027,2,7,0,1228.1499,0.18246803,0.083037132
-1226.2699,0.98982266,0.47426027,2,7,0,1227.108,0.20981316,0.076506893
-1226.319,0.99794918,0.47426027,2,3,0,1226.3256,0.21933195,0.075124645
-1228.2027,0.9473038,0.47426027,3,7,0,1228.2866,0.32080169,0.064639611
-1228.2298,0.99785681,0.47426027,2,3,0,1228.554,0.3417694,0.066880812
-1228.1537,0.99758294,0.47426027,4,15,0,1228.7932,0.053227387,0.089533406
-1228.0628,0.94383945,0.47426027,2,3,0,1228.7237,0.05314347,0.087047401
-1226.7996,0.9018004,0.47426027,2,3,0,1229.0188,0.17327878,0.083677824
-1226.8921,0.98540725,0.47426027,2,7,0,1227.5747,0.23100311,0.07056304
-1226.6079,0.97900191,0.47426027,2,7,0,1227.4128,0.1818033,0.082252528
-1227.7526,0.95129619,0.47426027,2,7,0,1228.5605,0.28063168,0.066082524
-1226.8751,0.96105324,0.47426027,2,3,0,1228.1154,0.25605913,0.076768092
-1226.3583,0.9691541,0.47426027,2,5,0,1227.6425,0.16911101,0.080799861
-1226.5944,0.94296038,0.47426027,1,3,0,1226.6607,0.19041656,0.081650443
-1226.7577,0.92486191,0.47426027,3,7,0,1227.6038,0.18045527,0.083088059
-1228.5255,0.84767821,0.47426027,2,3,0,1228.6028,0.11051354,0.075310591
-1227.2796,1,0.47426027,2,7,0,1228.5699,0.24646554,0.079716089
-1226.4162,1,0.47426027,1,3,0,1227.1108,0.22910105,0.076766723
-1228.1598,0.82458905,0.47426027,2,5,0,1229.437,0.33775181,0.069305877
-1229.3016,0.63211933,0.47426027,2,3,0,1232.3557,0.32595886,0.076427314
-1227.8688,0.84915407,0.47426027,2,3,0,1230.9084,0.14511032,0.073541574
-1226.5819,0.86925243,0.47426027,2,3,0,1229.2524,0.13881204,0.079984205
-1227.2513,0.94927844,0.47426027,2,3,0,1227.2521,0.16618172,0.085819722
-1226.969,0.98591296,0.47426027,2,7,0,1228.2621,0.20542444,0.082271326
-1226.941,0.99635304,0.47426027,2,5,0,1227.2591,0.2196641,0.080985694
-1226.8263,0.995167,0.47426027,2,7,0,1227.2466,0.12788347,0.079528935
-1227.3766,0.96684117,0.47426027,2,3,0,1227.5149,0.10244785,0.080144839
-1226.6324,1,0.47426027,3,7,0,1227.2688,0.1488337,0.083607908
-1226.6013,1,0.47426027,1,1,0,1226.6449,0.14973401,0.083363774
-1226.312,1,0.47426027,3,7,0,1226.6112,0.17377135,0.078025159
-1226.3941,0.98976456,0.47426027,2,7,0,1226.5353,0.18234188,0.076120918
-1227.1229,0.90847137,0.47426027,3,9,0,1227.7728,0.29269526,0.070915683
-1227.2356,0.94526034,0.47426027,2,3,0,1227.4809,0.24763314,0.068630547
-1226.5914,0.85071255,0.47426027,2,7,0,1228.4347,0.19622858,0.081236495
-1226.311,0.9964109,0.47426027,2,7,0,1226.7443,0.20832788,0.075296211
-1226.2701,0.97870283,0.47426027,2,5,0,1226.4544,0.19135027,0.078726207
-1227.4319,0.72160235,0.47426027,2,3,0,1227.9254,0.16376721,0.073107199
-1227.7225,0.9935385,0.47426027,2,7,0,1228.6766,0.30929996,0.073126828
-1227.9556,0.9371623,0.47426027,2,7,0,1230.2692,0.063941544,0.084101512
-1226.9469,0.99450911,0.47426027,2,3,0,1227.9993,0.11170169,0.085151257
-1227.0208,0.95602135,0.47426027,2,3,0,1227.3133,0.14549856,0.085828903
-1227.0865,0.94053987,0.47426027,2,3,0,1227.7414,0.13800831,0.086331167
-1226.5271,0.99948895,0.47426027,2,7,0,1227.2346,0.18346468,0.075075249
-1226.6491,0.90383938,0.47426027,2,3,0,1227.3704,0.21384456,0.080146537
-1226.3706,0.9583488,0.47426027,1,3,0,1227.0144,0.17065078,0.077545685
-1226.5127,0.9632088,0.47426027,2,7,0,1226.8333,0.24084223,0.076092345
-1226.8288,0.83540034,0.47426027,2,3,0,1227.6206,0.22816418,0.079710138
-1227.2008,0.95536693,0.47426027,2,7,0,1227.7158,0.20877627,0.082848514
-1226.4115,0.92779458,0.47426027,2,3,0,1227.8745,0.21583963,0.078353779
-1227.2838,0.9829967,0.47426027,2,7,0,1228.1313,0.28629116,0.068104821
-1227.0578,1,0.47426027,2,3,0,1227.308,0.27328654,0.069124955
-1227.3467,0.99842065,0.47426027,3,7,0,1227.4223,0.30055265,0.068643181
-1228.0599,0.85689797,0.47426027,2,3,0,1228.5934,0.32565998,0.071855735
-1227.4323,1,0.47426027,1,1,0,1227.9749,0.30534861,0.071720042
-1227.9757,0.96526394,0.47426027,4,15,0,1228.9437,0.064910398,0.083711047
-1226.4936,1,0.47426027,2,3,0,1227.9891,0.15978079,0.082367819
-1228.1879,0.86687173,0.47426027,3,7,0,1228.6643,0.11168844,0.090908957
-1227.6696,1,0.47426027,2,3,0,1228.4575,0.078625507,0.082755347
-1226.4399,0.9974273,0.47426027,4,15,0,1227.8483,0.23004375,0.076919489
-1226.5015,0.99907719,0.47426027,4,15,0,1226.6357,0.23598984,0.072790994
-1226.6781,0.96419278,0.47426027,3,7,0,1226.9059,0.26328955,0.073036044
-1228.1396,0.8889384,0.47426027,2,3,0,1228.7205,0.32883096,0.065378539
-1227.5581,0.79789904,0.47426027,2,3,0,1229.8077,0.31467651,0.06948109
-1227.3206,0.99908443,0.47426027,4,15,0,1227.6467,0.085853591,0.084841447
-1227.6563,0.92069022,0.47426027,1,1,0,1227.6852,0.074421069,0.083911826
-1226.4621,1,0.47426027,2,3,0,1227.6969,0.15510123,0.082055803
-1226.2945,0.99387407,0.47426027,2,7,0,1226.8138,0.19757873,0.076031582
-1226.3644,0.96841227,0.47426027,2,7,0,1227.3911,0.17019935,0.080873195
-1226.5103,0.96480593,0.47426027,2,3,0,1226.5501,0.15443008,0.078186757
-1226.4485,1,0.47426027,2,7,0,1226.5114,0.20653285,0.079532475
-1228.7958,0.50832101,0.47426027,1,3,0,1230.2392,0.11941069,0.073786868
-1226.9864,0.99641708,0.47426027,2,5,0,1229.2547,0.13200724,0.085957466
-1227.0909,0.94776433,0.47426027,2,3,0,1227.3733,0.098088252,0.0842704
-1226.3659,0.98293862,0.47426027,4,15,0,1228.6133,0.20432186,0.074830282
-1226.4592,0.99688347,0.47426027,4,15,0,1226.8486,0.22072512,0.073364153
-1227.1302,0.91619835,0.47426027,2,7,0,1228.05,0.11894912,0.086775551
-1226.5653,0.98451539,0.47426027,2,7,0,1227.9278,0.16783694,0.076241169
-1227.804,0.88176708,0.47426027,2,3,0,1227.8419,0.15176063,0.073112155
-1226.3051,1,0.47426027,1,3,0,1227.5251,0.1919963,0.076261273
-1227.6238,0.78832169,0.47426027,2,5,0,1228.7452,0.24615814,0.06744496
-1226.943,0.96322026,0.47426027,2,3,0,1227.9772,0.27425201,0.070010991
-1226.381,0.99126224,0.47426027,3,7,0,1227.0689,0.20526903,0.074641747
-1226.381,0.88979948,0.47426027,1,3,0,1226.8043,0.20526903,0.074641747
-1227.1441,0.72527529,0.47426027,2,3,0,1228.1108,0.1516989,0.075138574
-1226.5361,0.99815822,0.47426027,2,5,0,1227.2863,0.15990259,0.082714265
-1226.485,0.98698156,0.47426027,4,15,0,1226.786,0.20933948,0.073635593
-1228.0507,0.59923997,0.47426027,2,3,0,1229.543,0.22460988,0.067378991
-1226.8208,0.99926126,0.47426027,2,7,0,1228.3068,0.22149587,0.080303623
-1227.2635,0.82066319,0.47426027,2,3,0,1228.7095,0.15370271,0.074529678
-1226.2773,1,0.47426027,2,3,0,1227.2429,0.18659334,0.079107955
-1226.2737,0.80900944,0.47426027,2,3,0,1227.6066,0.18177443,0.079122058
-1226.8788,0.91698721,0.47426027,3,7,0,1227.5898,0.26930571,0.074706376
-1229.7436,0.95481858,0.47426027,2,7,0,1230.7222,0.35420246,0.060187727
-1228.3918,0.97758604,0.47426027,4,15,0,1230.1227,0.34057546,0.064899252
-1230.4041,0.77847166,0.47426027,2,3,0,1230.7467,0.40715219,0.064797727
-1228.3448,1,0.47426027,3,7,0,1230.586,0.28185521,0.064341454
-1227.5827,0.93709246,0.47426027,4,15,0,1228.9935,0.3013341,0.066941461
-1227.801,0.96719907,0.47426027,2,3,0,1227.9049,0.32491314,0.068124891
-1228.2995,0.97437442,0.47426027,2,3,0,1228.5041,0.32811275,0.06449354
-1229.4042,0.84813436,0.47426027,3,7,0,1229.8533,0.3734093,0.068680259
-1231.1363,0.68646567,0.47426027,2,7,0,1234.8137,0.13294573,0.068560782
