# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = CFBVoP_WinProb_model
# start_datetime = 2026-09-17 19:01:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 2500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/sapj88b0.json
# init = 2 (Default)
# random
#   seed = 802
# output
#   file = /var/folders/mn/cz5gy25n1yg1r_ksn1lp_81r0000gn/T/tmpupieconm/CFBVoP_WinProbfx96ckxl/CFBVoP_WinProb-20260917150155_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=CFBVoP_WinProb.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_score
# Adaptation terminated
# Step size = 0.420159
# Diagonal elements of inverse mass matrix:
# 0.00531687, 5.01343e-05
-1228.6383,0.99721873,0.42015932,2,7,0,1229.9018,0.23407528,0.065608896
-1228.3738,1,0.42015932,2,3,0,1228.8126,0.23743854,0.065989878
-1227.8088,0.99480176,0.42015932,2,7,0,1229.1649,0.21706708,0.084007181
-1228.3354,0.97988072,0.42015932,3,7,0,1229.7835,0.34621186,0.067371798
-1226.7979,0.99287492,0.42015932,3,7,0,1228.5196,0.2613111,0.070649415
-1226.8419,0.96777146,0.42015932,2,7,0,1227.1915,0.22487462,0.07103265
-1228.4611,0.69773729,0.42015932,3,7,0,1230.1416,0.30145047,0.077223988
-1229.2041,0.89116665,0.42015932,1,1,0,1229.3679,0.31580105,0.077470997
-1228.3121,1,0.42015932,2,7,0,1230.0598,0.10338337,0.076641727
-1227.0814,0.9625464,0.42015932,3,7,0,1229.389,0.09908314,0.084810423
-1226.4343,0.9967513,0.42015932,3,7,0,1227.1592,0.15798788,0.081755893
-1227.2342,0.94884081,0.42015932,2,3,0,1227.3259,0.097860559,0.081913639
-1226.7032,0.99828172,0.42015932,2,7,0,1227.9254,0.24314157,0.077384315
-1226.4411,0.99472457,0.42015932,2,7,0,1227.1661,0.16276679,0.07775478
-1226.6534,0.99681907,0.42015932,2,7,0,1227.0042,0.14389901,0.083786122
-1227.2571,0.97406801,0.42015932,3,7,0,1227.5535,0.25134198,0.068438217
-1227.3427,0.98196648,0.42015932,4,15,0,1227.9221,0.30434887,0.070121015
-1227.2877,0.99378651,0.42015932,3,7,0,1227.5653,0.30152738,0.070459385
-1226.8121,0.99621355,0.42015932,2,3,0,1227.3418,0.27330888,0.072094577
-1226.3773,0.9925436,0.42015932,3,7,0,1227.8595,0.23209472,0.07486091
-1226.2875,0.99871559,0.42015932,3,11,0,1226.4517,0.17619886,0.078264468
-1226.3756,0.92744427,0.42015932,2,3,0,1226.9389,0.16246756,0.078626426
-1226.406,0.99215218,0.42015932,3,11,0,1226.4995,0.20936433,0.07894123
-1226.3061,0.99101074,0.42015932,2,3,0,1226.5692,0.17034815,0.078824208
-1226.3033,0.99440544,0.42015932,2,7,0,1226.468,0.19019041,0.076424963
-1226.3142,0.97435331,0.42015932,1,3,0,1226.5287,0.20671358,0.078209449
-1226.3889,0.97557442,0.42015932,2,7,0,1227.2947,0.21995426,0.074040369
-1226.5733,0.99790346,0.42015932,3,7,0,1226.6093,0.25414243,0.073810505
-1227.2799,0.93206621,0.42015932,3,7,0,1228.0101,0.300188,0.069561255
-1226.6734,0.97718012,0.42015932,2,3,0,1227.489,0.26129025,0.072136139
-1226.8058,0.97519521,0.42015932,2,3,0,1227.0162,0.25516352,0.07048722
-1226.709,0.88697611,0.42015932,3,7,0,1227.7986,0.22470915,0.079454137
-1226.7154,0.97642065,0.42015932,2,7,0,1227.7406,0.1642675,0.083689807
-1226.7882,0.9618706,0.42015932,3,11,0,1227.4086,0.24504854,0.070658272
-1227.0061,0.96112592,0.42015932,1,1,0,1227.0124,0.23862041,0.06980721
-1227.9493,0.87531301,0.42015932,3,7,0,1228.5569,0.1696563,0.071255801
-1226.4647,1,0.42015932,2,3,0,1227.7528,0.23827009,0.075902644
-1226.4459,0.91879337,0.42015932,2,7,0,1228.0854,0.17774049,0.076113967
-1226.4816,0.99277289,0.42015932,2,7,0,1226.7029,0.23216922,0.077066919
-1227.169,0.92473211,0.42015932,2,7,0,1227.4889,0.15123042,0.075093394
-1226.4481,1,0.42015932,2,3,0,1227.1984,0.18054179,0.075847262
-1226.7569,0.97262759,0.42015932,3,7,0,1226.7646,0.16322673,0.075641166
-1226.894,0.98957411,0.42015932,2,7,0,1228.3094,0.20087979,0.07211513
-1227.6793,0.94476737,0.42015932,3,7,0,1227.737,0.19784459,0.069883735
-1226.7733,0.99165896,0.42015932,2,7,0,1228.3657,0.20460768,0.081517079
-1228.3531,0.86384479,0.42015932,2,7,0,1229.0339,0.1842792,0.069256407
-1226.4981,0.98277597,0.42015932,2,7,0,1229.3889,0.15177132,0.078694427
-1226.2735,1,0.42015932,3,7,0,1226.5387,0.19188853,0.078767953
-1226.4563,0.9844505,0.42015932,3,7,0,1226.5913,0.14948431,0.081703824
-1226.4372,0.95093444,0.42015932,2,3,0,1226.8826,0.15620672,0.078730819
-1226.8277,0.97199501,0.42015932,2,7,0,1227.0896,0.12050779,0.080878318
-1227.1312,0.98967926,0.42015932,2,5,0,1228.1387,0.096030353,0.084861669
-1226.8534,0.99007604,0.42015932,3,11,0,1228.186,0.27597641,0.071697086
-1227.4739,0.99436987,0.42015932,4,15,0,1227.5269,0.29111666,0.067199901
-1227.7162,1,0.42015932,2,3,0,1227.8355,0.31094468,0.066666075
-1227.4739,0.97429486,0.42015932,3,7,0,1229.101,0.2839648,0.067115218
-1226.7869,0.94744304,0.42015932,3,7,0,1228.2263,0.2273924,0.079585684
-1226.2615,1,0.42015932,2,3,0,1226.7172,0.18734546,0.077506095
-1226.4208,0.98640052,0.42015932,2,7,0,1226.6184,0.211069,0.074028735
-1226.7591,0.95856156,0.42015932,2,7,0,1228.4556,0.26856971,0.071821213
-1227.6201,0.86427235,0.42015932,2,3,0,1227.8994,0.2839665,0.076606723
