id,home_team,home_classification,home_conference,home_VoA_rating,away_team,away_classification,away_conference,away_VoA_rating,Proj_Winner,Proj_Margin,win_prob
401869941,Coastal Carolina,fbs,Sun Belt,-25.914811134954007,Liberty,fbs,Conference USA,-15.210510708243026,Liberty,8.704300426710981,0.711438366368814
401862779,Temple,fbs,American Athletic,-19.871258196487815,Army,fbs,American Athletic,-20.27729297462624,Temple,2.406034778138423,0.5931501519104942
401858468,Rutgers,fbs,Big Ten,8.142227012398177,Howard,fcs,MEAC,-19.730040200606243,Rutgers,29.87226721300442,0.9349586602109726
401862778,UAB,fbs,American Athletic,-16.271403665250894,Navy,fbs,American Athletic,-11.52544053988009,Navy,2.7459631253708032,0.5999751899535977
401867806,Brown,fcs,Ivy,-0.9996944264290913,Harvard,fcs,Ivy,4.424438270847264,Harvard,3.4241326972763555,0.6134712735549297
401858461,Indiana,fbs,Big Ten,20.162225941858924,Northwestern,fbs,Big Ten,-8.747248723608848,Indiana,30.909474665467773,0.9400175483865241
401858234,California,fbs,ACC,-13.853563443147932,Clemson,fbs,ACC,-4.75391139424038,Clemson,7.099652048907552,0.6832569935873365
401856704,Tennessee,fbs,SEC,18.768596987753412,Texas,fbs,SEC,15.456533974117479,Tennessee,5.3120630136359335,0.6500854955335607
401856805,Texas Tech,fbs,Big 12,6.237568188201013,Sam Houston,fbs,Conference USA,-29.47402017101833,Texas Tech,37.71158835921935,0.9650602735493065
401856813,Baylor,fbs,Big 12,0.6199469978493933,Colorado,fbs,Big 12,-10.86648490815965,Baylor,13.486431906009043,0.7859547686068011
401858236,Pittsburgh,fbs,ACC,13.524360404124135,Bucknell,fcs,Patriot,-16.44367504973436,Pittsburgh,31.968035453858494,0.9448009896338819
401858242,Boston College,fbs,ACC,-10.383460662946176,Virginia Tech,fbs,ACC,-5.694965948747932,Virginia Tech,2.688494714198244,0.5988308541956077
401858243,Louisville,fbs,ACC,2.128798407136033,Wake Forest,fbs,ACC,-4.303047759519302,Louisville,8.431846166655335,0.7067656874064447
401858465,Ohio State,fbs,Big Ten,28.139592952730723,Illinois,fbs,Big Ten,0.7064047280226016,Ohio State,29.433188224708122,0.932696710353682
