Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick
1-Sep,6:00 PM,Saint Francis-PA at Akron,Akron,14.8,80%,34-19,,,,,
1-Sep,7:00 PM,Ball State at Tennessee,Tennessee,31.1,96%,46-15,Tennessee -35,Ball State,3.9,68,Under
1-Sep,7:00 PM,Bryant at Florida International,Florida International,6.8,65%,35-28,,,,,
1-Sep,7:00 PM,Central Michigan at Oklahoma State,Oklahoma State,21.5,89%,40-18,Oklahoma State -21.5,Central Michigan,0,59.5,Under
1-Sep,7:00 PM,Long Island at Toledo,Toledo,53.2,100%,53-0,,,,,
1-Sep,7:00 PM,SC State at UCF,UCF,39.7,99%,48-8,,,,,
1-Sep,7:00 PM,West Virginia at Pittsburgh,Pittsburgh,13.6,78%,36-22,Pittsburgh -7.5,Pittsburgh,6.1,51,Over
1-Sep,7:30 PM,VMI at Wake Forest,Wake Forest,35.1,98%,52-17,,,,,
1-Sep,8:00 PM,Alabama A&M at UAB,UAB,39.6,99%,45-6,,,,,
1-Sep,8:00 PM,Eastern Illinois at Northern Illinois,Northern Illinois,39.0,99%,51-12,,,,,
1-Sep,8:00 PM,Louisiana Tech at Missouri,Missouri,21.3,89%,41-19,Missouri -19.5,Missouri,1.8,60.5,Under
1-Sep,8:00 PM,Penn State at Purdue,Penn State,4.0,59%,26-22,Penn State -3.5,Penn State,0.5,52.5,Under
1-Sep,9:00 PM,New Mexico State at Minnesota,Minnesota,42.3,99%,45-3,Minnesota -36.5,Minnesota,5.8,52.5,Under
1-Sep,10:00 PM,Northern Arizona at Arizona State,Arizona State,31.4,97%,40-8,,,,,
1-Sep,10:30 PM,Cal Poly at Fresno State,Fresno State,47.2,100%,51-4,,,,,
1-Sep,10:30 PM,Portland State at San Jose State,San Jose State,17.3,84%,30-13,,,,,
2-Sep,7:00 PM,Eastern Kentucky at Eastern Michigan,Eastern Michigan,12.8,77%,36-24,,,,,
2-Sep,7:00 PM,Virginia Tech at Old Dominion,Virginia Tech,7.6,67%,30-22,Virginia Tech -7.5,Virginia Tech,0.1,49.5,Over
2-Sep,7:00 PM,Western Michigan at Michigan State,Michigan State,26.3,94%,40-13,Michigan State -22.5,Michigan State,3.8,54,Under
2-Sep,7:00 PM,William & Mary at Charlotte,Charlotte,9.0,70%,35-27,,,,,
2-Sep,7:30 PM,Temple at Duke,Duke,5.9,63%,31-25,Duke -7,Temple,1.1,51.5,Over
2-Sep,8:00 PM,Illinois at Indiana,Illinois,0.6,51%,23-23,Indiana -3,Illinois,3.6,45,Over
2-Sep,8:00 PM,Tennessee Tech at Kansas,Kansas,32.9,97%,47-14,,,,,
2-Sep,10:00 PM,TCU at Colorado,TCU,13.1,77%,35-22,TCU -14,Colorado,0.9,55.5,Over
3-Sep,12:00 PM,Buffalo at Maryland,Maryland,17.7,85%,39-21,Maryland -24,Buffalo,6.3,64.5,Under
3-Sep,12:00 PM,Central Connecticut at Connecticut,Connecticut,14.7,80%,33-18,,,,,
3-Sep,12:00 PM,Colorado State at Michigan,Michigan,31.5,97%,42-11,Michigan -30.5,Michigan,1,61.5,Under
3-Sep,12:00 PM,Delaware at Navy,Navy,10.4,73%,29-19,,,,,
3-Sep,12:00 PM,NC State at East Carolina,NC State,13.5,78%,33-19,NC State -11.5,NC State,2,51.5,Over
3-Sep,12:00 PM,North Carolina at Appalachian State,North Carolina,3.0,57%,31-28,North Carolina -1.5,North Carolina,1.5,56,Over
3-Sep,12:00 PM,Rutgers at Boston College,Boston College,5.4,62%,25-20,Boston College -7,Rutgers,1.6,48,Under
3-Sep,12:00 PM,Sam Houston at Texas A&M,Texas A&M,31.3,96%,38-7,,,,,
3-Sep,12:00 PM,South Dakota State at Iowa,Iowa,22.7,91%,33-10,,,,,
3-Sep,12:30 PM,Richmond at Virginia,Virginia,20.0,88%,44-24,,,,,
3-Sep,1:00 PM,Northern Iowa at Air Force,Air Force,16.8,83%,34-17,,,,,
3-Sep,2:00 PM,SE Missouri State at Iowa State,Iowa State,34.0,98%,44-10,,,,,
3-Sep,2:30 PM,Bowling Green at UCLA,UCLA,25.0,93%,42-17,UCLA -23,UCLA,2,57,Over
3-Sep,3:30 PM,Arizona at San Diego State,San Diego State,16.3,83%,31-15,San Diego State -6,San Diego State,10.3,46.5,Under
