Team,Conference,Division,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Alabama,SEC,SEC West,4-0,30.2,1,42.8,4,12.9,4,0.3,21,,29-Sep,8:00 PM,Utah State at BYU,BYU,25.5,93%,42-16,BYU -24,BYU,1.5,61.5,Under,-3.4
Ohio State,Big Ten,Big Ten East,4-0,29.4,2,46.2,1,16.7,13,-0.2,98,,30-Sep,7:00 PM,Tulane at Houston,Houston,0.5,51%,30-30,Houston -2.5,Tulane,2.0,54.5,Over,5.7
Georgia,SEC,SEC East,4-0,28.6,3,41.4,5,13.2,5,0.4,8,,30-Sep,7:30 PM,UTSA at Middle Tennessee,UTSA,3.1,57%,32-29,UTSA -5,Middle Tennessee,1.9,63.5,Under,-2.5
Michigan,Big Ten,Big Ten East,4-0,25.2,4,41.3,6,16.5,11,0.4,4,,30-Sep,8:00 PM,San Diego State at Boise State,Boise State,8.1,68%,25-17,Boise State -6,Boise State,2.1,39.0,Over,3.7
Oklahoma,Big 12,Big 12,3-1,23.8,5,42.9,3,19.3,24,0.2,35,,30-Sep,10:30 PM,Washington at UCLA,UCLA,3.7,58%,29-26,Washington -3.5,UCLA,7.2,64.5,Under,-9.3
Ole Miss,SEC,SEC West,4-0,20.6,6,37.8,13,17.4,14,0.2,39,,30-Sep,11:00 PM,New Mexico at UNLV,UNLV,13.2,78%,29-16,UNLV -14,New Mexico,0.8,44.5,Over,0.0
Minnesota,Big Ten,Big Ten West,4-0,20.4,7,33,40,12.8,3,0.2,38,,1-Oct,12:00 PM,Eastern Washington at Florida,Florida,20.5,88%,42-22,,,,,,
Tennessee,SEC,SEC East,4-0,19.2,8,43.7,2,24.7,55,0.2,43,,1-Oct,12:00 PM,Georgia State at Army,Army,11.4,74%,36-24,Army -8.5,Army,2.9,57.5,Over,2.2
Utah,Pac-12,Pac-12,3-1,19,9,37.4,15,18.7,20,0.3,23,,1-Oct,12:00 PM,Illinois at Wisconsin,Wisconsin,7.9,68%,26-18,Wisconsin -7,Wisconsin,0.9,44.0,Under,-0.3
Penn State,Big Ten,Big Ten East,4-0,18.5,10,33.7,33,15.1,7,-0.1,86,,1-Oct,12:00 PM,Kentucky at Ole Miss,Ole Miss,6.6,65%,28-22,Ole Miss -6,Ole Miss,0.6,54.5,Under,-4.2
Texas,Big 12,Big 12,2-2,18.5,11,40.2,7,21.9,33,0.1,45,,1-Oct,12:00 PM,Louisville at Boston College,Louisville,10.7,73%,31-21,Louisville -16,Boston College,5.3,51.0,Over,1.1
Clemson,ACC,ACC Atlantic,4-0,17.4,12,35.9,22,18.7,19,0.1,48,,1-Oct,12:00 PM,Michigan at Iowa,Michigan,10.2,72%,28-18,Michigan -10.5,Iowa,0.3,42.5,Over,2.7
LSU,SEC,SEC West,3-1,17.1,13,35,25,17.5,15,-0.3,125,,1-Oct,12:00 PM,Navy at Air Force,Air Force,19.9,87%,34-14,Air Force -15,Air Force,4.9,37.5,Over,10.2
Oklahoma State,Big 12,Big 12,3-0,16.8,14,36.9,18,20.4,28,0.4,5,,1-Oct,12:00 PM,Oklahoma at TCU,Oklahoma,10,72%,36-26,Oklahoma -6.5,Oklahoma,3.5,67.5,Under,-5.9
Cincinnati,AAC,AAC,3-1,16.8,15,36.1,21,19.3,23,0,73,,1-Oct,12:00 PM,Purdue at Minnesota,Minnesota,12.7,77%,32-19,Minnesota -10.5,Minnesota,2.2,53.5,Under,-2.2
Kentucky,SEC,SEC East,4-0,16.4,16,30.9,51,14.7,6,0.3,26,,1-Oct,12:00 PM,SC State at South Carolina,South Carolina,30.2,96%,43-13,,,,,,
Baylor,Big 12,Big 12,3-1,15.8,17,31.8,47,15.9,9,-0.1,80,,1-Oct,12:00 PM,Temple at Memphis,Memphis,17.7,85%,35-17,Memphis -19,Temple,1.3,53.0,Under,-1.2
Mississippi State,SEC,SEC West,3-1,15.7,18,34.4,31,19,21,0.4,3,,1-Oct,12:00 PM,Texas Tech at Kansas State,Kansas State,9.7,71%,31-21,Kansas State -7.5,Kansas State,2.2,57.5,Under,-4.8
UCLA,Pac-12,Pac-12,4-0,15.4,19,37.9,11,22.5,39,-0.1,74,,1-Oct,1:30 PM,Texas State at James Madison,James Madison,16.5,83%,33-17,James Madison -23,Texas State,6.5,53.0,Under,-2.8
NC State,ACC,ACC Atlantic,4-0,15.3,20,30.6,53,15.6,8,0.3,12,,1-Oct,2:00 PM,Massachusetts at Eastern Michigan,Eastern Michigan,19.2,87%,39-20,Eastern Michigan -20,Massachusetts,0.8,55.5,Over,2.9
Oregon,Pac-12,Pac-12,3-1,15.1,21,39.9,9,24.7,57,0,68,,1-Oct,2:00 PM,Northern Illinois at Ball State,Northern Illinois,2.5,56%,31-28,Northern Illinois -3,Ball State,0.5,60.0,Under,-0.8
