Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
19-Oct,7:30 PM,Georgia State at Appalachian State,Appalachian State,10.0,72%,35-25,Appalachian State -10,Georgia State,0.0,60.0,Under,-0.7
20-Oct,7:30 PM,Troy at South Alabama,South Alabama,3.3,58%,26-23,South Alabama -3,South Alabama,0.3,47.5,Over,1.8
20-Oct,7:30 PM,Virginia at Georgia Tech,Georgia Tech,1.7,54%,28-26,Georgia Tech -3,Virginia,1.3,45.5,Over,8.0
21-Oct,7:30 PM,Tulsa at Temple,Tulsa,8.7,69%,30-21,Tulsa -13.5,Temple,4.8,52.5,Under,-1.2
21-Oct,8:00 PM,UAB at Western Kentucky,UAB,0.2,51%,30-29,Western Kentucky -2.5,UAB,2.7,57.5,Over,1.4
22-Oct,12:00 PM,Akron at Kent State,Kent State,13.8,79%,37-23,Kent State -19,Akron,5.2,67.0,Under,-6.4
22-Oct,12:00 PM,Cincinnati at SMU,Cincinnati,6.2,64%,33-27,Cincinnati -3,Cincinnati,3.2,63.0,Under,-3.3
22-Oct,12:00 PM,Houston at Navy,Houston,10.1,72%,33-22,Houston -3.5,Houston,6.6,52.5,Over,2.4
22-Oct,12:00 PM,Indiana at Rutgers,Rutgers,5.4,62%,26-21,Rutgers -3,Rutgers,2.4,45.5,Over,1.6
22-Oct,12:00 PM,Iowa at Ohio State,Ohio State,22.0,90%,35-13,Ohio State -29,Iowa,7.0,49.5,Under,-2.4
22-Oct,12:00 PM,Kansas at Baylor,Baylor,10.1,72%,36-26,Baylor -8,Baylor,2.1,62.0,Under,-0.8
22-Oct,12:00 PM,Syracuse at Clemson,Clemson,9.3,70%,31-22,Clemson -13,Syracuse,3.7,52.0,Over,1.3
22-Oct,12:00 PM,UL-Monroe at Army,Army,5.0,61%,34-29,Army -7,UL-Monroe,2.0,55.5,Over,6.8
22-Oct,12:00 PM,UT Martin at Tennessee,Tennessee,38.6,99%,54-15,,,,,,
22-Oct,12:30 PM,Duke at Miami-FL,Miami-FL,10.0,72%,34-24,Miami-FL -8,Miami-FL,2.0,59.5,Under,-2.4
22-Oct,1:00 PM,Bowling Green at Central Michigan,Central Michigan,8.7,69%,32-24,Central Michigan -6.5,Central Michigan,2.2,50.0,Over,5.8
22-Oct,1:00 PM,Toledo at Buffalo,Toledo,9.0,70%,32-23,Toledo -6.5,Toledo,2.5,60.5,Under,-4.7
22-Oct,2:00 PM,Eastern Michigan at Ball State,Ball State,0.5,51%,28-28,Ball State -2.5,Eastern Michigan,2.0,57.5,Under,-1.7
