Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff,
31-Aug,7:00 PM,Elon at Wake Forest,Wake,21.9,90%,37-15,,,,,,,
31-Aug,7:00 PM,Kent State at UCF,UCF,35,98%,39-4,UCF -37,Kent St.,2,58,Under,-15.1,
31-Aug,7:00 PM,Rhode Island at Georgia State,GSU,7.3,66%,32-25,,,,,,,
31-Aug,7:00 PM,Saint Francis-PA at Western Michigan,WMU,2.6,56%,26-24,,,,,,,
31-Aug,7:30 PM,NC State at Connecticut,NC St.,26.6,94%,35-9,NC St. -15,NC St.,11.6,47,Under,-3.4,
31-Aug,8:00 PM,Florida at Utah,Utah,7.4,67%,32-25,Utah -6.5,Utah,0.9,46.5,Over,10.9,
31-Aug,8:00 PM,NC A&T at UAB,UAB,12.6,77%,30-17,,,,,,,
31-Aug,8:00 PM,Nebraska at Minnesota,Minnesota,12.4,76%,28-16,Minnesota -7.5,Minnesota,4.9,43.5,Over,0.7,
31-Aug,8:00 PM,South Dakota at Missouri,Missouri,34.6,98%,39-4,,,,,,,
31-Aug,8:00 PM,UAPB at Tulsa,Tulsa,31.5,97%,44-12,,,,,,,
31-Aug,10:00 PM,Southern Utah at Arizona State,Ariz. St.,22.8,91%,39-16,,,,,,,
1-Sep,6:30 PM,Howard at Eastern Michigan,EMU,16.8,83%,35-18,,,,,,,
1-Sep,7:00 PM,Central Michigan at Michigan State,Mich. St.,22.9,91%,34-11,Mich. St. -14.5,Mich. St.,8.4,47,Under,-1.9,
1-Sep,7:00 PM,Miami-OH at Miami-FL,Miami,24.9,92%,34-10,Miami -17.5,Miami,7.4,46,Under,-2.1,
1-Sep,7:30 PM,Georgia Tech vs. Louisville,Louisville,15.6,82%,31-15,Louisville -7.5,Louisville,8.1,49.5,Under,-3.6,
1-Sep,8:00 PM,Missouri State at Kansas,Kansas,19.5,87%,39-19,,,,,,,
1-Sep,11:00 PM,Stanford at Hawaii,Stanford,5.2,62%,26-21,Stanford -5,Stanford,0.2,60,Under,-12.6,
2-Sep,12:00 PM,Arkansas State at Oklahoma,Oklahoma,35.8,98%,46-10,Oklahoma -35,Oklahoma,0.8,58.5,Under,-2.4,
2-Sep,12:00 PM,Ball State at Kentucky,Kentucky,30,96%,37-7,Kentucky -26.5,Kentucky,3.5,48.5,Under,-5.2,
2-Sep,12:00 PM,Bowling Green at Liberty,Liberty,17.1,84%,36-19,Liberty -10,Liberty,7.1,50.5,Over,4.5,
2-Sep,12:00 PM,Colorado at TCU,TCU,26.1,93%,41-15,TCU -21,TCU,5.1,59.5,Under,-3,
2-Sep,12:00 PM,East Carolina at Michigan,Michigan,40.9,99%,45-4,Michigan -36,Michigan,4.9,51.5,Under,-1.9,
2-Sep,12:00 PM,Fresno State at Purdue,Purdue,4.4,60%,27-22,Purdue -4,Purdue,0.4,50,Under,-1.3,
2-Sep,12:00 PM,Long Island at Ohio,Ohio,29.3,96%,44-14,,,,,,,
2-Sep,12:00 PM,Louisiana Tech at SMU,SMU,23.5,91%,44-21,SMU -19.5,SMU,4,65.5,Under,-0.6,
2-Sep,12:00 PM,Northern Illinois at Boston College,BC,13,77%,33-20,BC -9.5,BC,3.5,52,Over,0.4,
2-Sep,12:00 PM,Utah State at Iowa,Iowa,32.5,97%,37-4,Iowa -25,Iowa,7.5,44,Under,-3.4,
2-Sep,12:00 PM,Virginia vs. Tennessee,Tennessee,28.5,95%,38-10,Tennessee -28,Tennessee,0.5,57.5,Under,-9.2,
2-Sep,1:00 PM,Robert Morris at Air Force,Air Force,44.8,100%,45-0,,,,,,,
2-Sep,2:00 PM,Akron at Temple,Temple,10.9,74%,31-20,Temple -9.5,Temple,1.4,55.5,Under,-3.8,
2-Sep,2:00 PM,ETSU at Jacksonville State,JSU,4.1,59%,29-25,,,,,,,
2-Sep,2:00 PM,Mercer at Ole Miss,Ole Miss,29.8,96%,38-8,,,,,,,
2-Sep,2:00 PM,Northern Iowa at Iowa State,ISU,17.3,84%,31-14,,,,,,,
