Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
14-Dec,3:00 PM,Army vs. Navy,Army,8.2,70%,32-24,Army -5.5,Army,2.7,40.5,Over,14.8
14-Dec,9:00 PM,South Alabama vs. Western Michigan,South Alabama,15.2,83%,37-22,South Alabama -10,South Alabama,5.2,59.5,Under,-0.6
17-Dec,9:00 PM,Memphis vs. West Virginia,Memphis,7.4,68%,34-27,Memphis -1.5,Memphis,5.9,56.5,Over,4.4
18-Dec,5:30 PM,Western Kentucky vs. James Madison,James Madison,9.3,72%,30-21,James Madison -7.5,James Madison,1.8,54.5,Under,-3.2
18-Dec,9:00 PM,California vs. UNLV,UNLV,3.0,57%,29-26,California -2.5,UNLV,5.5,51.5,Over,3.0
19-Dec,7:00 PM,Georgia Southern vs. Sam Houston,Georgia Southern,6.0,65%,28-22,Georgia Southern -5.5,Georgia Southern,0.5,46.5,Over,2.7
20-Dec,12:00 PM,Ohio vs. Jacksonville State,Ohio,1.1,53%,27-26,Ohio -2,Jacksonville State,0.9,53.5,Under,-0.3
20-Dec,3:30 PM,Tulane vs. Florida,Florida,5.1,63%,31-26,Florida -12,Tulane,6.9,51.5,Over,5.6
20-Dec,8:00 PM,Indiana at Notre Dame,Notre Dame,4.8,62%,28-24,Notre Dame -8,Indiana,3.2,50.5,Over,1.4
21-Dec,12:00 PM,SMU at Penn State,Penn State,5.0,62%,30-25,Penn State -9,SMU,4.0,53.5,Over,1.1
21-Dec,4:00 PM,Clemson at Texas,Texas,13.2,80%,32-19,Texas -11,Texas,2.2,51.5,Under,-0.9
21-Dec,8:00 PM,Tennessee at Ohio State,Ohio State,5.6,64%,26-20,Ohio State -7.5,Tennessee,1.9,47.5,Under,-1.6
23-Dec,11:00 AM,Coastal Carolina vs. UTSA,UTSA,3.5,59%,33-30,UTSA -6.5,Coastal Carolina,3.0,56.5,Over,6.0
23-Dec,2:30 PM,Northern Illinois vs. Fresno State,Fresno State,2.6,57%,25-22,Northern Illinois -2.5,Fresno State,5.1,41.5,Over,5.1
24-Dec,8:00 PM,USF vs. San Jose State,USF,1.9,55%,30-28,San Jose State -2.5,USF,4.4,62.5,Under,-3.9
26-Dec,2:00 PM,Pittsburgh vs. Toledo,Pittsburgh,9.9,73%,30-20,Pittsburgh -9,Pittsburgh,0.9,51.5,Under,-1.1
26-Dec,5:30 PM,Rutgers vs. Kansas State,Kansas State,8.8,71%,29-21,Kansas State -7.5,Kansas State,1.3,51.5,Under,-1.6
26-Dec,9:00 PM,Arkansas State vs. Bowling Green,Bowling Green,10.6,75%,33-22,Bowling Green -6.5,Bowling Green,4.1,49.5,Over,5.3
27-Dec,12:00 PM,Oklahoma vs. Navy,Oklahoma,7.7,68%,29-21,Oklahoma -8.5,Navy,0.8,44.5,Over,5.7
27-Dec,3:30 PM,Georgia Tech vs. Vanderbilt,Vanderbilt,1.7,54%,28-27,Georgia Tech -3,Vanderbilt,4.7,53.5,Over,1.7
27-Dec,7:00 PM,Texas Tech vs. Arkansas,Arkansas,5.8,64%,32-26,Arkansas -2.5,Arkansas,3.3,59.5,Under,-1.2
27-Dec,8:00 PM,Syracuse vs. Washington State,Syracuse,3.6,59%,34-30,Syracuse -6,Washington State,2.4,60.5,Over,3.2
27-Dec,10:30 PM,Texas A&M vs. USC,Texas A&M,7.1,67%,31-24,Texas A&M -3,Texas A&M,4.1,50.5,Over,3.8
28-Dec,11:00 AM,Connecticut vs. North Carolina,North Carolina,6.8,67%,32-25,North Carolina -4.5,North Carolina,2.3,55.5,Over,1.0
28-Dec,12:00 PM,Boston College vs. Nebraska,Nebraska,1.7,54%,24-22,Nebraska -4,Boston College,2.3,45.5,Over,1.2
28-Dec,2:15 PM,UL-Lafayette vs. TCU,TCU,1.5,54%,31-29,TCU -10,UL-Lafayette,8.5,60.5,Under,-0.9
28-Dec,3:30 PM,Iowa State vs. Miami-FL,Miami-FL,12.8,79%,35-23,Miami-FL -1,Miami-FL,11.8,55.5,Over,2.6
28-Dec,4:30 PM,Miami-OH vs. Colorado State,Miami-OH,2.0,55%,25-23,Miami-OH -1.5,Miami-OH,0.5,43.5,Over,5.1
28-Dec,5:45 PM,East Carolina vs. NC State,NC State,6.7,66%,33-26,NC State -5,NC State,1.7,59.5,Under,-0.9
28-Dec,7:30 PM,BYU vs. Colorado,BYU,3.2,58%,29-25,Colorado -1,BYU,4.2,54.5,Under,-0.4
28-Dec,9:15 PM,Marshall vs. Army,Army,7.7,68%,32-24,Army -9,Marshall,1.3,48.5,Over,7.1
30-Dec,2:30 PM,Iowa vs. Missouri,Iowa,2.5,56%,24-22,Missouri -1.5,Iowa,4.0,42.5,Over,3.5
31-Dec,12:00 PM,Alabama vs. Michigan,Alabama,16.8,85%,32-15,Alabama -11.5,Alabama,5.3,43.5,Over,3.9
31-Dec,2:00 PM,Louisville vs. Washington,Louisville,12.9,79%,33-20,Louisville -4.5,Louisville,8.4,50.5,Over,2.7
31-Dec,3:00 PM,South Carolina vs. Illinois,South Carolina,10.3,74%,30-20,South Carolina -10,South Carolina,0.3,47.5,Over,2.3
31-Dec,3:30 PM,Baylor vs. LSU,LSU,6.1,65%,32-26,LSU -1.5,LSU,4.6,60.5,Under,-2.7
31-Dec,7:30 PM,Boise State vs. Penn State,Penn State,11.5,77%,33-22,Penn State -10.5,Penn State,1.0,52.5,Over,2.7
1-Jan,1:00 PM,Arizona State vs. Texas,Texas,16.0,84%,33-17,Texas -13.5,Texas,2.5,51.5,Under,-1.6
1-Jan,5:00 PM,Ohio State vs. Oregon,Ohio State,0.9,52%,26-25,Ohio State -1.5,Oregon,0.6,53.5,Under,-2.4
1-Jan,8:45 PM,Notre Dame vs. Georgia,Georgia,0.5,51%,27-26,Georgia -1.5,Notre Dame,1.0,44.5,Over,8.6
2-Jan,7:30 PM,Duke vs. Ole Miss,Ole Miss,18.9,88%,33-14,Ole Miss -11.5,Ole Miss,7.4,54.5,Under,-7.0
3-Jan,4:00 PM,North Texas vs. Texas State,Texas State,10.5,75%,39-28,Texas State -7.5,Texas State,3.0,68.5,Under,-1.4
3-Jan,7:30 PM,Minnesota vs. Virginia Tech,Virginia Tech,2.8,57%,25-22,Minnesota -4.5,Virginia Tech,7.3,42.5,Over,5.3
4-Jan,11:00 AM,Buffalo vs. Liberty,Liberty,9.0,71%,33-24,Liberty -2,Liberty,7.0,51.5,Over,4.9
9-Jan,7:30 PM,Penn State vs. Notre Dame,Penn State,0.3,51%,25-25,Notre Dame -1.5,Penn State,1.8,46.5,Over,4.0
10-Jan,7:30 PM,Ohio State vs. Texas,Ohio State,4.8,62%,26-22,Ohio State -6,Texas,1.2,53.5,Under,-5.4
