Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Georgia,SEC,0-0,34.2,1,46.2,3,12.0,5,,29-Aug,6:00 PM,Howard at Rutgers,Rutgers,39.4,99%,40-1,,,,,,
Ohio State,Big Ten,0-0,30.8,2,35.7,23,4.9,2,,29-Aug,7:00 PM,Central Connecticut at Central Michigan,Central Michigan,30.1,97%,41-11,,,,,,
Oregon,Big Ten,0-0,29.0,3,47.1,1,18.1,14,,29-Aug,7:00 PM,Fordham at Bowling Green,Bowling Green,13.6,80%,34-20,,,,,,
Alabama,SEC,0-0,27.9,4,42.7,7,14.9,8,,29-Aug,7:00 PM,Jackson State at UL-Monroe,UL-Monroe,4.2,60%,28-24,,,,,,
Texas,SEC,0-0,27.7,5,44.4,4,16.8,11,,29-Aug,7:00 PM,Lafayette at Buffalo,Buffalo,7.8,69%,24-17,,,,,,
Penn State,Big Ten,0-0,26.1,6,35.8,22,9.7,4,,29-Aug,7:00 PM,NC A&T at Wake Forest,Wake Forest,32.6,98%,41-9,,,,,,
Michigan,Big Ten,0-0,25.0,7,31.9,41,6.9,3,,29-Aug,7:00 PM,New Hampshire at UCF,UCF,24.2,94%,40-16,,,,,,
Ole Miss,SEC,0-0,24.7,8,42.9,6,18.3,16,,29-Aug,7:00 PM,Western Carolina at NC State,NC State,36.6,99%,43-6,,,,,,
Notre Dame,Indies,0-0,23.4,9,39.0,10,15.6,9,,29-Aug,7:30 PM,Duquesne at Toledo,Toledo,27.7,96%,36-8,,,,,,
LSU,SEC,0-0,23.1,10,46.3,2,23.2,38,,29-Aug,7:30 PM,UAPB at Arkansas,Arkansas,58.0,100%,58-0,,,,,,
Missouri,SEC,0-0,22.2,11,40.7,8,18.5,19,,29-Aug,8:00 PM,Alcorn State at UAB,UAB,24.5,94%,49-25,,,,,,
Oklahoma,SEC,0-0,19.8,12,37.1,17,17.3,12,,29-Aug,8:00 PM,Coastal Carolina at Jacksonville State,Coastal Carolina,0.9,52%,28-27,Jacksonville State -2.5,Coastal Carolina,3.4,55.5,Under,-1.3
Tennessee,SEC,0-0,19.2,13,37.7,14,18.6,20,,29-Aug,8:00 PM,Lindenwood at Kansas,Kansas,52.7,100%,59-7,,,,,,
Texas A&M,SEC,0-0,19.1,14,38.1,11,19.0,23,,29-Aug,8:00 PM,Murray State at Missouri,Missouri,57.4,100%,58-1,,,,,,
Clemson,ACC,0-0,18.8,15,36.5,19,17.7,13,,29-Aug,8:00 PM,North Carolina at Minnesota,North Carolina,1.2,53%,26-25,Minnesota -1.5,North Carolina,2.7,50.5,Over,0.8
Kansas State,Big 12,0-0,16.4,16,36.3,20,19.9,28,,29-Aug,8:00 PM,North Dakota State at Colorado,Colorado,2.5,56%,34-32,,,,,,
Utah,Big 12,0-0,15.8,17,32.5,36,16.7,10,,29-Aug,8:00 PM,Northwestern State at Tulsa,Tulsa,31.8,98%,46-15,,,,,,
Miami-FL,ACC,0-0,15.5,18,37.3,16,21.9,34,,29-Aug,8:00 PM,Southeastern Louisiana at Tulane,Tulane,24.4,94%,38-14,,,,,,
Florida State,ACC,0-1,14.7,19,32.2,38,18.1,15,,29-Aug,9:00 PM,Eastern Illinois at Illinois,Illinois,32.3,98%,40-7,,,,,,
Oklahoma State,Big 12,0-0,14.0,20,37.9,12,23.9,41,,29-Aug,9:00 PM,Southern Utah at Utah,Utah,37.3,99%,43-6,,,,,,
USC,Big Ten,0-0,13.9,21,44.4,5,30.5,84,,29-Aug,10:00 PM,Sacramento State at San Jose State,San Jose State,3.7,59%,29-25,,,,,,
Kentucky,SEC,0-0,13.8,22,34.4,26,20.6,31,,30-Aug,6:00 PM,Lehigh at Army,Army,30.7,97%,39-8,,,,,,
Florida,SEC,0-0,13.2,23,36.9,18,23.7,40,,30-Aug,7:00 PM,Florida Atlantic at Michigan State,Michigan State,12.3,78%,26-14,Michigan State -13,Florida Atlantic,0.7,47.5,Under,-6.9
Iowa,Big Ten,0-0,13.2,24,17.9,115,4.7,1,,30-Aug,7:00 PM,Temple at Oklahoma,Oklahoma,44.2,100%,50-6,Oklahoma -43,Oklahoma,1.2,58.5,Under,-2.5
Auburn,SEC,0-0,13.1,25,32.3,37,19.2,25,,30-Aug,7:30 PM,Elon at Duke,Duke,23.2,93%,36-13,,,,,,
Wisconsin,Big Ten,0-0,12.9,26,25.1,77,12.2,7,,30-Aug,9:00 PM,Western Michigan at Wisconsin,Wisconsin,28.2,96%,37-9,Wisconsin -24.5,Wisconsin,3.7,56.5,Under,-11.1
Arizona,Big 12,0-0,12.4,27,37.9,13,25.6,50,,30-Aug,10:30 PM,TCU at Stanford,TCU,9.7,73%,34-24,TCU -9.5,TCU,0.2,61.5,Under,-3.7
NC State,ACC,0-0,12.1,28,30.5,53,18.4,18,,31-Aug,12:00 PM,Austin Peay at Louisville,Louisville,25.8,95%,38-12,,,,,,
Iowa State,Big 12,0-0,11.5,29,29.8,61,18.3,17,,31-Aug,12:00 PM,Bucknell at Navy,Navy,28.3,96%,36-8,,,,,,
Louisville,ACC,0-0,11.3,30,30.7,49,19.4,27,,31-Aug,12:00 PM,Clemson vs. Georgia,Georgia,15.4,83%,36-20,Georgia -13.5,Georgia,1.9,49.5,Over,6.6
Washington,Big Ten,0-0,10.3,31,34.8,24,24.5,44,,31-Aug,12:00 PM,Connecticut at Maryland,Maryland,25.7,95%,35-10,Maryland -20,Maryland,5.7,45.5,Under,-0.8
Kansas,Big 12,0-0,9.7,32,37.7,15,28.0,67,,31-Aug,12:00 PM,Georgia vs. Clemson,Georgia,15.4,83%,36-20,Georgia -13.5,Georgia,1.9,49.5,Over,6.6
West Virginia,Big 12,0-0,9.7,33,35.8,21,26.1,54,,31-Aug,12:00 PM,Illinois State at Iowa,Iowa,27.3,96%,27-0,,,,,,
South Carolina,SEC,0-0,9.5,34,30.0,59,20.5,30,,31-Aug,12:00 PM,Indiana State at Purdue,Purdue,30.7,97%,42-12,,,,,,
Virginia Tech,ACC,0-0,9.4,35,31.3,43,21.9,35,,31-Aug,12:00 PM,Kent State at Pittsburgh,Pittsburgh,22.6,92%,36-13,Pittsburgh -24.5,Kent State,1.9,53.5,Under,-4.9
SMU,ACC,1-0,9.0,36,33.6,28,24.2,42,,31-Aug,12:00 PM,Penn State at West Virginia,Penn State,13.9,81%,34-20,Penn State -8.5,Penn State,5.4,51.5,Over,2.2
UCLA,Big Ten,0-0,8.8,37,30.3,54,21.5,33,,31-Aug,12:00 PM,Virginia Tech at Vanderbilt,Virginia Tech,14.2,81%,36-21,Virginia Tech -13.5,Virginia Tech,0.7,50.5,Over,6.3
TCU,Big 12,0-0,8.7,38,33.3,29,24.6,46,,31-Aug,12:45 PM,Chattanooga at Tennessee,Tennessee,36.9,99%,47-10,,,,,,
Boise State,MWC,0-0,7.9,39,32.6,35,24.8,47,,31-Aug,2:00 PM,South Dakota State at Oklahoma State,Oklahoma State,13.2,80%,38-24,Oklahoma State -9.5,Oklahoma State,3.7,53.5,Over,8.3
North Carolina,ACC,0-0,7.9,40,34.1,27,26.3,55,,31-Aug,2:30 PM,Towson at Cincinnati,Cincinnati,27.0,95%,41-14,,,,,,
Texas Tech,Big 12,0-0,7.4,41,31.9,40,24.5,45,,31-Aug,3:00 PM,Portland State at Washington State,Washington State,26.3,95%,43-17,,,,,,
Nebraska,Big Ten,0-0,7.4,42,19.4,106,12.0,6,,31-Aug,3:30 PM,Akron at Ohio State,Ohio State,55.5,100%,56-0,Ohio State -50,Ohio State,5.5,57.5,Under,-5.5
Memphis,AAC,0-0,6.1,43,39.9,9,33.8,103,,31-Aug,3:30 PM,Colorado State at Texas,Texas,40.8,99%,50-9,Texas -32.5,Texas,8.3,59.5,Under,-0.1
Arkansas,SEC,0-0,6.1,44,32.1,39,26.1,53,,31-Aug,3:30 PM,Eastern Michigan at Massachusetts,Eastern Michigan,1.6,54%,26-24,Massachusetts -1.5,Eastern Michigan,3.1,49.5,Over,0.6
UCF,Big 12,0-0,5.9,45,31.2,44,25.4,49,,31-Aug,3:30 PM,ETSU at Appalachian State,Appalachian State,32.9,98%,49-16,,,,,,
Maryland,Big Ten,0-0,5.2,46,24.2,82,19.0,24,,31-Aug,3:30 PM,Florida International at Indiana,Indiana,17.1,86%,35-18,Indiana -21,Florida International,3.9,50.5,Over,2.3
Minnesota,Big Ten,0-0,4.2,47,23.2,89,19.0,22,,31-Aug,3:30 PM,Kennesaw State at UTSA,UTSA,24.6,94%,39-15,UTSA -24.5,UTSA,0.1,49.5,Over,4.4
Georgia Tech,ACC,1-0,4.0,48,33.1,30,29.2,77,,31-Aug,3:30 PM,Merrimack at Air Force,Air Force,32.5,98%,39-7,,,,,,
Liberty,CUSA,0-0,3.9,49,34.5,25,30.6,86,,31-Aug,3:30 PM,Miami-FL at Florida,Florida,0.3,51%,30-30,Miami-FL -2.5,Florida,2.8,53.5,Over,6.4
Rutgers,Big Ten,0-0,3.5,50,22.3,92,18.8,21,,31-Aug,3:30 PM,Miami-OH at Northwestern,Northwestern,3.7,59%,21-17,Northwestern -2.5,Northwestern,1.2,42.5,Under,-4.7
Oregon State,Indies,0-0,3.2,51,30.5,51,27.3,62,,31-Aug,3:30 PM,North Dakota at Iowa State,Iowa State,25.5,94%,37-11,,,,,,
