Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Ohio State,Big Ten,4-0,30.3,1,39.4,9,9.5,2,0.3,17,,3-Oct,7:00 PM,Texas State at Troy,Texas State,2.3,56%,31-29,Texas State -14.5,Troy,12.2,57.5,Over,2.1
Texas,SEC,5-0,28.8,2,43.4,3,14.5,8,-0.1,84,,3-Oct,9:00 PM,Sam Houston at UTEP,Sam Houston,13.1,79%,32-19,Sam Houston -10.5,Sam Houston,2.6,49.5,Over,1.0
Alabama,SEC,4-0,28.7,3,44.6,1,15.8,13,-0.2,89,,4-Oct,7:00 PM,Jacksonville State at Kennesaw State,Jacksonville State,13.8,81%,33-20,Jacksonville State -14.5,Kennesaw State,0.7,48.5,Over,4.4
Ole Miss,SEC,4-1,26.5,4,41.8,5,15.6,10,0.3,24,,4-Oct,7:30 PM,Houston at TCU,TCU,16.6,85%,37-20,TCU -17,Houston,0.4,49.5,Over,7.8
Tennessee,SEC,4-0,26.2,5,38.9,10,13,6,0.3,20,,4-Oct,9:00 PM,Michigan State at Oregon,Oregon,27.5,96%,39-11,Oregon -24.5,Oregon,3.0,52.5,Under,-2.8
Penn State,Big Ten,4-0,25.4,6,37.1,14,11.5,3,-0.2,96,,4-Oct,9:00 PM,Syracuse at UNLV,UNLV,1.8,54%,31-29,UNLV -4.5,Syracuse,2.7,57.5,Over,2.6
Georgia,SEC,3-1,25.4,7,40.6,7,15.6,11,0.3,12,,5-Oct,12:00 PM,Army at Tulsa,Army,13.6,80%,35-21,Army -11,Army,2.6,50.5,Over,5.3
Oregon,Big Ten,4-0,24.2,8,42.3,4,18.5,22,0.3,25,,5-Oct,12:00 PM,Boston College at Virginia,Virginia,1.0,52%,27-26,Virginia -3,Boston College,2.0,50.5,Over,2.8
Missouri,SEC,4-0,22.1,9,38.5,11,16.6,15,0.2,41,,5-Oct,12:00 PM,Massachusetts at Northern Illinois,Northern Illinois,12.1,78%,28-16,Northern Illinois -17.5,Massachusetts,5.4,45.5,Under,-0.7
Notre Dame,Indies,4-1,20.9,10,34.3,23,13.8,7,0.4,6,,5-Oct,12:00 PM,Missouri at Texas A&M,Missouri,5.2,63%,29-24,Texas A&M -2,Missouri,7.2,49.5,Over,4.0
Miami-FL,ACC,5-0,20.7,11,41.4,6,20.9,33,0.2,42,,5-Oct,12:00 PM,Navy at Air Force,Navy,14.0,81%,31-17,Navy -8.5,Navy,5.5,36.5,Over,12.1
LSU,SEC,4-1,17.9,12,43.6,2,25.8,55,0.1,59,,5-Oct,12:00 PM,Pittsburgh at North Carolina,North Carolina,0.3,51%,29-29,Pittsburgh -2.5,North Carolina,2.8,64.5,Under,-6.8
Clemson,ACC,3-1,16.6,13,36.5,17,20,28,0.1,61,,5-Oct,12:00 PM,Purdue at Wisconsin,Wisconsin,12.0,77%,31-19,Wisconsin -12,Purdue,0.0,46.5,Over,2.7
Louisville,ACC,3-1,15.8,14,34,27,18,20,-0.2,100,,5-Oct,12:00 PM,SMU at Louisville,Louisville,5.7,64%,30-24,Louisville -7,SMU,1.3,58.5,Under,-4.7
Michigan,Big Ten,4-1,15.7,15,28.2,63,13,5,0.4,4,,5-Oct,12:00 PM,UCLA at Penn State,Penn State,31.8,98%,40-9,Penn State -27.5,Penn State,4.3,45.5,Over,3.4
Kansas State,Big 12,4-1,15.6,16,35.9,18,20.5,30,0.2,35,,5-Oct,12:00 PM,Wake Forest at NC State,NC State,8.8,71%,32-23,NC State -5.5,NC State,3.3,55.5,Over,0.1
Iowa,Big Ten,3-1,15.6,17,24.5,86,9.2,1,0.3,14,,5-Oct,1:00 PM,Tulane at UAB,Tulane,11.1,76%,36-25,Tulane -14.5,UAB,3.4,55.5,Over,4.8
Oklahoma,SEC,4-1,14.7,18,30.3,52,16,14,0.3,16,,5-Oct,2:00 PM,Western Michigan at Ball State,Western Michigan,4.7,62%,30-25,Western Michigan -7.5,Ball State,2.8,56.5,Under,-1.2
Texas A&M,SEC,4-1,14.4,19,33,39,18.9,23,0.2,32,,5-Oct,3:30 PM,Appalachian State at Marshall,Marshall,2.2,55%,30-28,Marshall -1.5,Marshall,0.7,58.5,Under,-0.4
Auburn,SEC,2-3,14.4,20,33.4,36,19.1,24,0.1,62,,5-Oct,3:30 PM,Auburn at Georgia,Georgia,13.5,80%,34-20,Georgia -23.5,Auburn,10.0,52.5,Over,1.8
Iowa State,Big 12,4-0,14.2,21,29.4,54,15,9,-0.2,106,,5-Oct,3:30 PM,Bowling Green at Akron,Bowling Green,13.2,80%,32-19,Bowling Green -15,Akron,1.8,51.5,Under,-1.1
USC,Big Ten,3-1,14.1,22,40,8,26.2,61,0.3,29,,5-Oct,3:30 PM,East Carolina at Charlotte,East Carolina,9.8,73%,29-20,East Carolina -7.5,East Carolina,2.3,46.5,Over,2.3
Washington,Big Ten,3-2,13.9,23,34,28,19.7,25,-0.4,130,,5-Oct,3:30 PM,Indiana at Northwestern,Indiana,10.8,75%,28-17,Indiana -13.5,Northwestern,2.7,42.5,Over,1.7
Kentucky,SEC,3-2,13.8,24,30.9,48,17.5,17,0.4,10,,5-Oct,3:30 PM,Iowa at Ohio State,Ohio State,17.2,86%,29-12,Ohio State -20.5,Iowa,3.3,44.5,Under,-3.2
Utah,Big 12,4-1,13.2,25,29,58,15.7,12,-0.1,85,,5-Oct,3:30 PM,Miami-OH at Toledo,Toledo,13.1,80%,28-15,Toledo -6.5,Toledo,6.6,43.5,Under,-1.1
