Game,Proj_winner,Proj_margin,Win_prob,WP_pct
Saint Francis-PA at Akron,Akron,14.8,80,0.8
Ball State at Tennessee,Tennessee,31.1,96,0.96
Bryant at Florida International,Florida International,6.8,65,0.65
Central Michigan at Oklahoma State,Oklahoma State,21.5,89,0.89
Long Island at Toledo,Toledo,53.2,100,1
SC State at UCF,UCF,39.7,99,0.99
West Virginia at Pittsburgh,Pittsburgh,13.6,78,0.78
VMI at Wake Forest,Wake Forest,35.1,98,0.98
Alabama A&M at UAB,UAB,39.6,99,0.99
Eastern Illinois at Northern Illinois,Northern Illinois,39,99,0.99
Louisiana Tech at Missouri,Missouri,21.3,89,0.89
Penn State at Purdue,Penn State,4,59,0.59
New Mexico State at Minnesota,Minnesota,42.3,99,0.99
Northern Arizona at Arizona State,Arizona State,31.4,97,0.97
Cal Poly at Fresno State,Fresno State,47.2,100,1
Portland State at San Jose State,San Jose State,17.3,84,0.84
Eastern Kentucky at Eastern Michigan,Eastern Michigan,12.8,77,0.77
Virginia Tech at Old Dominion,Virginia Tech,7.6,67,0.67
Western Michigan at Michigan State,Michigan State,26.3,94,0.94
William & Mary at Charlotte,Charlotte,9,70,0.7
Temple at Duke,Duke,5.9,63,0.63
Illinois at Indiana,Illinois,0.6,51,0.51
Tennessee Tech at Kansas,Kansas,32.9,97,0.97
TCU at Colorado,TCU,13.1,77,0.77
Buffalo at Maryland,Maryland,17.7,85,0.85
Central Connecticut at Connecticut,Connecticut,14.7,80,0.8
Colorado State at Michigan,Michigan,31.5,97,0.97
Delaware at Navy,Navy,10.4,73,0.73
NC State at East Carolina,NC State,13.5,78,0.78
North Carolina at Appalachian State,North Carolina,3,57,0.57
Rutgers at Boston College,Boston College,5.4,62,0.62
Sam Houston at Texas A&M,Texas A&M,31.3,96,0.96
South Dakota State at Iowa,Iowa,22.7,91,0.91
Richmond at Virginia,Virginia,20,88,0.88
Northern Iowa at Air Force,Air Force,16.8,83,0.83
SE Missouri State at Iowa State,Iowa State,34,98,0.98
Bowling Green at UCLA,UCLA,25,93,0.93
Arizona at San Diego State,San Diego State,16.3,83,0.83
Bethune-Cookman at Miami-FL,Miami-FL,55.8,100,1
Cincinnati at Arkansas,Arkansas,2.8,56,0.56
Houston at UTSA,Houston,2.1,55,0.55
Norfolk State at Marshall,Marshall,40.2,99,0.99
North Dakota at Nebraska,Nebraska,23,91,0.91
Oregon vs. Georgia,Georgia,16.2,83,0.83
Tulsa at Wyoming,Tulsa,5.3,62,0.62
UTEP at Oklahoma,Oklahoma,34.8,98,0.98
BYU at USF,BYU,17.1,84,0.84
Troy at Ole Miss,Ole Miss,27.4,94,0.94
UC Davis at California,California,15.2,81,0.81
Nicholls State at South Alabama,South Alabama,7.9,68,0.68
Texas State at Nevada,Nevada,8.1,68,0.68
Florida Atlantic at Ohio,Florida Atlantic,2,55,0.55
Middle Tennessee at James Madison,James Madison,3.6,58,0.58
Morgan State at Georgia Southern,Georgia Southern,35,98,0.98
Rice at USC,USC,26.4,94,0.94
Albany-NY at Baylor,Baylor,44.9,100,1
Army at Coastal Carolina,Coastal Carolina,2.8,56,0.56
Elon at Vanderbilt,Vanderbilt,12.2,76,0.76
Grambling at Arkansas State,Arkansas State,25.5,93,0.93
Illinois State at Wisconsin,Wisconsin,37.1,98,0.98
Liberty at Southern Miss,Liberty,5.5,62,0.62
Massachusetts at Tulane,Tulane,25,93,0.93
Mercer at Auburn,Auburn,34.6,98,0.98
Miami-OH at Kentucky,Kentucky,23.7,91,0.91
South Dakota at Kansas State,Kansas State,24.3,92,0.92
Southeastern Louisiana at UL-Lafayette,UL-Lafayette,16.3,83,0.83
Utah at Florida,Utah,0.2,50,0.5
Georgia State at South Carolina,South Carolina,13.4,78,0.78
Memphis at Mississippi State,Mississippi State,15.3,81,0.81
Notre Dame at Ohio State,Ohio State,11.3,74,0.74
SMU at North Texas,SMU,11,74,0.74
Utah State at Alabama,Alabama,36.6,98,0.98
Colgate at Stanford,Stanford,36.5,98,0.98
Louisville at Syracuse,Louisville,5,61,0.61
Maine at New Mexico,New Mexico,3.3,58,0.58
Murray State at Texas Tech,Texas Tech,37.8,99,0.99
UL-Monroe at Texas,Texas,38.2,99,0.99
Idaho at Washington State,Washington State,27.5,94,0.94
Boise State at Oregon State,Boise State,3.6,58,0.58
Kent State at Washington,Washington,17.2,84,0.84
Western Kentucky at Hawaii,Western Kentucky,18.9,86,0.86
Florida State vs. LSU,LSU,4.6,60,0.6
Clemson at Georgia Tech,Clemson,24.5,92,0.92
Louisville at UCF,UCF,10.9,74,0.74
Boise State at New Mexico,Boise State,18.4,86,0.86
Alabama at Texas,Alabama,18.9,86,0.86
Arkansas State at Ohio State,Ohio State,44.4,99,0.99
Duke at Northwestern,Northwestern,10.2,72,0.72
Missouri at Kansas State,Kansas State,8.2,68,0.68
North Carolina at Georgia State,North Carolina,11.8,75,0.75
Ohio at Penn State,Penn State,27.6,94,0.94
South Carolina at Arkansas,Arkansas,8.5,69,0.69
Southern Miss at Miami-FL,Miami-FL,27.8,95,0.95
UTSA at Army,UTSA,8,68,0.68
Wake Forest at Vanderbilt,Wake Forest,15.3,81,0.81
Western Illinois at Minnesota,Minnesota,40.8,99,0.99
Charleston Southern at NC State,NC State,42.8,99,0.99
South Alabama at Central Michigan,Central Michigan,4.7,61,0.61
Southern Utah at Utah,Utah,55.3,100,1
Lafayette at Temple,Temple,16.4,83,0.83
Western Michigan at Ball State,Western Michigan,6.7,65,0.65
Marshall at Notre Dame,Notre Dame,16.4,83,0.83
Appalachian State at Texas A&M,Texas A&M,21.5,89,0.89
Colorado at Air Force,Air Force,22.3,90,0.9
Furman at Clemson,Clemson,45.2,100,1
Kennesaw State at Cincinnati,Cincinnati,26,93,0.93
Maryland at Charlotte,Maryland,20.9,89,0.89
Memphis at Navy,Memphis,5,61,0.61
Tennessee at Pittsburgh,Tennessee,7.1,66,0.66
Washington State at Wisconsin,Wisconsin,24,92,0.92
Akron at Michigan State,Michigan State,41.5,99,0.99
Eastern Kentucky at Bowling Green,Bowling Green,5.7,63,0.63
Houston at Texas Tech,Texas Tech,4.9,61,0.61
Indiana State at Purdue,Purdue,36.4,98,0.98
Iowa State at Iowa,Iowa,2.7,56,0.56
Middle Tennessee at Colorado State,Colorado State,3.5,58,0.58
Norfolk State at James Madison,James Madison,36.5,98,0.98
Northern Colorado at Wyoming,Wyoming,22.8,91,0.91
Portland State at Washington,Washington,31.8,97,0.97
Samford at Georgia,Georgia,59.5,100,1
UNLV at California,California,12.7,77,0.77
Virginia at Illinois,Virginia,1.8,54,0.54
Wagner at Rutgers,Rutgers,49.8,100,1
Alabama State at UCLA,UCLA,54.2,100,1
Incarnate Word at Nevada,Nevada,4.5,60,0.6
Gardner-Webb at Coastal Carolina,Coastal Carolina,38,99,0.99
Holy Cross at Buffalo,Buffalo,3.4,58,0.58
Kansas at West Virginia,West Virginia,12,76,0.76
