game_id,season,week,completed,home_team,home_points,away_team,away_points,result,winner,proj_margin,abs_error,sqd_error,straight_up_win
401635525,2024,1,TRUE,Georgia Tech,24,Florida State,21,-3,Georgia Tech,13.96470805635582,16.964708056355818,287.801319437384,0
401643697,2024,1,TRUE,New Mexico,31,Montana State,35,4,Montana State,11.29350693624546,7.2935069362454605,53.195243429060646,1
401643696,2024,1,TRUE,Nevada,24,SMU,29,5,SMU,26.534896308323784,21.534896308323784,463.75175901025733,1
401643858,2024,1,TRUE,Hawai'i,35,Delaware State,14,-21,Hawai'i,-29.436927226355586,8.436927226355586,71.18174102282016,1
401628458,2024,1,TRUE,Rutgers,44,Howard,7,-37,Rutgers,-18.638363556508025,18.361636443491975,337.1496928829726,1
401628581,2024,1,TRUE,Wake Forest,45,North Carolina A&T,13,-32,Wake Forest,-32.68111154137338,0.681111541373383,0.4639129317920257,1
401634299,2024,1,TRUE,NC State,38,Western Carolina,21,-17,NC State,-24.679969297320067,7.679969297320067,58.98192840777889,1
401628582,2024,1,TRUE,UCF,57,New Hampshire,3,-54,UCF,-22.5506646537178,31.4493353462822,989.060693722915,1
401636387,2024,1,TRUE,UL Monroe,30,Jackson State,14,-16,UL Monroe,-7.317144280694805,8.682855719305195,75.39198344227094,1
401644727,2024,1,TRUE,Buffalo,30,Lafayette,13,-17,Buffalo,-4.029401196659869,12.970598803340131,168.23643331720845,1
401644729,2024,1,TRUE,Bowling Green,41,Fordham,17,-24,Bowling Green,-7.723926000971918,16.276073999028082,264.910584821838,1
401644730,2024,1,TRUE,Central Michigan,66,Central Connecticut,10,-56,Central Michigan,-29.96339612126581,26.03660387873419,677.9047415381164,1
401644728,2024,1,TRUE,Toledo,49,Duquesne,10,-39,Toledo,-35.87718589425122,3.1228141057487804,9.751967939063555,1
401628320,2024,1,TRUE,Arkansas,70,Arkansas-Pine Bluff,0,-70,Arkansas,-53.54895377437495,16.45104622562505,270.63692191765216,1
401640998,2024,1,TRUE,Jacksonville State,27,Coastal Carolina,55,28,Coastal Carolina,-15.01918282258034,43.01918282258034,1850.6500907225914,0
401628448,2024,1,TRUE,Minnesota,17,North Carolina,19,2,North Carolina,4.731332162442221,2.7313321624422207,7.460175381591298,1
401634206,2024,1,TRUE,Colorado,31,North Dakota State,26,-5,Colorado,17.621337662702786,22.621337662702786,511.7249176500155,0
401636606,2024,1,TRUE,Kansas,48,Lindenwood,3,-45,Kansas,-35.60129277817266,9.398707221827337,88.33569744162934,1
401628327,2024,1,TRUE,Missouri,51,Murray State,0,-51,Missouri,-38.100901262247035,12.899098737752965,166.38674824630013,1
401645317,2024,1,TRUE,Tulane,52,SE Louisiana,0,-52,Tulane,-26.146361491311367,25.853638508688633,668.4106241379478,1
401645318,2024,1,TRUE,Tulsa,62,Northwestern State,28,-34,Tulsa,-25.536749942218265,8.463250057781735,71.62660154054255,1
401645316,2024,1,TRUE,UAB,41,Alcorn State,3,-38,UAB,-23.095625030585936,14.904374969414064,222.1403932288965,1
401654845,2024,1,TRUE,Illinois,45,Eastern Illinois,0,-45,Illinois,-19.07903817165836,25.92096182834164,671.8962621063444,1
401636607,2024,1,TRUE,Utah,49,Southern Utah,0,-49,Utah,-16.555005193967872,32.44499480603213,1052.6776879634517,1
401643698,2024,1,TRUE,San José State,42,Sacramento State,24,-18,San José State,-8.036730880784347,9.963269119215653,99.26673154191626,1
401645319,2024,1,TRUE,Army,42,Lehigh,7,-35,Army,-32.54633677771945,2.4536632222805466,6.0204632083721545,1
401628453,2024,1,TRUE,Michigan State,16,Florida Atlantic,10,-6,Michigan State,3.1387538774800756,9.138753877480076,83.51682243315712,0
