team,games_PY2,completion_pct_PY2,pass_ypa_PY2,pass_ypr_PY2,int_pct_PY2,rush_ypc_PY2,turnovers_pg_PY2,third_conv_rate_PY2,fourth_conv_rate_PY2,penalty_yds_pg_PY2,yards_per_penalty_PY2,kick_return_avg_PY2,punt_return_avg_PY2,total_yds_pg_PY2,pass_yds_pg_PY2,rush_yds_pg_PY2,first_downs_pg_PY2,off_ypp_PY2,def_interceptions_pg_PY2,off_plays_pg_PY2,off_ppg_PY2,def_ppg_PY2,def_yds_pg_PY2,def_plays_pg_PY2,def_third_conv_rate_PY2,def_fourth_conv_rate_PY2,def_ypp_PY2,fg_rate_PY2,fg_rate_allowed_PY2,fg_made_pg_PY2,fg_made_pg_allowed_PY2,xpts_pg_PY2,xpts_allowed_pg_PY2,kick_return_yds_avg_allowed_PY2,punt_return_yds_avg_allowed_PY2,st_ppg_PY2,st_ppg_allowed_PY2,oppdef_tds_pg_PY2,oppoff_tds_pg_PY2,off_ppa_PY2,off_success_rate_PY2,off_explosiveness_PY2,off_power_success_PY2,off_stuff_rate_PY2,off_line_yds_PY2,off_second_lvl_yds_PY2,off_open_field_yds_PY2,off_pts_per_opp_PY2,off_field_pos_avg_predicted_points_PY2,off_havoc_total_PY2,off_havoc_front_seven_PY2,off_havoc_db_PY2,off_standard_downs_ppa_PY2,off_standard_downs_success_rate_PY2,off_standard_downs_explosiveness_PY2,off_passing_downs_ppa_PY2,off_passing_downs_success_rate_PY2,off_passing_downs_explosiveness_PY2,off_rushing_plays_ppa_PY2,off_rushing_plays_success_rate_PY2,off_rushing_plays_explosiveness_PY2,off_passing_plays_ppa_PY2,off_passing_plays_success_rate_PY2,off_passing_plays_explosiveness_PY2,def_ppa_PY2,def_success_rate_PY2,def_explosiveness_PY2,def_power_success_PY2,def_stuff_rate_PY2,def_line_yds_PY2,def_second_lvl_yds_PY2,def_open_field_yds_PY2,def_pts_per_opp_PY2,def_field_pos_avg_predicted_points_PY2,def_havoc_total_PY2,def_havoc_front_seven_PY2,def_havoc_db_PY2,def_standard_downs_ppa_PY2,def_standard_downs_success_rate_PY2,def_standard_downs_explosiveness_PY2,def_passing_downs_ppa_PY2,def_passing_downs_success_rate_PY2,def_passing_downs_explosiveness_PY2,def_rushing_plays_ppa_PY2,def_rushing_plays_success_rate_PY2,def_rushing_plays_explosiveness_PY2,def_passing_plays_ppa_PY2,def_passing_plays_success_rate_PY2,def_passing_plays_explosiveness_PY2,recruit_pts_PY2,talent_PY2,sp_rating_PY2,sp_offense_rating_PY2,sp_defense_rating_PY2,sp_special_teams_rating_PY2,FPI_PY2,Wins_PY2,Losses_PY2,SRS_rating_PY2
Liberty,13,0.579746835443038,7.1265822784810124,12.292576419213974,0.0379746835443038,4.554878048780488,2.076923076923077,0.367816091954023,0.4782608695652174,53.53846153846154,8.7,20.76923076923077,4.111111111111111,388.9230769230769,216.53846153846155,172.3846153846154,20.384615384615383,5.70011273957159,1.0769230769230769,67.15384615384616,21.076923076923077,17.23076923076923,352,69.3076923076923,0.2894736842105263,0.46875,5.078801331853496,0.5789473684210527,0.8823529411764706,0.8461538461538461,1.1538461538461535,2.8461538461538463,2.230769230769231,7,290,5.846153846153847,5.692307692307692,2.9704142011834316,2.923076923076923,0.14680157103639666,0.41232227488151657,1.3063448569745637,0.6779661016949152,0.1873536299765808,3.134192037470726,1.213114754098361,1.7072599531615924,3.6125,1.506,0.19549763033175355,0.13507109004739337,0.06042654028436019,0.10450753674073128,0.4793814432989691,1.094057231069642,0.2407524411130274,0.2633587786259542,2.164725257372725,0.1340029159907405,0.4426229508196721,1.0377304667024323,0.239814475766259,0.39650872817955113,1.625641207675399,0.08934677409096693,0.3486682808716707,1.3962200630938209,0.717391304347826,0.2385542168674699,2.584578313253012,0.9975903614457832,1.5879518072289156,3.691176470588235,-1.388,0.225181598062954,0.15012106537530268,0.07506053268765134,-0.01669679337204657,0.3930635838150289,1.1483966299487758,0.26861912429716894,0.2736156351791531,1.998076972160359,0.09613920031561206,0.3734939759036144,1.1531388346418183,0.1579683201270191,0.3384223918575064,1.6795102165529217,126.37,161.88,-1.5,24.1,25.4,-0.2,-3.9,8,5,-3.5
Missouri,13,0.6317135549872123,7.086956521739131,11.218623481781377,0.02301790281329923,4.125760649087221,1.5384615384615383,0.39896373056994816,0.5,63.69230769230769,8.198019801980198,16.357142857142858,11.307692307692308,369.61538461538464,213.15384615384616,156.46153846153845,18.53846153846154,5.4355203619909505,0.8461538461538461,61.07692307692308,14.461538461538462,16.615384615384617,332.38461538461536,59.07692307692308,0.3313253012048193,0.6666666666666666,5.626302083333333,0.8260869565217391,0.5652173913043478,1.4615384615384617,1,2.076923076923077,2.4615384615384617,2.967741935483871,203,6.923076923076923,5.461538461538462,3.121794871794872,3.769230769230769,0.14815823399521127,0.40585774058577406,1.2517397343309316,0.6938775510204082,0.18276762402088773,2.8678851174934725,0.9921671018276762,1.0783289817232375,4.186440677966102,1.346,0.1910739191073919,0.14225941422594143,0.04881450488145049,0.05112855952194532,0.4442105263157895,0.9555214145530504,0.338609041329101,0.3305785123966942,2.0330155527450935,0.0944447648121424,0.412532637075718,0.951249503617368,0.2572634689812759,0.40797546012269936,1.6087130911184735,0.1512031916516549,0.3741109530583215,1.4330887668402117,0.6666666666666666,0.22443181818181815,2.7599431818181817,1.0909090909090908,1.2613636363636365,3.76271186440678,-1.319,0.23470839260312945,0.1507823613086771,0.08392603129445235,0.13947802859412878,0.4335511982570806,1.2353883392896496,0.17325995330495203,0.26229508196721313,2.0478135337552397,0.12513789428188404,0.3806818181818182,1.1712886259404276,0.19486998439956,0.37283236994219654,1.7050362000229329,236.92,715.36,8.1,26,18.3,0.3,2.6,6,7,4.2
North Texas,14,0.5604651162790698,8.527906976744186,15.215767634854773,0.03720930232558139,5.167910447761194,1.5714285714285714,0.42857142857142855,0.6086956521739131,41.357142857142854,7.931506849315069,19.954545454545453,4.454545454545454,459.7857142857143,261.92857142857144,197.8571428571429,21.714285714285715,6.663561076604555,0.5714285714285714,57.785714285714285,19.428571428571427,19.857142857142858,394.2142857142857,63.07142857142857,0.40331491712707185,0.34615384615384615,6.250283125707814,0.9375,0.75,1.0714285714285714,1.0714285714285714,3.0714285714285716,3.0714285714285716,5.328767123287672,80,6.714285714285714,6.2857142857142865,2.9285714285714284,2.8831168831168834,0.20461715404036385,0.4067114093959732,1.460871396982618,0.7111111111111111,0.16414141414141414,3.0088383838383836,1.0151515151515151,1.595959595959596,4.389830508474576,1.155,0.15033557046979865,0.0697986577181208,0.08053691275167785,0.08357823261133716,0.4296577946768061,1.1791229979953586,0.4953316411256059,0.3515981735159817,2.2878212433608076,0.16577848355664354,0.3939393939393939,1.1110545937743963,0.3084754715806841,0.4310850439882698,1.8321055554893015,0.2632514287206063,0.4700122399020808,1.2216376597689893,0.75,0.11594202898550723,3.606521739130435,1.222222222222222,1.0096618357487923,4.295774647887324,-1.306,0.14443084455324356,0.08445532435740515,0.05997552019583843,0.22751948807493808,0.5313028764805414,1.0465449395107949,0.35669203456834925,0.30973451327433627,2.0070535763557475,0.2604970786353202,0.5024154589371981,0.9277427773207024,0.2909676338963955,0.4433249370277078,1.568967975389692,102.95,504.97,-1.5,31.3,34.1,1.3,-3.4,7,7,-4.6
UAB,13,0.6043613707165109,8.22741433021807,13.61340206185567,0.02180685358255451,5.787878787878788,1.3846153846153846,0.4484848484848485,0.48148148148148145,60.53846153846154,8.648351648351648,21.384615384615383,8.4,438.2307692307692,203.15384615384616,235.07692307692307,21.23076923076923,6.710247349823321,0.7692307692307693,57.53846153846154,20.46153846153846,15.846153846153848,342.3076923076923,62.30769230769231,0.3218390804597701,0.5,5.493827160493828,0.7647058823529411,0.5833333333333334,1,0.5384615384615384,3.076923076923077,2.230769230769231,8.917808219178083,180,6.076923076923077,4.76923076923077,2.980769230769231,3.2371794871794872,0.32722418348560567,0.4538799414348463,1.3873787737538033,0.7413793103448276,0.13942307692307693,3.3622596153846156,1.3245192307692308,2.5,4.114285714285714,1.371,0.1603221083455344,0.1178623718887262,0.0424597364568082,0.29885054961599056,0.5118279569892473,1.1411113713346277,0.3877459254551974,0.3302752293577982,2.201429353972744,0.3154628678741475,0.47115384615384615,1.203191733937597,0.39829629186147736,0.4351145038167939,1.704051228174649,0.15120036990071897,0.42895086321381143,1.2272053699744483,0.7931034482758621,0.12834224598930483,3.252941176470588,0.9759358288770054,1.4010695187165776,3.230769230769231,-1.241,0.17795484727755645,0.08764940239043825,0.0903054448871182,0.1455908875653828,0.4856046065259117,1.0577607515310945,0.16379752635205566,0.3017241379310345,1.8396266337768576,0.2353128579251942,0.4679144385026738,1.0038640408948174,0.13618667296328274,0.4021739130434782,1.4912914009807694,142.49,443.8,-0.5,25.7,25.3,-0.9,0.2,7,6,-1.1
Cincinnati,13,0.5971223021582733,7.565947242206235,12.670682730923694,0.01918465227817745,3.957746478873239,1.0769230769230769,0.36464088397790057,0.65,64.38461538461539,8.540816326530612,21.347826086956523,11.357142857142858,372.38461538461536,242.69230769230768,129.69230769230768,18.53846153846154,5.742586002372479,0.8461538461538461,58,17.23076923076923,14.307692307692308,329.6923076923077,66.15384615384616,0.3709677419354839,0.42857142857142855,4.9837209302325585,0.8571428571428571,0.8461538461538461,1.3846153846153846,0.8461538461538461,2.4615384615384617,2.1538461538461537,5.291666666666667,100,7.076923076923077,4.692307692307692,3.2371794871794872,3.25,0.2229727690114931,0.4090909090909091,1.3342296151725617,0.6818181818181818,0.13564668769716087,3.095583596214511,0.9684542586750788,1.2839116719242902,3.8688524590163937,1.341,0.16619318181818182,0.09801136363636365,0.06818181818181818,0.115214918421568,0.449244060475162,1.103935916729932,0.4299930379871583,0.33195020746887965,1.9329932311233988,0.1245786922107646,0.4006309148264984,0.9512612090143872,0.33193302441555106,0.4225721784776903,1.6363227057445378,0.08251416859616822,0.3694829760403531,1.245410169489588,0.8181818181818182,0.14988290398126464,2.948009367681499,0.8407494145199064,0.9578454332552692,3.5964912280701755,-1.118,0.2068095838587642,0.13871374527112232,0.06809583858764187,-0.01319623712262628,0.4206500956022944,0.9608428238448474,0.2679087693033146,0.27037037037037037,2.103010389240861,0.05548646720173048,0.38875878220140514,0.9284759895631888,0.1593033475077813,0.35376044568245124,1.6596705936453535,197.75,650.89,13.1,27.6,16.1,1.5,6.5,9,4,5.7
Colorado,12,0.49722222222222223,5.763888888888889,11.59217877094972,0.02777777777777777,3.359173126614987,1.8333333333333333,0.3170731707317073,0.36666666666666664,48.25,9.046875,21.428571428571427,16.09090909090909,281.25,172.91666666666666,108.33333333333331,15.833333333333334,4.518072289156627,0.5,55.583333333333336,10,32.666666666666664,458.9166666666667,62.583333333333336,0.4758064516129033,0.45,7.33288948069241,0.8333333333333334,0.7,0.8333333333333334,0.5833333333333334,1.4166666666666667,5.166666666666667,5.666666666666667,374,4.416666666666667,7.416666666666667,3.4621212121212124,4.568181818181818,0.06354646459185422,0.38427299703264095,1.2154648686280385,0.8076923076923077,0.1557632398753894,2.9037383177570093,0.97196261682243,0.6728971962616822,3.302325581395349,1.114,0.2314540059347181,0.13353115727002968,0.09792284866468842,3.4385319402207627e-4,0.47368421052631576,0.9211572049261016,0.18008461303427042,0.21940928270042195,2.3870357606722874,0.11525201522485412,0.4299065420560747,0.9143196296438484,0.0894208139707781,0.35174418604651164,1.5589197692876935,0.40219413330494685,0.5325365205843293,1.3339861679311338,0.7323943661971831,0.1825,3.34975,1.4425,2.0575,4.8977272727272725,-1.625,0.12881806108897742,0.0849933598937583,0.04382470119521912,0.3048389452507909,0.5688405797101449,1.1366494346259743,0.6695576348268079,0.4328358208955224,2.04621299848079,0.32368246727551553,0.5525,1.111295658477308,0.5227843354681182,0.5157593123209169,1.6074006267605536,192.38,616.28,-20.4,24,45,0.7,-17.1,1,11,-14.7
Central Michigan,12,0.5629820051413882,6.4190231362467864,11.401826484018263,0.02570694087403599,4.301801801801802,2.3333333333333335,0.35294117647058826,0.5454545454545454,62.75,9.072289156626503,20.02857142857143,5.045454545454546,367.25,208.08333333333337,159.16666666666666,19.916666666666668,5.290516206482593,0.3333333333333333,62.333333333333336,18,19.333333333333332,360.25,63.416666666666664,0.3,0.4090909090909091,5.680683311432326,0.4615384615384616,0.6,0.5,0.75,1.6666666666666667,2.75,9.363636363636363,148,3.166666666666667,5,3.022727272727273,2.992424242424242,0.12635826463865715,0.3978779840848806,1.3491630446485186,0.6122448979591837,0.15126050420168066,3.1089635854341737,1.112044817927171,1.8683473389355745,3.2857142857142856,1.355,0.2307692307692308,0.1273209549071618,0.10344827586206896,0.00846737867344305,0.4306122448979592,1.0362058954556597,0.34517089389227423,0.3371212121212121,2.091117634307993,0.08816129817884259,0.4173669467787115,1.1045655662115152,0.20172920724922255,0.3901808785529716,1.5905208213843691,0.17215007799083543,0.4164490861618799,1.2810227190672785,0.7674418604651163,0.17518248175182485,2.948175182481752,1.1557177615571776,1.27007299270073,3.5789473684210527,-1.584,0.2245430809399478,0.1475195822454308,0.07702349869451697,0.12669845156088272,0.47347740667976423,1.0342153786929862,0.26216905796299855,0.3035019455252918,2.043594116890412,0.10861111006249569,0.4087591240875912,1.0331886755944668,0.27858953433037903,0.4301994301994302,1.556758608493983,144.51,384.48,-14,19,32.2,-0.8,-11.1,4,8,-12.2
Boise State,14,0.5948051948051948,6.880519480519481,11.56768558951965,0.02337662337662337,5.0109289617486334,1.2142857142857142,0.3979057591623037,0.5882352941176471,47.42857142857143,8.512820512820513,22.583333333333332,6.678571428571429,385.7142857142857,189.21428571428572,196.5,19.5,5.781584582441114,1.0714285714285714,57.57142857142857,16.428571428571427,10.857142857142858,250.57142857142856,51.07142857142857,0.2916666666666667,0.4705882352941176,4.906293706293706,0.8518518518518519,0.7333333333333333,1.6428571428571428,0.7857142857142857,2.642857142857143,1.6428571428571428,12.47945205479452,233,8.428571428571429,4.857142857142858,2.5454545454545454,2.402597402597402,0.2111871627330531,0.4233378561736771,1.2189067294982994,0.813953488372093,0.13734939759036144,3.2060240963855424,1.033734939759036,1.3325301204819278,4.109375,1.492,0.17639077340569878,0.10312075983717776,0.07327001356852103,0.1101611944979726,0.4715127701375246,0.923521195559904,0.43672320585435126,0.3157894736842105,2.203525175959617,0.1643602159919515,0.4506024096385542,0.9277353646653684,0.3133995463378758,0.3930817610062894,1.654499091288364,0.04828417596052951,0.33690658499234305,1.2217545318027334,0.7857142857142857,0.14958448753462605,2.9390581717451525,0.8060941828254847,0.7617728531855956,3.1219512195121952,-1.239,0.20214395099540583,0.1332312404287902,0.06891271056661562,0.04753076872619734,0.4330143540669856,0.993095934423764,0.04962427904117141,0.16595744680851063,2.2829649452794887,0.10233415390506728,0.3878116343490305,0.9295953695644764,0.05623596113123948,0.28169014084507044,1.733033065719683,174.52,533.92,5.7,24.1,18.5,0.1,3.8,10,4,1
Air Force,13,0.47126436781609193,10.528735632183908,22.341463414634145,0.02298850574712643,5.304239401496259,1,0.4488636363636363,0.7241379310344828,29.692307692307693,7.568627450980392,10.8,2.75,397.6923076923077,70.46153846153847,327.2307692307692,20.46153846153846,5.815523059617548,0.6923076923076923,59.69230769230769,18.615384615384617,8.923076923076923,252.46153846153845,44.76923076923077,0.3008130081300813,0.42105263157894735,5.639175257731959,0.7368421052631579,0.7333333333333333,1.0769230769230769,0.8461538461538461,2.6923076923076925,1.0769230769230769,7.46969696969697,102,5.923076923076923,3.615384615384615,2.628205128205128,2.2371794871794872,0.314396848904957,0.4885386819484241,1.1259561190566485,0.8676470588235294,0.08306188925081433,3.634527687296417,1.0667752442996743,1.3566775244299674,4.222222222222222,1.316,0.10888252148997137,0.09169054441260743,0.01719197707736389,0.28646490681656306,0.5421455938697318,0.9441819564137732,0.39724044987167095,0.32954545454545453,2.0128886712624,0.31011994287160527,0.506514657980456,0.9884463813264744,0.420761284871441,0.36585365853658536,2.5514737335261177,0.13309637093839924,0.4148148148148148,1.155548829459412,0.6129032258064516,0.13214285714285717,3.197857142857143,1.0357142857142858,0.8714285714285714,3.8,-1.239,0.2111111111111111,0.1351851851851852,0.07592592592592592,0.10199884939180778,0.4891304347826087,0.960077523410222,0.19963060308459493,0.2558139534883721,1.9552041723879168,0.1231464663759219,0.4142857142857143,0.9425778163584508,0.2589952404791992,0.432,1.3842954731604449,110.12,0,3.9,16.3,12.3,-0.1,3.8,10,3,4.2
UTSA,14,0.6779324055666004,8.36182902584493,12.334310850439882,0.01789264413518886,4.52670349907919,1.3571428571428572,0.4866310160427807,0.48148148148148145,62.57142857142857,8.848484848484848,20.142857142857142,5.142857142857143,476,300.42857142857144,175.57142857142858,25.857142857142858,6.37093690248566,1.0714285714285714,66.64285714285714,24.571428571428573,15.571428571428571,364.42857142857144,62.857142857142854,0.32978723404255317,0.3333333333333333,5.797727272727273,0.7916666666666666,0.7368421052631579,1.3571428571428572,1,3.642857142857143,2.2857142857142856,10.540229885057473,77,8.142857142857142,5.285714285714286,2.880952380952381,2.869047619047619,0.32096823653960826,0.49017341040462425,1.2771579193658926,0.746268656716418,0.13425925925925927,3.3747685185185183,1.1689814814814814,1.2361111111111112,4.511363636363637,1.438,0.13641618497109825,0.08208092485549133,0.05433526011560694,0.2465249516475437,0.533011272141707,1.0748842798883411,0.5104324984985102,0.38114754098360654,1.9970780770763177,0.22896463001644843,0.46064814814814814,1.0250482345117249,0.455224124051181,0.5269320843091335,1.5001349295258006,0.17224207459752044,0.36483253588516745,1.4544065858078434,0.7272727272727273,0.16049382716049382,2.778024691358025,0.8765432098765432,1.202469135802469,3.260869565217391,-1.288,0.19617224880382775,0.11363636363636365,0.08253588516746412,0.09548002646721888,0.4127579737335834,1.1461687442079334,0.30727234408085624,0.28052805280528054,2.252198646419375,0.10990925705555724,0.34814814814814815,1.1956393734852544,0.27646569823032935,0.3895486935866984,1.676883274451045,162.04,515.76,7.2,39.3,32.6,0.5,3.3,11,3,2.7
