team,games_PY1,completion_pct_PY1,pass_ypa_PY1,pass_ypr_PY1,int_pct_PY1,rush_ypc_PY1,turnovers_pg_PY1,third_conv_rate_PY1,fourth_conv_rate_PY1,penalty_yds_pg_PY1,yards_per_penalty_PY1,kick_return_avg_PY1,punt_return_avg_PY1,total_yds_pg_PY1,pass_yds_pg_PY1,rush_yds_pg_PY1,first_downs_pg_PY1,off_ypp_PY1,def_interceptions_pg_PY1,off_plays_pg_PY1,off_ppg_PY1,def_ppg_PY1,def_yds_pg_PY1,def_plays_pg_PY1,def_third_conv_rate_PY1,def_fourth_conv_rate_PY1,def_ypp_PY1,fg_rate_PY1,fg_rate_allowed_PY1,fg_made_pg_PY1,fg_made_pg_allowed_PY1,xpts_pg_PY1,xpts_allowed_pg_PY1,kick_return_yds_avg_allowed_PY1,punt_return_yds_avg_allowed_PY1,st_ppg_PY1,st_ppg_allowed_PY1,oppdef_ppa_PY1,oppoff_ppa_PY1,off_ppa_PY1,off_success_rate_PY1,off_explosiveness_PY1,off_power_success_PY1,off_stuff_rate_PY1,off_line_yds_PY1,off_second_lvl_yds_PY1,off_open_field_yds_PY1,off_pts_per_opp_PY1,off_field_pos_avg_predicted_points_PY1,off_havoc_total_PY1,off_havoc_front_seven_PY1,off_havoc_db_PY1,off_standard_downs_ppa_PY1,off_standard_downs_success_rate_PY1,off_standard_downs_explosiveness_PY1,off_passing_downs_ppa_PY1,off_passing_downs_success_rate_PY1,off_passing_downs_explosiveness_PY1,off_rushing_plays_ppa_PY1,off_rushing_plays_success_rate_PY1,off_rushing_plays_explosiveness_PY1,off_passing_plays_ppa_PY1,off_passing_plays_success_rate_PY1,off_passing_plays_explosiveness_PY1,def_ppa_PY1,def_success_rate_PY1,def_explosiveness_PY1,def_power_success_PY1,def_stuff_rate_PY1,def_line_yds_PY1,def_second_lvl_yds_PY1,def_open_field_yds_PY1,def_pts_per_opp_PY1,def_field_pos_avg_predicted_points_PY1,def_havoc_total_PY1,def_havoc_front_seven_PY1,def_havoc_db_PY1,def_standard_downs_ppa_PY1,def_standard_downs_success_rate_PY1,def_standard_downs_explosiveness_PY1,def_passing_downs_ppa_PY1,def_passing_downs_success_rate_PY1,def_passing_downs_explosiveness_PY1,def_rushing_plays_ppa_PY1,def_rushing_plays_success_rate_PY1,def_rushing_plays_explosiveness_PY1,def_passing_plays_ppa_PY1,def_passing_plays_success_rate_PY1,def_passing_plays_explosiveness_PY1,recruit_pts_PY1,talent_PY1,adj_off_ppa_PY1,adj_def_ppa_PY1,adj_ppa_diff_PY1,adj_off_explosiveness_PY1,adj_def_explosiveness_PY1,adj_off_ypp_PY1,adj_def_ypp_PY1,adj_off_pts_per_play_PY1,adj_off_ppg_PY1,adj_def_pts_per_play_PY1,adj_def_ppg_PY1,adj_st_ppa_PY1,adj_st_ppa_allowed_PY1,net_adj_st_ppa_PY1
Air Force,12,0.4492753623188406,7.804347826086956,17.370967741935484,0.07246376811594203,4.0359281437125745,1.25,0.42391304347826086,0.6388888888888888,28,9.333333333333334,14.6,5.25,314.4166666666667,89.75,224.66666666666666,17.916666666666668,4.681141439205955,0.3333333333333333,66.08333333333333,14.666666666666666,17.666666666666668,339.5,56.75,0.3333333333333333,0.4074074074074074,5.9823788546255505,0.6923076923076923,0.8333333333333334,0.75,0.8333333333333334,2,2.4166666666666665,7.142857142857143,204,4.75,4.916666666666666,0.22391866306219832,0.22396629529646397,0.13048584187762788,0.418227215980025,1.0532557012890365,0.8272727272727273,0.13914373088685014,3.030275229357798,0.8302752293577982,0.654434250764526,4.019230769230769,1.273,0.121,0.094,0.027,0.11097700891339873,0.4862068965517241,0.8636814388468317,0.18168549400094422,0.2398190045248869,2.0619338523966166,0.1460319208368699,0.4434250764525994,0.8923148232909499,0.08466612825623775,0.3082191780821918,2.090430248387816,0.19494799067606317,0.41874084919472915,1.2727885240134773,0.6792452830188679,0.15762273901808785,3.0808785529715763,1.144702842377261,1.165374677002584,3.96875,-1.5,0.146,0.101,0.045,0.15018120234319204,0.47751605995717344,1.0650655500231436,0.291735445080928,0.2916666666666667,2.0080619081379916,0.09704539783967243,0.4134366925064599,1.028686330411231,0.32294901576958757,0.42567567567567566,1.582759563508393,23.21,0,0.15372209976717194,0.18669908465830226,-0.03297698489113032,1.2004843953745026,1.2898318403289777,4.877797656350557,5.741790111235155,0.2416172649060328,15.966874255873666,0.3015334961336918,17.11202590558701,2.7904136941428566,2.848271131824169,-0.05785743768131235
Akron,12,0.5571428571428572,6.642857142857143,11.923076923076923,0.023809523809523808,3.526315789473684,1.6666666666666667,0.35802469135802467,0.3125,48.666666666666664,7.684210526315789,15.8,3.375,333,232.5,100.5,17.916666666666668,5.244094488188976,0.25,63.166666666666664,13.333333333333334,23.833333333333332,413.75,67.75,0.3393939393939394,0.4,6.107011070110701,0.8125,0.6875,1.0833333333333333,0.9166666666666666,1.75,3.5,5.2075471698113205,249,5,6.75,0.19308324123724244,0.2027367328350874,0.06379003897790654,0.3880208333333333,1.2777041866304133,0.7837837837837838,0.19122257053291536,2.8454545454545457,1.0470219435736676,1.1630094043887147,3.263157894736842,1.14,0.167,0.102,0.065,0.03977458351084282,0.4590818363273453,1.0090240350987147,0.1088527475509362,0.2546816479400749,2.186475287399394,0.0477689597532168,0.438871473354232,0.9387764213273853,0.10371381016407295,0.35665914221218964,1.5780199280381597,0.2110495511336605,0.44730392156862747,1.2353903353969045,0.6571428571428571,0.1951219512195122,2.953436807095344,1.0354767184035476,1.5254988913525498,4.1923076923076925,-1.339,0.143,0.089,0.054,0.11352875176347159,0.47877758913412566,1.002935802901198,0.46408810104133125,0.3656387665198238,2.0251756144787025,0.10521878791710162,0.4190687361419069,0.9767905558385704,0.37043699137025643,0.48484848484848486,1.513091235036252,146.65,537.82,0.13268367048718555,0.2302860403641079,-0.09760236987692236,1.2857376994916974,1.2767946378903148,5.1927418024869185,6.0734150231471995,0.24088202815373366,15.215714778377508,0.3229597602343316,21.880523755875966,2.8516729160351044,2.8461432244304428,0.005529691604661657
Alabama,12,0.6542056074766355,8.975077881619939,13.719047619047618,0.03115264797507788,4.790393013100437,1.5,0.4900662251655629,0.6153846153846154,71.83333333333333,9.369565217391305,20.53846153846154,8.08695652173913,422.9166666666667,240.08333333333334,182.83333333333334,21.333333333333332,6.514762516046213,1.3333333333333333,69.58333333333333,29.166666666666668,11.833333333333334,357.3333333333333,72,0.3027027027027027,0.5217391304347826,4.962962962962963,0.8,0.68,0.6666666666666666,1.4166666666666667,4.333333333333333,1.4166666666666667,5.901234567901234,44,6.333333333333333,5.666666666666667,0.15751445644103387,0.2188684680332137,0.2704205215238994,0.46675191815856776,1.318604936312261,0.746031746031746,0.2018140589569161,2.7376417233560093,1.08843537414966,1.7074829931972788,4.8493150684931505,1.419,0.151,0.11,0.041,0.21381392277000005,0.512280701754386,1.0603025568546969,0.4226175087395721,0.3443396226415094,2.3518144541425166,0.2189634763045873,0.4512471655328798,1.135591130674165,0.3447328210661726,0.48823529411764705,1.538001004516966,0.03469936155558847,0.37209302325581395,1.1925246248186534,0.7068965517241379,0.17703349282296652,2.867464114832536,1.0215311004784688,0.9186602870813397,2.7761194029850746,-1.262,0.179,0.098,0.081,-0.055501872764688764,0.4230055658627087,0.9302669182948952,0.2095859273779965,0.2733812949640288,1.979297744389928,-0.007887038828212956,0.3923444976076555,0.8508450905000801,0.08373179377556567,0.35175879396984927,1.5927777935918392,310.75,1018.28,0.3465902549144997,0.05434586936238073,0.29224438555211896,1.2997753510813315,1.2686382780856817,7.055018105891561,4.539788377335921,0.40836073423721775,28.415101090673065,0.18852006157873527,13.57344443366894,2.8802263709108726,2.8354843622718384,0.044742008639034214
App State,11,0.5561224489795918,7.658163265306122,13.770642201834862,0.04081632653061224,4.5078125,2,0.42758620689655175,0.5909090909090909,57,9.5,20,16.5,430.27272727272725,272.90909090909093,157.36363636363637,23.90909090909091,6.099226804123711,0.36363636363636365,68.72727272727273,20,24.181818181818183,416.72727272727275,62.27272727272727,0.38095238095238093,0.3333333333333333,6.691970802919708,0.7857142857142857,0.875,1,1.2727272727272727,2.6363636363636362,3.727272727272727,8.894736842105264,212,5.636363636363637,8.09090909090909,0.20274051386366274,0.2506694621012657,0.19079451997102842,0.4385510996119017,1.3095201618176562,0.813953488372093,0.1725067385444744,3.1673854447439354,1.261455525606469,1.0215633423180592,3.893939393939394,1.187,0.158,0.071,0.088,0.044649211847206105,0.47326732673267324,0.9468726084066068,0.46618026848793237,0.373134328358209,2.1762478144700643,0.12253652851744472,0.4636118598382749,0.8800050473743948,0.2800958349084625,0.41854636591478694,1.7518950102262847,0.2837965506438679,0.48405797101449277,1.2221910652730221,0.7777777777777778,0.13810741687979539,3.442455242966752,1.2736572890025575,1.6854219948849105,4.777777777777778,-1.333,0.116,0.091,0.025,0.26625333728053835,0.5424063116370809,1.052908135295106,0.33239987947014143,0.3224043715846995,2.011221671102292,0.2543010511821695,0.5012787723785166,1.033568851272198,0.3502842436177914,0.46464646464646464,1.4900892822596996,155.02,575.31,0.265237599952741,0.2631200642572133,0.0021175356955276947,1.3118982896618234,1.2631917446479368,6.513576849765881,6.276598226310545,0.30150816241236145,20.721833707613207,0.33973167145030003,21.15601772213232,2.830820861035859,2.8962759647346554,-0.06545510369879626
Arizona,12,0.5995423340961098,6.807780320366133,11.354961832061068,0.029748283752860413,3.8905775075987843,1.6666666666666667,0.4294117647058823,0.42105263157894735,57.583333333333336,8.85897435897436,22.25,5.588235294117647,354.5833333333333,247.91666666666666,106.66666666666667,18.5,5.554830287206267,0.5,62.75,14.666666666666666,23.833333333333332,408.6666666666667,63.333333333333336,0.36551724137931035,0.3333333333333333,6.4526315789473685,0.782608695652174,0.8,1.5,1,1.8333333333333333,3.6666666666666665,0.43103448275862066,262,6.833333333333333,6.666666666666666,0.20350379079148875,0.25615408115149185,0.11337708574239627,0.3843137254901961,1.4026707916092067,0.5853658536585366,0.26557377049180325,2.626885245901639,1.1278688524590164,1.4426229508196722,3.532258064516129,1.249,0.158,0.094,0.064,0.021747981591171937,0.4326530612244898,1.120169633031207,0.27664348950275963,0.29818181818181816,2.133039640615743,0.005589440160804873,0.3737704918032787,1.1096066600740675,0.18484498118236448,0.391304347826087,1.5882780749147947,0.22737874104813086,0.43823146944083224,1.3217091194303225,0.7868852459016393,0.1687344913151365,3.244665012406948,1.2406947890818858,1.617866004962779,4.554054054054054,-1.356,0.143,0.09,0.053,0.16926915818248103,0.4943820224719101,1.09557987376055,0.3594234953045436,0.31063829787234043,2.1394915969210064,0.14852853563936452,0.43672456575682383,1.0585312033588459,0.3243693270240266,0.4423076923076923,1.6094067171233655,162.29,672.7,0.2115335002027612,0.19877900455790504,0.012754495644856173,1.3344935168540673,1.312486068733825,6.320821690669661,5.662599536311536,0.26261481784429264,16.479079819729364,0.3302743030206036,20.917372524638232,2.885733416077568,2.829770082292875,0.05596333378469298
Arizona State,13,0.6227544910179641,8.733532934131736,14.024038461538462,0.014970059880239521,4.911819887429644,0.6153846153846154,0.46511627906976744,0.5333333333333333,53.92307692307692,8.345238095238095,16.4,15.666666666666666,425.7692307692308,224.3846153846154,201.3846153846154,22,6.384083044982699,1.1538461538461537,72.92307692307692,26.307692307692307,18,369.46153846153845,67.46153846153847,0.4147727272727273,0.4166666666666667,5.476624857468643,0.5789473684210527,0.6521739130434783,0.8461538461538461,1.1538461538461537,3.8461538461538463,2.230769230769231,8.825,268,6.846153846153846,6.153846153846153,0.20810758341916935,0.24452539625133096,0.3068332102749094,0.48834498834498835,1.237079865964356,0.7333333333333333,0.15503875968992248,3.2877906976744184,1.2267441860465116,1.2887596899224807,4.1395348837209305,1.292,0.115,0.073,0.042,0.2506549647176358,0.5373376623376623,1.0422353618656068,0.449832380784333,0.36363636363636365,1.9699608984266965,0.23965418951712167,0.501937984496124,0.9518107308099325,0.42532031667370396,0.47058823529411764,1.6988592784955792,0.10147370746453362,0.4150717703349282,1.2367269860241235,0.6590909090909091,0.19109947643979058,2.9638743455497383,1.0732984293193717,0.9293193717277487,3.643835616438356,-1.274,0.156,0.08,0.075,0.09124904785157469,0.477797513321492,1.060366642112869,0.12255972710591045,0.2857142857142857,1.8449440695129369,0.020855955323079444,0.4031413612565445,0.9801705137210414,0.19725497593063115,0.4298440979955457,1.44144044060793,199.47,757.02,0.32956301889210005,0.12252289796019648,0.20704012093190355,1.271851048128934,1.2789257935518865,6.984864669010862,4.671378819049976,0.35123204756763254,25.61292162262428,0.254964075588017,17.200268791591608,2.831330389016273,2.8505476922743793,-0.019217303258106444
Arkansas,12,0.6208651399491094,8.216284987277353,13.23360655737705,0.022900763358778626,4.883668903803132,1.8333333333333333,0.4276315789473684,0.5909090909090909,61,8.819277108433734,15.071428571428571,6.8,451,269.0833333333333,181.91666666666666,24.5,6.442857142857143,0.6666666666666666,74.16666666666667,25,19.333333333333332,405.1666666666667,72.41666666666667,0.32222222222222224,0.5151515151515151,5.594936708860759,0.7083333333333334,0.8333333333333334,1.4166666666666667,1.25,4.083333333333333,2.6666666666666665,7.8734177215189876,84,8.333333333333332,6.416666666666666,0.18680126699931757,0.23750030783064716,0.2770474211612655,0.4969987995198079,1.243685194820693,0.8243243243243243,0.18509615384615385,3.329326923076923,1.4783653846153846,1.5745192307692308,4,1.189,0.198,0.121,0.077,0.19997017657027702,0.554006968641115,0.9784488579731366,0.44786726052507786,0.37065637065637064,2.122280560628224,0.24234343033384095,0.5360576923076923,0.9803635678871683,0.3116681889891039,0.4580335731414868,1.551123534120044,0.12408710204662081,0.40372670807453415,1.207445711102855,0.8148148148148148,0.15841584158415842,2.7012376237623763,0.7004950495049505,0.7599009900990099,3.352112676056338,-1.387,0.149,0.082,0.067,0.06491664880897091,0.4709193245778612,0.9573443508312296,0.24003508578069213,0.27205882352941174,2.055762487159314,-0.050934394477378575,0.37376237623762376,0.7867459451700015,0.3004179863251638,0.4339152119700748,1.572535737860676,216.66,779.17,0.34274166958411567,0.11777361369430997,0.2249680558898057,1.2894440096883963,1.2618623604085553,7.298400480613094,5.019156622772437,0.3358837835459649,24.911380612992396,0.25959202888076943,18.798789424782388,2.8469257121093903,2.8917587794962074,-0.04483306738681714
Arkansas State,12,0.6204379562043796,6.630170316301703,10.686274509803921,0.021897810218978103,4.252212389380531,1.4166666666666667,0.4032258064516129,0.75,51.833333333333336,9.424242424242424,20.24137931034483,15.5,387.25,227.08333333333334,160.16666666666666,22,5.384704519119351,1.1666666666666667,75.83333333333333,19,27.5,504.8333333333333,70.08333333333333,0.425,0.6666666666666666,7.20332936979786,0.875,0.8571428571428571,1.75,1,2.5833333333333335,4.166666666666667,8.32876712328767,189,7.833333333333334,8.166666666666668,0.22394167527440062,0.22884588007845932,0.15629846017572122,0.4090909090909091,1.1985524184843195,0.7307692307692307,0.16152019002375298,3.03562945368171,1.0427553444180524,1.2185273159144894,3.9571428571428573,1.18,0.166,0.09,0.076,0.053426048451524266,0.4533106960950764,0.9376945540538844,0.38154697506624907,0.31226765799256506,2.02770777328106,0.10059106149468607,0.42280285035629456,0.867944342386211,0.2099662286990983,0.39588100686498856,1.538715641290466,0.3094979002673218,0.4935897435897436,1.264860422688072,0.7213114754098361,0.14153132250580047,3.5324825986078885,1.445475638051044,1.8584686774941994,4.702702702702703,-1.179,0.147,0.091,0.056,0.22668617235245853,0.5553571428571429,1.0534671031652139,0.5202913895051556,0.33636363636363636,2.153283697980084,0.3076705840577289,0.5220417633410673,1.0334532574924058,0.3236014118841739,0.45977011494252873,1.5902767487444773,167.29,573.27,0.19048632210652713,0.31254481252589583,-0.1220584904193687,1.269734455102249,1.2936468107039494,5.674097298086042,6.873106009579443,0.2575210666055684,19.528680884255603,0.3555746839447419,24.919859099793992,2.887632322390536,2.830963710438011,0.05666861195252482
Army,12,0.5876288659793815,10.288659793814434,17.50877192982456,0.010309278350515464,5.7298937784522,0.4166666666666667,0.5,0.7575757575757576,35.166666666666664,9.813953488372093,10.5,3.8,397.8333333333333,83.16666666666667,314.6666666666667,21.166666666666668,6.314814814814815,1.4166666666666667,69.75,25.5,11.333333333333334,339.5833333333333,61,0.36486486486486486,0.35,5.566939890710382,0.8,0.75,0.6666666666666666,0.5,3.8333333333333335,1.5,8.805194805194805,48,5.833333333333334,3,0.190281556673205,0.20527181854767676,0.3333750642661406,0.5143979057591623,1.0917645245649947,0.845360824742268,0.07727272727272727,3.6365151515151517,1.1893939393939394,1.5712121212121213,4.53125,1.46,0.074,0.058,0.016,0.31992889859414947,0.5610169491525424,0.9832308561333586,0.37896838464817956,0.3563218390804598,1.6711942705467946,0.3213364003415569,0.5257575757575758,0.9938254103122524,0.40977427763369095,0.4423076923076923,1.8305661038193786,0.12946402465446802,0.43714285714285717,1.170919233137756,0.6888888888888889,0.15614617940199335,3.3461794019933553,1.0996677740863787,0.8538205980066446,2.5306122448979593,-1.22,0.15,0.094,0.056,0.035408576620723074,0.48846960167714887,0.9317973318356104,0.3306498933185772,0.3273542600896861,1.9341439318144675,0.16204998742278692,0.4684385382059801,0.8951560763479042,0.15262109944467925,0.4198473282442748,1.4065713853036295,37.76,0,0.3332478153081121,0.19501092051472438,0.13823689479338772,1.2116118654684715,1.236878714564306,6.487040298463886,5.532211997390341,0.3377824058436215,23.560322807592602,0.22345163833232054,13.630549938271553,2.8143083268607523,2.893974854165283,-0.07966652730453072
Auburn,12,0.6233062330623306,8.582655826558266,13.769565217391305,0.03523035230352303,4.957605985037406,1.8333333333333333,0.41496598639455784,0.47368421052631576,49.333333333333336,8.579710144927537,22.130434782608695,8.095238095238095,429.5833333333333,263.9166666666667,165.66666666666666,20.916666666666668,6.694805194805195,0.6666666666666666,62.916666666666664,20.166666666666668,15.166666666666666,328.75,66.5,0.3333333333333333,0.5,4.943609022556391,0.55,0.5714285714285714,0.9166666666666666,1,3.25,2.25,5.2272727272727275,128,6,5.75,0.18818266747541354,0.2304945024310051,0.23549634257284402,0.4583333333333333,1.2438943111363248,0.711864406779661,0.16710875331564987,3.3620689655172415,1.4137931034482758,1.5225464190981433,3.4225352112676055,1.292,0.172,0.098,0.074,0.1424415010800052,0.5121042830540037,1.0486658833885303,0.45181863643282,0.3333333333333333,1.9411386959498764,0.15120614904217167,0.5013262599469496,0.8720315284634601,0.3167684729080447,0.41687979539641945,1.6750726296956586,0.07988431997667658,0.3705080545229244,1.2887208634687157,0.7741935483870968,0.21678321678321677,2.4272727272727272,0.8111888111888111,0.5897435897435898,3.3492063492063493,-1.445,0.152,0.095,0.057,0.013515167343560834,0.42418426103646834,0.9968664648046913,0.20078756655658325,0.2727272727272727,2.1156416596834515,-0.03256837877491696,0.372960372960373,0.9121909511556799,0.2261429053861385,0.3687002652519894,1.72213658987221,275.39,833.61,0.3073430154023674,0.08443345574905844,0.22290955965330897,1.285571599353864,1.294955350215337,7.313633692294468,4.49480436263828,0.32542134334302186,20.47442618533179,0.23693788971230934,15.75636966586857,2.888667861087363,2.8662005593028392,0.02246730178452383
