id,season,week,completed,home_team,home_classification,home_points,away_team,away_classification,away_points,result,winner,mean_spread,home_moneyline,away_moneyline,proj_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner,payout,profit
401866615,2026,1,true,Delaware State,fcs,41,Stony Brook,fcs,34,-7,Delaware State,4.5,,,-5.228526725363558,1.7714732746364419,11.5,3.138117562751159,132.25,1,0,1,1,0.0,0.0
401866532,2026,1,true,Towson,fcs,18,Maine,fcs,21,3,Maine,-2.5,,,-3.3114839573401156,6.311483957340116,5.5,39.834829743761645,30.25,0,0,0,0,-1.0,-1.0
401868060,2026,1,true,Austin Peay,fcs,35,Gardner-Webb,fcs,17,-18,Austin Peay,-14.5,,,-9.59426257604135,8.40573742395865,3.5,70.656421640539,12.25,1,1,0,0,0.0,0.0
401868962,2026,1,true,Nicholls,fcs,44,Mississippi Valley State,fcs,10,-34,Nicholls,-28.5,,,-7.496451532397499,26.5035484676025,5.5,702.4380813745548,30.25,1,1,0,0,0.0,0.0
401868169,2026,1,true,Lindenwood,fcs,20,Charleston Southern,fcs,17,-3,Lindenwood,-7.5,,,-6.2598525179507805,3.2598525179507805,4.5,10.626638438790044,20.25,1,1,1,1,0.0,0.0
401868315,2026,1,true,SE Louisiana,fcs,28,Houston Christian,fcs,34,6,Houston Christian,-24.5,,,-13.372511151853363,19.372511151853363,30.5,375.29418832868294,930.25,0,0,1,1,-1.0,-1.0
401867865,2026,1,true,Murray State,fcs,14,Eastern Illinois,fcs,28,14,Eastern Illinois,-4.5,,,2.537535866412643,11.462464133587357,18.5,131.38808401377656,342.25,1,0,1,1,0.0,0.0
401868070,2026,1,true,UT Martin,fcs,24,Central Arkansas,fcs,36,12,Central Arkansas,-3.0,,,2.3350539851654073,9.664946014834593,15.0,93.41118146966707,225.0,1,0,1,1,0.0,0.0
401867874,2026,1,true,North Dakota,fcs,42,Long Island University,fcs,21,-21,North Dakota,-27.5,,,-4.196008738974451,16.803991261025548,6.5,282.37412230062296,42.25,1,1,1,0,0.0,0.0
401868007,2026,1,true,Fordham,fcs,14,Colgate,fcs,24,10,Colgate,8.5,242,-318,1.4075707640148973,8.592429235985103,1.5,73.82984017541153,2.25,1,1,0,0,1.3144654088050314,0.3144654088050314
401868007,2026,1,true,Fordham,fcs,14,Colgate,fcs,24,10,Colgate,8.5,,,1.4075707640148973,8.592429235985103,1.5,73.82984017541153,2.25,1,1,0,0,0.0,0.0
401866617,2026,1,true,Merrimack,fcs,7,Rhode Island,fcs,34,27,Rhode Island,20.5,890,-1960,9.587595940285283,17.412404059714717,6.5,303.1918151387696,42.25,1,1,0,0,1.0510204081632653,0.05102040816326525
401866617,2026,1,true,Merrimack,fcs,7,Rhode Island,fcs,34,27,Rhode Island,21.0,,,9.587595940285283,17.412404059714717,6.0,303.1918151387696,36.0,1,1,0,0,0.0,0.0
401868040,2026,1,true,Villanova,fcs,32,William & Mary,fcs,35,3,William & Mary,-12.5,-700,462,-4.615721804913695,7.615721804913695,15.5,57.99921860983792,240.25,0,0,1,1,-1.0,-1.0
401868040,2026,1,true,Villanova,fcs,32,William & Mary,fcs,35,3,William & Mary,-12.5,,,-4.615721804913695,7.615721804913695,15.5,57.99921860983792,240.25,0,0,1,1,-1.0,-1.0
401866616,2026,1,true,UAlbany,fcs,28,New Hampshire,fcs,14,-14,UAlbany,10.0,268,-357,2.102536424424716,16.102536424424716,24.0,259.29167929992474,576.0,0,0,1,1,-1.0,-1.0
401866616,2026,1,true,UAlbany,fcs,28,New Hampshire,fcs,14,-14,UAlbany,10.0,,,2.102536424424716,16.102536424424716,24.0,259.29167929992474,576.0,0,0,1,1,-1.0,-1.0
401868129,2026,1,true,Northern Colorado,fcs,29,Weber State,fcs,30,1,Weber State,-3.0,-161,129,-2.179659204579476,3.179659204579476,4.0,10.110232657266986,16.0,0,0,1,1,-1.0,-1.0
401868129,2026,1,true,Northern Colorado,fcs,29,Weber State,fcs,30,1,Weber State,-3.0,,,-2.179659204579476,3.179659204579476,4.0,10.110232657266986,16.0,0,0,1,1,-1.0,-1.0
401868073,2026,1,true,Cal Poly,fcs,38,Idaho,fcs,34,-4,Cal Poly,5.5,172,-219,2.5166617500973847,6.516661750097384,9.5,42.466880365182305,90.25,0,0,1,1,-1.0,-1.0
401868073,2026,1,true,Cal Poly,fcs,38,Idaho,fcs,34,-4,Cal Poly,5.5,,,2.5166617500973847,6.516661750097384,9.5,42.466880365182305,90.25,0,0,1,1,-1.0,-1.0
401856766,2026,1,true,TCU,fbs,10,North Carolina,fbs,15,5,North Carolina,-7.5,,,-3.984959734188722,8.984959734188722,12.5,80.72950142499268,156.25,0,0,1,1,-1.0,-1.0
401856766,2026,1,true,TCU,fbs,10,North Carolina,fbs,15,5,North Carolina,-7.5,-310,250,-3.984959734188722,8.984959734188722,12.5,80.72950142499268,156.25,0,0,1,1,-1.0,-1.0
401856766,2026,1,true,TCU,fbs,10,North Carolina,fbs,15,5,North Carolina,-7.5,-235,195,-3.984959734188722,8.984959734188722,12.5,80.72950142499268,156.25,0,0,1,1,-1.0,-1.0
401867916,2026,1,true,Wagner,fcs,7,Robert Morris,fcs,28,21,Robert Morris,-5.5,-223,176,0.1664108594637952,20.833589140536205,26.5,434.0384364766681,702.25,1,0,1,1,2.76,1.7599999999999998
401867916,2026,1,true,Wagner,fcs,7,Robert Morris,fcs,28,21,Robert Morris,-5.5,,,0.1664108594637952,20.833589140536205,26.5,434.0384364766681,702.25,1,0,1,1,0.0,0.0
401867882,2026,1,true,South Dakota,fcs,59,Central Connecticut,fcs,20,-39,South Dakota,-21.5,-3900,1180,-4.124403854249967,34.87559614575003,17.5,1216.3072065214544,306.25,1,1,0,0,1.0256410256410255,0.02564102564102555
401867882,2026,1,true,South Dakota,fcs,59,Central Connecticut,fcs,20,-39,South Dakota,-20.5,,,-4.124403854249967,34.87559614575003,18.5,1216.3072065214544,342.25,1,1,0,0,0.0,0.0
401868324,2026,1,true,Alabama State,fcs,30,Southern,fcs,17,-13,Alabama State,-19.5,-1760,830,-14.179341542808963,1.179341542808963,6.5,1.3908464745950253,42.25,1,1,1,1,1.0568181818181819,0.05681818181818188
401868324,2026,1,true,Alabama State,fcs,30,Southern,fcs,17,-13,Alabama State,19.5,,,-14.179341542808963,1.179341542808963,32.5,1.3908464745950253,1056.25,1,0,1,1,0.0,0.0
401864494,2026,1,true,USC,fbs,42,San José State,fbs,26,-16,USC,-37.5,,,-42.324883348612595,26.324883348612595,21.5,692.9994833180607,462.25,1,1,0,0,0.0,0.0
401864494,2026,1,true,USC,fbs,42,San José State,fbs,26,-16,USC,-37.5,-100000,5000,-42.324883348612595,26.324883348612595,21.5,692.9994833180607,462.25,1,1,0,0,1.001,0.0009999999999998899
401864494,2026,1,true,USC,fbs,42,San José State,fbs,26,-16,USC,-37.0,-100000,3500,-42.324883348612595,26.324883348612595,21.0,692.9994833180607,441.0,1,1,0,0,1.001,0.0009999999999998899
401868154,2026,1,true,Portland State,fcs,24,UC Davis,fcs,31,7,UC Davis,25.5,1300,-5400,11.30108948990045,4.30108948990045,18.5,18.499370800132116,342.25,1,1,1,1,1.0185185185185186,0.0185185185185186
401868154,2026,1,true,Portland State,fcs,24,UC Davis,fcs,31,7,UC Davis,25.5,,,11.30108948990045,4.30108948990045,18.5,18.499370800132116,342.25,1,1,1,1,0.0,0.0
401858202,2026,1,true,Virginia,fbs,34,NC State,fbs,8,-26,Virginia,-4.0,-145,125,8.20390932390489,34.20390932390489,22.0,1169.9074130379076,484.0,0,1,0,0,-1.0,-1.0
401858202,2026,1,true,Virginia,fbs,34,NC State,fbs,8,-26,Virginia,-4.0,,,8.20390932390489,34.20390932390489,22.0,1169.9074130379076,484.0,0,1,0,0,-1.0,-1.0
401858202,2026,1,true,Virginia,fbs,34,NC State,fbs,8,-26,Virginia,-4.0,-185,154,8.20390932390489,34.20390932390489,22.0,1169.9074130379076,484.0,0,1,0,0,-1.0,-1.0
401868022,2026,1,true,Holy Cross,fcs,10,Lehigh,fcs,35,25,Lehigh,14.0,509,-800,8.75595470116003,16.24404529883997,11.0,263.869007670765,121.0,1,1,0,0,1.125,0.125
401868022,2026,1,true,Holy Cross,fcs,10,Lehigh,fcs,35,25,Lehigh,14.0,,,8.75595470116003,16.24404529883997,11.0,263.869007670765,121.0,1,1,0,0,0.0,0.0
401868084,2026,1,true,Northern Arizona,fcs,34,Eastern Washington,fcs,27,-7,Northern Arizona,-5.5,-242,189,-5.639935206448731,1.3600647935512686,1.5,1.849776242657655,2.25,1,1,1,1,1.4132231404958677,0.4132231404958677
401868084,2026,1,true,Northern Arizona,fcs,34,Eastern Washington,fcs,27,-7,Northern Arizona,-5.5,,,-5.639935206448731,1.3600647935512686,1.5,1.849776242657655,2.25,1,1,1,1,0.0,0.0
401864577,2026,1,true,North Dakota State,fbs,33,Jacksonville State,fbs,7,-26,North Dakota State,-6.5,,,-20.053863658718495,5.946136341281505,19.5,35.35653738910861,380.25,1,1,1,1,0.0,0.0
401864577,2026,1,true,North Dakota State,fbs,33,Jacksonville State,fbs,7,-26,North Dakota State,-7.0,-330,265,-20.053863658718495,5.946136341281505,19.0,35.35653738910861,361.0,1,1,1,1,1.303030303030303,0.303030303030303
401864577,2026,1,true,North Dakota State,fbs,33,Jacksonville State,fbs,7,-26,North Dakota State,-6.5,-265,215,-20.053863658718495,5.946136341281505,19.5,35.35653738910861,380.25,1,1,1,1,1.3773584905660377,0.37735849056603765
401866620,2026,1,true,East Tennessee State,fcs,37,Campbell,fcs,49,12,Campbell,-7.0,-267,207,-10.243347545190053,22.243347545190055,19.0,494.7665100161124,361.0,0,0,0,0,-1.0,-1.0
401866620,2026,1,true,East Tennessee State,fcs,37,Campbell,fcs,49,12,Campbell,-7.0,,,-10.243347545190053,22.243347545190055,19.0,494.7665100161124,361.0,0,0,0,0,-1.0,-1.0
401866618,2026,1,true,North Carolina A&T,fcs,7,Morgan State,fcs,17,10,Morgan State,7.0,210,-270,3.298148775540856,6.701851224459144,3.0,44.91480983478453,9.0,1,1,0,0,1.3703703703703702,0.37037037037037024
401866618,2026,1,true,North Carolina A&T,fcs,7,Morgan State,fcs,17,10,Morgan State,7.0,,,3.298148775540856,6.701851224459144,3.0,44.91480983478453,9.0,1,1,0,0,0.0,0.0
