id,season,week,completed,home_team,home_classification,home_points,away_team,away_classification,away_points,result,winner,mean_spread,home_moneyline,away_moneyline,proj_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
401856766,2026,1,true,TCU,fbs,10,North Carolina,fbs,15,5,North Carolina,-7.5,,,-3.984959734188722,8.984959734188722,12.5,80.72950142499268,156.25,0,0,1,1
401856766,2026,1,true,TCU,fbs,10,North Carolina,fbs,15,5,North Carolina,-7.5,-310,250,-3.984959734188722,8.984959734188722,12.5,80.72950142499268,156.25,0,0,1,1
401856766,2026,1,true,TCU,fbs,10,North Carolina,fbs,15,5,North Carolina,-7.5,-235,195,-3.984959734188722,8.984959734188722,12.5,80.72950142499268,156.25,0,0,1,1
401864494,2026,1,true,USC,fbs,42,San José State,fbs,26,-16,USC,-37.5,,,-42.324883348612595,26.324883348612595,21.5,692.9994833180607,462.25,1,1,0,0
401864494,2026,1,true,USC,fbs,42,San José State,fbs,26,-16,USC,-37.5,-100000,5000,-42.324883348612595,26.324883348612595,21.5,692.9994833180607,462.25,1,1,0,0
401864494,2026,1,true,USC,fbs,42,San José State,fbs,26,-16,USC,-37.0,-100000,3500,-42.324883348612595,26.324883348612595,21.0,692.9994833180607,441.0,1,1,0,0
401858202,2026,1,true,Virginia,fbs,34,NC State,fbs,8,-26,Virginia,-4.0,-145,125,8.20390932390489,34.20390932390489,22.0,1169.9074130379076,484.0,0,1,0,0
401858202,2026,1,true,Virginia,fbs,34,NC State,fbs,8,-26,Virginia,-4.0,,,8.20390932390489,34.20390932390489,22.0,1169.9074130379076,484.0,0,1,0,0
401858202,2026,1,true,Virginia,fbs,34,NC State,fbs,8,-26,Virginia,-4.0,-185,154,8.20390932390489,34.20390932390489,22.0,1169.9074130379076,484.0,0,1,0,0
401864577,2026,1,true,North Dakota State,fbs,33,Jacksonville State,fbs,7,-26,North Dakota State,-6.5,,,-20.053863658718495,5.946136341281505,19.5,35.35653738910861,380.25,1,1,1,1
401864577,2026,1,true,North Dakota State,fbs,33,Jacksonville State,fbs,7,-26,North Dakota State,-7.0,-330,265,-20.053863658718495,5.946136341281505,19.0,35.35653738910861,361.0,1,1,1,1
401864577,2026,1,true,North Dakota State,fbs,33,Jacksonville State,fbs,7,-26,North Dakota State,-6.5,-265,215,-20.053863658718495,5.946136341281505,19.5,35.35653738910861,380.25,1,1,1,1
401866408,2026,1,true,Eastern Michigan,fbs,28,Sacramento State,fbs,17,-11,Eastern Michigan,-9.5,,,7.401644194453393,18.401644194453393,1.5,338.62050905926026,2.25,0,1,0,0
401866408,2026,1,true,Eastern Michigan,fbs,28,Sacramento State,fbs,17,-11,Eastern Michigan,-8.5,-355,280,7.401644194453393,18.401644194453393,2.5,338.62050905926026,6.25,0,1,0,0
401866408,2026,1,true,Eastern Michigan,fbs,28,Sacramento State,fbs,17,-11,Eastern Michigan,-9.0,-330,265,7.401644194453393,18.401644194453393,2.0,338.62050905926026,4.0,0,1,0,0
401858201,2026,1,true,Stanford,fbs,37,Hawai'i,fbs,27,-10,Stanford,-4.5,-205,170,-0.6252493313813154,9.374750668618685,5.5,87.88595009876647,30.25,1,1,0,0
401858201,2026,1,true,Stanford,fbs,37,Hawai'i,fbs,27,-10,Stanford,-4.5,,,-0.6252493313813154,9.374750668618685,5.5,87.88595009876647,30.25,1,1,0,0
401858201,2026,1,true,Stanford,fbs,37,Hawai'i,fbs,27,-10,Stanford,-5.0,-170,145,-0.6252493313813154,9.374750668618685,5.0,87.88595009876647,25.0,1,1,0,0
401864570,2026,1,true,Florida State,fbs,34,New Mexico State,fbs,17,-17,Florida State,-30.5,,,-40.31643085954013,23.316430859540127,13.5,543.6559480277151,182.25,1,1,0,0
401864570,2026,1,true,Florida State,fbs,34,New Mexico State,fbs,17,-17,Florida State,-31.5,-8000,2200,-40.31643085954013,23.316430859540127,14.5,543.6559480277151,210.25,1,1,0,0
401864570,2026,1,true,Florida State,fbs,34,New Mexico State,fbs,17,-17,Florida State,-31.0,-100000,2800,-40.31643085954013,23.316430859540127,14.0,543.6559480277151,196.0,1,1,0,0
401862693,2026,1,true,UNLV,fbs,21,Memphis,fbs,27,6,Memphis,-4.0,-198,164,0.3850476090749251,5.614952390925075,10.0,31.52769035235522,100.0,1,0,1,1
401862693,2026,1,true,UNLV,fbs,21,Memphis,fbs,27,6,Memphis,-4.5,,,0.3850476090749251,5.614952390925075,10.5,31.52769035235522,110.25,1,0,1,1
401862693,2026,1,true,UNLV,fbs,21,Memphis,fbs,27,6,Memphis,-5.0,-170,145,0.3850476090749251,5.614952390925075,11.0,31.52769035235522,121.0,1,0,1,1
401858423,2026,1,true,Rutgers,fbs,21,Massachusetts,fbs,37,16,Massachusetts,-29.25,,,-38.42671116448164,54.42671116448164,45.25,2962.2668881819104,2047.5625,0,0,0,0
401858423,2026,1,true,Rutgers,fbs,21,Massachusetts,fbs,37,16,Massachusetts,-29.5,-8000,2200,-38.42671116448164,54.42671116448164,45.5,2962.2668881819104,2070.25,0,0,0,0
401858204,2026,1,true,Wake Forest,fbs,38,Akron,fbs,16,-22,Wake Forest,-27.5,,,-35.74035018331266,13.740350183312657,5.5,188.79722316006016,30.25,1,1,0,0
401858204,2026,1,true,Wake Forest,fbs,38,Akron,fbs,16,-22,Wake Forest,-27.5,-3500,1100,-35.74035018331266,13.740350183312657,5.5,188.79722316006016,30.25,1,1,0,0
401858204,2026,1,true,Wake Forest,fbs,38,Akron,fbs,16,-22,Wake Forest,-27.5,-3600,1500,-35.74035018331266,13.740350183312657,5.5,188.79722316006016,30.25,1,1,0,0
401856776,2026,1,true,Georgia Tech,fbs,13,Colorado,fbs,14,1,Colorado,-6.5,-238,195,-21.664668046879193,22.664668046879193,7.5,513.6871776752267,56.25,0,0,0,0
401856776,2026,1,true,Georgia Tech,fbs,13,Colorado,fbs,14,1,Colorado,-6.5,,,-21.664668046879193,22.664668046879193,7.5,513.6871776752267,56.25,0,0,0,0
401856776,2026,1,true,Georgia Tech,fbs,13,Colorado,fbs,14,1,Colorado,-6.5,-290,240,-21.664668046879193,22.664668046879193,7.5,513.6871776752267,56.25,0,0,0,0
401858424,2026,1,true,Illinois,fbs,42,UAB,fbs,23,-19,Illinois,-26.5,-8000,1400,-23.132563713243528,4.132563713243528,7.5,17.078082844017132,56.25,1,1,1,1
401858424,2026,1,true,Illinois,fbs,42,UAB,fbs,23,-19,Illinois,-25.5,,,-23.132563713243528,4.132563713243528,6.5,17.078082844017132,42.25,1,1,1,1
401858424,2026,1,true,Illinois,fbs,42,UAB,fbs,23,-19,Illinois,-25.5,-3600,1500,-23.132563713243528,4.132563713243528,6.5,17.078082844017132,42.25,1,1,1,1
401864495,2026,1,true,Eastern Michigan,fbs,21,San José State,fbs,27,6,San José State,-1.5,-115,-105,3.380206612476311,2.619793387523689,7.5,6.863317393312847,56.25,1,0,1,1
401864495,2026,1,true,Eastern Michigan,fbs,21,San José State,fbs,27,6,San José State,-1.5,,,3.380206612476311,2.619793387523689,7.5,6.863317393312847,56.25,1,0,1,1
401864495,2026,1,true,Eastern Michigan,fbs,21,San José State,fbs,27,6,San José State,-1.5,-170,145,3.380206612476311,2.619793387523689,7.5,6.863317393312847,56.25,1,0,1,1
401856664,2026,1,true,Oklahoma,fbs,51,UTEP,fbs,0,-51,Oklahoma,-40.666666666666664,,,-33.720456575257245,17.279543424742755,10.333333333333336,298.58262096757056,106.77777777777783,1,1,0,0
401858429,2026,1,true,Michigan State,fbs,30,Toledo,fbs,20,-10,Michigan State,-10.0,,,-0.32468297308750316,9.675317026912497,0.0,93.61175957126288,0.0,1,1,0,0
401858429,2026,1,true,Michigan State,fbs,30,Toledo,fbs,20,-10,Michigan State,-10.0,-410,305,-0.32468297308750316,9.675317026912497,0.0,93.61175957126288,0.0,1,1,0,0
401858429,2026,1,true,Michigan State,fbs,30,Toledo,fbs,20,-10,Michigan State,-10.0,-410,320,-0.32468297308750316,9.675317026912497,0.0,93.61175957126288,0.0,1,1,0,0
401858206,2026,1,true,Stanford,fbs,6,Miami,fbs,45,39,Miami,24.5,1600,-4000,33.19200950102784,5.80799049897216,14.5,33.732753636150875,210.25,1,1,1,1
401858206,2026,1,true,Stanford,fbs,6,Miami,fbs,45,39,Miami,24.5,1100,-3500,33.19200950102784,5.80799049897216,14.5,33.732753636150875,210.25,1,1,1,1
401858206,2026,1,true,Stanford,fbs,6,Miami,fbs,45,39,Miami,24.5,,,33.19200950102784,5.80799049897216,14.5,33.732753636150875,210.25,1,1,1,1
401858436,2026,1,true,USC,fbs,39,Fresno State,fbs,0,-39,USC,-21.5,-1800,1000,-36.07388697097259,2.9261130290274124,17.5,8.562137458643978,306.25,1,1,1,1
401858436,2026,1,true,USC,fbs,39,Fresno State,fbs,0,-39,USC,-22.5,-3500,1100,-36.07388697097259,2.9261130290274124,16.5,8.562137458643978,272.25,1,1,1,1
401858436,2026,1,true,USC,fbs,39,Fresno State,fbs,0,-39,USC,-21.5,,,-36.07388697097259,2.9261130290274124,17.5,8.562137458643978,306.25,1,1,1,1
401856778,2026,1,true,Houston,fbs,33,Oregon State,fbs,20,-13,Houston,-20.5,-1300,725,-5.20523568914834,7.79476431085166,7.5,60.75835066172675,56.25,1,1,1,0
401856778,2026,1,true,Houston,fbs,33,Oregon State,fbs,20,-13,Houston,-21.0,-1450,850,-5.20523568914834,7.79476431085166,8.0,60.75835066172675,64.0,1,1,1,1
401856778,2026,1,true,Houston,fbs,33,Oregon State,fbs,20,-13,Houston,-21.0,,,-5.20523568914834,7.79476431085166,8.0,60.75835066172675,64.0,1,1,1,1
401856634,2026,1,true,Alabama,fbs,48,East Carolina,fbs,10,-38,Alabama,-28.0,-7500,1400,-23.705938864487784,14.294061135512216,10.0,204.32018374576077,100.0,1,1,0,0
401856634,2026,1,true,Alabama,fbs,48,East Carolina,fbs,10,-38,Alabama,-27.5,-5000,1800,-23.705938864487784,14.294061135512216,10.5,204.32018374576077,110.25,1,1,0,0
401856634,2026,1,true,Alabama,fbs,48,East Carolina,fbs,10,-38,Alabama,-28.5,,,-23.705938864487784,14.294061135512216,9.5,204.32018374576077,90.25,1,1,0,0
401858430,2026,1,true,Nebraska,fbs,49,Ohio,fbs,21,-28,Nebraska,-23.5,-2100,1100,-9.03312422969359,18.96687577030641,4.5,359.7423764862363,20.25,1,1,0,0
401858430,2026,1,true,Nebraska,fbs,49,Ohio,fbs,21,-28,Nebraska,-23.5,,,-9.03312422969359,18.96687577030641,4.5,359.7423764862363,20.25,1,1,0,0
401858430,2026,1,true,Nebraska,fbs,49,Ohio,fbs,21,-28,Nebraska,-24.0,-2800,1100,-9.03312422969359,18.96687577030641,4.0,359.7423764862363,16.0,1,1,0,0
401858425,2026,1,true,Indiana,fbs,52,North Texas,fbs,16,-36,Indiana,-39.833333333333336,,,-25.267953498237624,10.732046501762376,3.8333333333333357,115.17682211599005,14.694444444444462,1,1,1,0
