school,classification,conference,VoA_Rating_Ovr,VoA_Ranking_Ovr
Ohio State,fbs,Big Ten,42.32428151839743,1
Georgia,fbs,SEC,36.0430231410169,2
Oregon,fbs,Big Ten,35.0536888078592,3
Indiana,fbs,Big Ten,34.346914507525625,4
Notre Dame,fbs,FBS Independents,33.103422905401985,5
Tennessee,fbs,SEC,32.953285553420116,6
Alabama,fbs,SEC,31.76400458876987,7
Texas A&M,fbs,SEC,30.12946987563938,8
USC,fbs,Big Ten,29.835277445029444,9
Miami,fbs,ACC,29.79134283677829,10
Texas,fbs,SEC,29.64122253978418,11
Ole Miss,fbs,SEC,28.416979513052574,12
Washington,fbs,Big Ten,26.59303128029947,13
LSU,fbs,SEC,24.65018379139069,14
Missouri,fbs,SEC,24.597743627055166,15
BYU,fbs,Big 12,24.55993255999135,16
Utah,fbs,Big 12,24.201764224258397,17
Vanderbilt,fbs,SEC,24.10640339386253,18
Penn State,fbs,Big Ten,23.785371708792724,19
Cincinnati,fbs,Big 12,23.77263977169884,20
Florida,fbs,SEC,22.401178917997882,21
Michigan,fbs,Big Ten,21.919473413619087,22
Auburn,fbs,SEC,21.683700832485158,23
SMU,fbs,ACC,21.453197937549305,24
TCU,fbs,Big 12,20.911848508705546,25
Texas Tech,fbs,Big 12,20.422256753867714,26
Kansas State,fbs,Big 12,20.08195746767838,27
Iowa,fbs,Big Ten,19.588904863107604,28
Arkansas,fbs,SEC,18.618353413961692,29
Mississippi State,fbs,SEC,18.524473432307445,30
Oklahoma,fbs,SEC,18.30289593399727,31
Iowa State,fbs,Big 12,17.896915408530024,32
Kansas,fbs,Big 12,17.585114717270365,33
South Carolina,fbs,SEC,17.061655529469437,34
Nebraska,fbs,Big Ten,16.776639875273972,35
Louisville,fbs,ACC,16.313486972802735,36
Florida State,fbs,ACC,16.175890736758202,37
Georgia Tech,fbs,ACC,15.92544548566588,38
Arizona,fbs,Big 12,15.630556157459322,39
UConn,fbs,FBS Independents,15.074775240642387,40
Illinois,fbs,Big Ten,14.891093293689302,41
Baylor,fbs,Big 12,14.804635563516094,42
Memphis,fbs,American Athletic,14.180605041154648,43
Houston,fbs,Big 12,14.09447549500103,44
South Florida,fbs,American Athletic,14.06318285542621,45
Pittsburgh,fbs,ACC,13.524360404124135,46
Arizona State,fbs,Big 12,13.145861174513083,47
NC State,fbs,ACC,12.307601417208858,48
UCF,fbs,Big 12,11.886772334532582,49
Kentucky,fbs,SEC,10.448644280100208,50
Wake Forest,fbs,ACC,9.881640806147399,51
Boise State,fbs,Pac-12,9.833341916585692,52
Clemson,fbs,ACC,9.430777171426321,53
James Madison,fbs,Sun Belt,9.31812603719144,54
Duke,fbs,ACC,9.116773851195479,55
Texas State,fbs,Pac-12,8.98742692956652,56
Maryland,fbs,Big Ten,8.515955362628045,57
Virginia Tech,fbs,ACC,8.489722616918769,58
Minnesota,fbs,Big Ten,8.458502410331851,59
North Carolina,fbs,ACC,8.426602675196566,60
Rutgers,fbs,Big Ten,8.142227012398177,61
Syracuse,fbs,ACC,7.841901394951858,62
Virginia,fbs,ACC,7.009574659797154,63
Old Dominion,fbs,Sun Belt,6.932419145781416,64
North Dakota State,fbs,Mountain West,6.788617968073026,65
West Virginia,fbs,Big 12,6.777907473405925,66
Tulane,fbs,American Athletic,5.852436756821012,67
Michigan State,fbs,Big Ten,5.745447802079939,68
UCLA,fbs,Big Ten,5.653726174354077,69
East Carolina,fbs,American Athletic,5.467762392020406,70
North Texas,fbs,American Athletic,5.458083937804682,71
Northwestern,fbs,Big Ten,5.437439842057852,72
UNLV,fbs,Mountain West,3.880053009151087,73
Boston College,fbs,ACC,3.801227902720525,74
Colorado,fbs,Big 12,3.31820365750705,75
UTSA,fbs,American Athletic,2.8882176482732618,76
