id,home,away,predicted
401856670,Utah,Arkansas,4.349492095763848
401856671,Auburn,Southern Miss,-29.735836406400914
401856672,Florida,Campbell,-44.35855744764638
401856673,Georgia,Western Kentucky,-42.88817531591388
401856674,Kentucky,Alabama,17.115085452072655
401856676,Ole Miss,Charlotte,-44.31813387039175
401856677,Minnesota,Mississippi State,1.6843485414131405
401856678,Kansas,Missouri,2.574294016349816
401856679,Michigan,Oklahoma,-4.268847659330403
401856680,South Carolina,Towson,-36.623054171657735
401856681,Georgia Tech,Tennessee,14.963415160364306
401856682,Texas,Ohio State,2.2433816703660767
401856683,Texas A&M,Arizona State,-19.048496847368757
401856684,Vanderbilt,Delaware,-28.102051475200767
401856781,Kansas State,Washington State,-22.74399441193166
401856782,Oklahoma State,Oregon,46.340777037083754
401856783,Oregon State,Texas Tech,24.934728323239582
401856784,Baylor,Prairie View A&M,-25.09721703984052
401856785,Colorado,Weber State,-28.243749410256108
401856786,Cincinnati,Western Carolina,-31.82932656932303
401856787,Houston,Southern,-26.776759304139436
401856788,Iowa,Iowa State,-3.4470431376571504
401856789,TCU,Grambling,-34.49031153073592
401856790,Pittsburgh,UCF,-1.732426693051448
401856791,West Virginia,UT Martin,-23.11458128490045
401856810,BYU,Arizona,-9.868213991690256
401858213,Miami,Florida A&M,-51.68380559760969
401858214,Boston College,Rutgers,-0.9038942877258451
401858215,Louisville,Villanova,-27.14829932723776
401858216,Syracuse,California,-9.378404519175422
401858217,Illinois,Duke,-13.300421911940102
401858218,North Carolina,East Tennessee State,-22.736077309236
401858219,Clemson,Georgia Southern,-12.009289038841995
401858220,Virginia,Norfolk State,-22.98697369472412
401858221,Virginia Tech,Old Dominion,-3.1683615701860455
401858222,NC State,Richmond,-24.624523161991096
401858223,SMU,UC Davis,-35.438919804242914
401858224,Purdue,Wake Forest,8.340320235359908
401858439,Indiana,Howard,-56.85028326396482
401858440,Michigan State,Eastern Michigan,-16.841445456516063
401858441,Nebraska,Bowling Green,-23.256458618318884
401858442,Temple,Penn State,29.293488307564132
401858443,UCLA,San Diego State,-7.858852008204204
401858444,UConn,Maryland,-13.210214958216705
401858445,USC,Louisiana,-37.30356286319303
401858446,Washington,Utah State,-26.88868112542133
401858447,Wisconsin,Western Illinois,-19.763273306062615
401859184,Notre Dame,Rice,-45.433463856531546
401860881,Boise State,Memphis,6.905167467146002
401860882,Colorado State,Southern Utah,-7.897239425724759
401860883,Fresno State,Sacramento State,0.4960363255096141
401860884,Texas State,UTSA,-4.201401159703013
401862702,Army,South Florida,10.54835875239635
401862703,Florida Atlantic,Navy,4.872312117276648
401862705,North Texas,UNLV,4.938866856530176
401862707,Sam Houston,Tulsa,10.066718768424803
401862708,UAB,UL Monroe,-14.871293917673196
401864500,Nevada,Montana State,-4.543471886164534
401864502,Air Force,North Dakota State,16.903903368834662
401864503,Northern Illinois,Illinois State,-11.350581126983915
401864504,San José State,Cal Poly,-15.962496129056117
401864505,UTEP,Texas Southern,-7.128987658931408
401864506,Wyoming,Northern Colorado,-12.068296287182314
401864571,East Carolina,App State,-7.3718393306082906
401864575,Tulane,South Alabama,-10.763991430949016
401864578,Hawai'i,New Mexico State,-16.314512740064668
401866412,Akron,Robert Morris,1.2282117875363205
401866413,Ball State,Stony Brook,7.849083009987796
401866414,Florida International,Buffalo,-7.3147447637620076
401866415,Central Michigan,Colgate,-9.200511608508098
401866416,Kent State,Wofford,4.953263010087094
401866417,Miami (OH),Holy Cross,-15.436018807489031
401866418,Ohio,Jacksonville State,-0.18456445659776577
401866419,Toledo,Central Connecticut,-17.676654032981777
401866420,Massachusetts,Sacred Heart,8.312039900873787
401866421,Western Michigan,Monmouth,8.798610046015787
401866628,Rhode Island,Elon,-4.853453209861773
401866629,Hampton,Bryant,-1.4336873508590857
401866630,Maine,Merrimack,-6.119811490448056
401866631,New Hampshire,Stonehill,-1.2713642740368631
401866632,Long Island University,UAlbany,-6.1666855698426355
401866633,North Carolina Central,North Carolina A&T,-12.347574177524374
401867796,LSU,Louisiana Tech,-27.400605685878283
401867856,Eastern Illinois,Indiana State,-2.4687949494761225
401867867,Murray State,Valparaiso,-0.7561384035072809
401867876,Portland State,North Dakota,12.107846598663581
401867884,South Dakota,Eastern Washington,-9.228525835893974
401867890,Southern Illinois,Southeast Missouri State,-5.356304506099882
401867895,Youngstown State,Duquesne,1.1976004810478493
401867929,James Madison,Wagner,-30.1486151483252
401867990,VMI,Bucknell,5.9314354075605324
401868008,Coastal Carolina,Fordham,-13.08254995727647
401868028,Lafayette,Marist,-4.00092310055225
401868033,Lehigh,William & Mary,-9.84046854494819
401868050,Abilene Christian,Stephen F. Austin,1.3097258374152243
401868061,Austin Peay,Morehead State,-10.133160444898609
401868093,Idaho,Lamar,-4.901166059440468
401868102,Idaho State,San Diego,-1.5019434467745536
401868112,Montana,Utah Tech,-14.750077426434704
401868123,Northern Arizona,Incarnate Word,1.6575045336911232
401868141,Eastern Kentucky,Chattanooga,0.007369414567875543
401868150,SE Louisiana,North Alabama,-10.475076701161388
401868171,The Citadel,Charleston Southern,0.8038068793996076
401868187,Liberty,Gardner-Webb,-18.25018219662309
401868195,Alabama A&M,Tennessee State,-3.801422847420831
401868236,McNeese,Tarleton State,3.293927152196186
401868255,Northern Iowa,Drake,6.699179496165134
401868285,Bethune-Cookman,Stetson,-7.058157753829874
401868326,Troy,Alabama State,-1.944844412228301
401868355,Alcorn State,Arkansas-Pine Bluff,-7.845323788205688
401868374,Mercer,Furman,-12.204548523045991
401868386,Tennessee Tech,Samford,-16.05041386697042
401869130,East Texas A&M,Northwestern State,-14.811558621185512
401869955,Kennesaw State,Georgia State,1.2188058809238775
