id,home,away,predicted
401856766,TCU,North Carolina,-3.984959734188722
401864494,USC,San José State,-42.324883348612595
401858202,Virginia,NC State,8.20390932390489
401864577,North Dakota State,Jacksonville State,-20.053863658718495
401866408,Eastern Michigan,Sacramento State,7.401644194453393
401864570,Florida State,New Mexico State,-40.31643085954013
401858201,Stanford,Hawai'i,-0.6252493313813154
401862693,UNLV,Memphis,0.3850476090749251
401858423,Rutgers,Massachusetts,-38.42671116448164
401858204,Wake Forest,Akron,-35.74035018331266
401856776,Georgia Tech,Colorado,-21.664668046879193
401858424,Illinois,UAB,-23.132563713243528
401864495,Eastern Michigan,San José State,3.380206612476311
401856664,Oklahoma,UTEP,-33.720456575257245
401858429,Michigan State,Toledo,-0.32468297308750316
401858436,USC,Fresno State,-36.07388697097259
401858206,Stanford,Miami,33.19200950102784
401856780,West Virginia,Coastal Carolina,-17.64920350352904
401856778,Houston,Oregon State,-5.20523568914834
401856634,Alabama,East Carolina,-23.705938864487784
401858425,Indiana,North Texas,-25.267953498237624
401869960,James Madison,Liberty,-13.438336749545623
401858430,Nebraska,Ohio,-9.03312422969359
401858432,Ohio State,Ball State,-61.548782128783714
401858207,Pittsburgh,Miami (OH),-21.337290510554364
401856665,South Carolina,Kent State,-39.124037736717675
401858209,Duke,Tulane,1.3153334171563493
401858434,Penn State,Marshall,-32.3141109119476
401858433,Oregon,Boise State,-23.683752233871257
401856636,Auburn,Baylor,-11.264286747298526
401856777,Cincinnati,Boston College,-12.993883271893555
401856667,Texas,Texas State,-13.836512748214748
401856772,Tulsa,Oklahoma State,-5.44174729110247
401858426,Iowa,Northern Illinois,-24.885746773713397
401860878,Colorado State,Wyoming,-6.077602983948392
401856668,Texas A&M,Missouri State,-37.23550912925908
401862695,Memphis,Arkansas State,-28.62447611842937
401862699,South Florida,Florida International,-21.42897759324041
401870763,Troy,Sam Houston,-21.83922499561004
401856662,Mississippi State,UL Monroe,-29.50669612411409
401858428,Michigan,Western Michigan,-42.20172697987125
401856660,LSU,Clemson,-6.70240236128809
401856637,Florida,Florida Atlantic,-25.626553045741847
401864498,New Mexico,Central Michigan,-16.878418538895886
401864497,Hawai'i,UNLV,13.02489041207431
401858210,California,UCLA,-4.385927930373757
401864432,Nevada,Western Kentucky,9.842859878416569
401858437,Washington,Washington State,-30.927550717883804
401856661,Ole Miss,Louisville,-15.79382550933461
401858438,Notre Dame,Wisconsin,-36.82175308982302
401858212,Florida State,SMU,0.43648657123281787
401866615,Delaware State,Stony Brook,-5.228526725363558
401866532,Towson,Maine,-3.3114839573401156
401868962,Nicholls,Mississippi Valley State,-7.496451532397499
401867865,Murray State,Eastern Illinois,2.537535866412643
401868315,SE Louisiana,Houston Christian,-13.372511151853363
401868169,Lindenwood,Charleston Southern,-6.2598525179507805
401868060,Austin Peay,Gardner-Webb,-9.59426257604135
401868070,UT Martin,Central Arkansas,2.3350539851654073
401867874,North Dakota,Long Island University,-4.196008738974451
401866617,Merrimack,Rhode Island,9.587595940285283
401868007,Fordham,Colgate,1.4075707640148973
401868040,Villanova,William & Mary,-4.615721804913695
401866616,UAlbany,New Hampshire,2.102536424424716
401868129,Northern Colorado,Weber State,-2.179659204579476
401868073,Cal Poly,Idaho,2.5166617500973847
401867916,Wagner,Robert Morris,0.1664108594637952
401867882,South Dakota,Central Connecticut,-4.124403854249967
401868324,Alabama State,Southern,-14.179341542808963
401868154,Portland State,UC Davis,11.30108948990045
401868022,Holy Cross,Lehigh,8.75595470116003
401868084,Northern Arizona,Eastern Washington,-5.639935206448731
401866620,East Tennessee State,Campbell,-10.243347545190053
401866618,North Carolina A&T,Morgan State,3.298148775540856
401867988,Richmond,Bucknell,-6.571641070947382
401866619,Stonehill,Bryant,0.23158346820997222
401868101,Idaho State,VMI,-10.579045247152777
401868394,Wofford,The Citadel,-7.177779382402333
401867855,Indiana State,Southeast Missouri State,6.356113703374241
401874042,Mercer,East Texas A&M,-10.091198211805462
401867977,Texas Southern,North Carolina Central,2.203287945370913
401872615,South Dakota State,Stetson,-17.389050781889175
401868139,Western Carolina,Eastern Kentucky,-6.064008322161687
401866621,Tennessee Tech,Monmouth,1.3769835286431658
401868049,Lamar,Abilene Christian,-0.9067383497873278
401868305,McNeese,Stephen F. Austin,1.21252411487163
401868149,North Alabama,Samford,-2.6785147350021763
401867935,Howard,Alabama A&M,0.2849285548582632
401868194,Tennessee State,Jackson State,11.033508824250703
401868110,Montana,Southern Utah,-2.9915723616685903
401868235,Tarleton State,Prairie View A&M,-5.1399106772053305
401868118,Utah Tech,Montana State,15.569943919456358
401866622,Stony Brook,Lindenwood,-0.23536805151665585
401867889,Samford,Southern Illinois,8.908672352718655
401868017,Georgetown,Lehigh,8.057808084459543
401868000,Colgate,Holy Cross,-2.2249814096938563
401868186,Wofford,Gardner-Webb,-2.8100664444103023
401866624,Monmouth,Sacred Heart,-9.847024178977225
401868111,Montana,Drake,-1.5039879397173777
401867875,North Dakota,St. Thomas (MN),-2.075597770964583
401869127,Howard,Richmond,5.51568218549487
401866626,Davidson,Elon,5.146824009442085
401867692,William & Mary,Delaware State,-2.0681499302722903
401867989,Bucknell,Villanova,4.051913883506025
401868336,Chattanooga,Tennessee Tech,3.0148743232839976
401868274,Mercer,Presbyterian,1.8264217184985645
401868085,Eastern Washington,Northern Iowa,-0.0404987445607361
401868306,Stephen F. Austin,East Texas A&M,-7.448692431635328
401867845,Western Illinois,Illinois State,3.268938358459571
401868158,Southern Utah,Weber State,-11.966562762282386
401867883,Northern Colorado,South Dakota,6.464457479915736
401868119,Montana State,Butler,-12.046152891384798
401868163,San Diego,UC Davis,-1.1436045324888524
401917058,Campbell,Western Carolina,6.095680526264244
401868967,Prairie View A&M,Texas Southern,-6.755605434312361
401867939,Florida A&M,South Carolina State,6.41224826821392
401856767,UCF,Bethune-Cookman,-32.9926707966827
401866409,Buffalo,UAlbany,-8.292920202931157
401864424,Delaware,Merrimack,-17.711837598782623
401858422,Minnesota,Eastern Illinois,-25.243523659761237
401856663,Missouri,Arkansas-Pine Bluff,-51.44684961393598
401856768,Utah,Idaho,-33.971597969835614
401866623,Georgia State,North Carolina A&T,-13.609230102120783
401858435,Purdue,Indiana State,-20.672230398509566
401856769,Kansas,Long Island University,-31.70040827070956
401858208,Syracuse,New Hampshire,-24.703506800038788
401861962,UConn,Lafayette,-25.99972164942148
401866410,Bowling Green,Tarleton State,-1.8440159695629355
401862701,Army,Bryant,-5.255129859064684
401864496,Air Force,Duquesne,-7.198684278101897
401856659,Kentucky,Youngstown State,-25.57930823299323
401856779,Iowa State,Southeast Missouri State,-30.807515164313443
401862698,Temple,Rhode Island,-0.5293356905244071
401856658,Georgia,Tennessee State,-55.03458288130196
401866627,App State,Maine,-15.566424300114663
401864499,North Dakota State,Fordham,-41.12455691794669
401862694,Charlotte,The Citadel,-5.394604599450471
401862696,Navy,Towson,-14.810407818330193
401856666,Tennessee,Furman,-53.1931774539757
401856635,Arkansas,North Alabama,-48.32615805512549
401868356,Southern Miss,Alcorn State,-1.4750820644299125
401867973,Old Dominion,Norfolk State,-28.00217178956705
401868170,Georgia Southern,Charleston Southern,-18.379671129865766
401867866,Middle Tennessee,Murray State,-9.72324378956911
401868316,South Alabama,SE Louisiana,-18.425237547803064
401856771,Kansas State,Nicholls,-34.70555393124017
401856770,Texas Tech,Abilene Christian,-38.12966449062968
401856669,Vanderbilt,Austin Peay,-33.75861444210139
401868140,Jacksonville State,Eastern Kentucky,-18.394710701948505
401860880,Utah State,Idaho State,-20.395167552506486
401862697,Rice,Houston Christian,-12.19793920635189
401869129,Louisiana Tech,Northwestern State,-23.37794721856977
401858211,Virginia Tech,VMI,-35.167046035556474
401858431,Northwestern,South Dakota State,-10.192969312666833
401856775,BYU,Utah Tech,-40.80986082377308
401858427,Maryland,Hampton,-25.28015701342381
401869142,Louisiana,Lamar,-14.214043952629744
401856773,Arizona,Northern Arizona,-30.446391203022188
401860879,San Diego State,Portland State,-28.405680303954796
401866411,Sacramento State,Mississippi Valley State,-25.111912836709003
401856774,Arizona State,Morgan State,-29.794297965298952
